time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.2059755E+000	-2.5025172E-002	0
6.011319848141284E+001	9.3995128E-003	-1.7493470E-001	0
6.019159847943229E+001	9.4567863E-003	-1.2492708E-001	0
6.045999847265193E+001	9.4567863E-003	-7.4906729E-002	0
6.505279835662805E+001	9.5331501E-003	-2.7021125E-002	0
6.505339835659834E+001	9.4949678E-003	-2.7021125E-002	0
7.505339810397709E+001	9.4376951E-003	-1.9327091E-002	0
8.505339785135584E+001	9.4376951E-003	-1.7204994E-002	0
9.505339759873459E+001	9.4376951E-003	-1.6066294E-002	0
1.050533973461133E+002	9.3422402E-003	-1.5261755E-002	0
1.150533970934921E+002	9.4758775E-003	-1.4666626E-002	0
1.250533968408708E+002	9.3804216E-003	-1.4157425E-002	0
1.350533965882496E+002	9.4376951E-003	-1.3706145E-002	0
1.450533963356283E+002	9.4186040E-003	-1.3226222E-002	0
1.550533960830071E+002	9.4758775E-003	-1.2867236E-002	0
1.650533958303859E+002	9.5140589E-003	-1.2611999E-002	0
1.750533955777646E+002	9.4186040E-003	-1.2326846E-002	0
1.850533953251434E+002	9.4376951E-003	-1.2049967E-002	0
1.950533950725221E+002	9.3995128E-003	-1.1804915E-002	0
2.050533948199009E+002	9.3995128E-003	-1.1575774E-002	0
2.150533945672796E+002	9.3804216E-003	-1.1344724E-002	0
2.250533943146584E+002	9.5331501E-003	-1.1134678E-002	0
2.350533940620371E+002	9.4567863E-003	-1.0943091E-002	0
2.450533938094159E+002	9.3231490E-003	-1.0738774E-002	0
2.550533935567946E+002	9.5331501E-003	-1.0574557E-002	0
2.650533933041734E+002	9.3995128E-003	-1.0400792E-002	0
2.750533930515521E+002	9.4186040E-003	-1.0225117E-002	0
2.850533927989309E+002	9.4376951E-003	-1.0076812E-002	0
2.950533925463096E+002	9.4376951E-003	-9.9272337E-003	0
3.050533922936884E+002	9.4186040E-003	-9.7916592E-003	0
3.150533920410671E+002	9.4186040E-003	-9.6649956E-003	0
3.250533917884459E+002	9.5140589E-003	-9.5485151E-003	0
3.350533915358246E+002	9.4949678E-003	-9.4218515E-003	0
3.450533912832034E+002	9.4758775E-003	-9.3085552E-003	0
3.550533910305821E+002	9.3995128E-003	-9.2168981E-003	0
3.650533907779609E+002	9.3995128E-003	-9.1137849E-003	0
3.750533905253396E+002	9.5140589E-003	-9.0036700E-003	0
3.850533902727184E+002	9.4567863E-003	-8.9247441E-003	0
3.950533900200971E+002	9.3995128E-003	-8.8286325E-003	0
4.050533897674759E+002	9.3613314E-003	-8.7395217E-003	0
4.150533895148546E+002	9.3613314E-003	-8.6599588E-003	0
4.250533892622334E+002	9.5140589E-003	-8.5873976E-003	0
4.350533890096121E+002	9.3613314E-003	-8.5103819E-003	0
4.450533887569909E+002	9.4758775E-003	-8.4416391E-003	0
4.550533885043697E+002	9.4758775E-003	-8.3818082E-003	0
4.650533882517484E+002	9.4949678E-003	-8.3200671E-003	0
4.750533879991272E+002	9.5140589E-003	-8.2589621E-003	0
4.850533877465059E+002	9.4758775E-003	-8.1927665E-003	0
4.950533874938847E+002	9.5331501E-003	-8.1221154E-003	0
5.050533872412634E+002	9.3995128E-003	-8.0610104E-003	0
5.150533869886422E+002	9.4186040E-003	-7.9986341E-003	0
5.250533867360209E+002	9.3613314E-003	-7.9292543E-003	0
5.350533864833997E+002	9.4758775E-003	-7.8643318E-003	0
5.450533862307784E+002	9.3995128E-003	-7.8051370E-003	0
5.550533859781572E+002	9.3613314E-003	-7.7389413E-003	0
5.650533857255359E+002	9.3804216E-003	-7.6689254E-003	0
5.750533854729147E+002	9.3995128E-003	-7.6180063E-003	0
5.850533852202934E+002	9.4186040E-003	-7.5384430E-003	0
5.950533849676722E+002	9.5140589E-003	-7.4887960E-003	0
