time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	3.2400548E+000	-2.5031064E-002	0
6.017319847989711E+001	9.4276723E-003	-1.3852582E+001	0
6.017379847988195E+001	9.3704080E-003	-1.3775578E+001	0
6.017439847986680E+001	9.3322312E-003	-1.3720213E+001	0
6.017479847985669E+001	9.3513196E-003	-1.3665484E+001	0
6.017539847984153E+001	9.3894964E-003	-1.3600574E+001	0
6.017579847983143E+001	9.4849374E-003	-1.3549664E+001	0
6.017639847981627E+001	9.3322312E-003	-1.3491117E+001	0
6.017699847980111E+001	9.2749661E-003	-1.3424295E+001	0
6.017759847978596E+001	9.3894964E-003	-1.3354932E+001	0
6.017819847977080E+001	9.4276723E-003	-1.3286837E+001	0
6.017879847975564E+001	9.3513196E-003	-1.3228291E+001	0
6.017919847974554E+001	9.2749661E-003	-1.3174198E+001	0
6.017979847973038E+001	9.4849374E-003	-1.3119470E+001	0
6.018039847971522E+001	9.3894964E-003	-1.3058376E+001	0
6.018099847970007E+001	9.4085848E-003	-1.2994739E+001	0
6.018159847968491E+001	9.3704080E-003	-1.2936191E+001	0
6.018219847966975E+001	9.3513196E-003	-1.2873827E+001	0
6.018279847965459E+001	9.4085848E-003	-1.2807007E+001	0
6.018339847963944E+001	9.3894964E-003	-1.2752914E+001	0
6.018399847962428E+001	9.4085848E-003	-1.2692457E+001	0
6.018459847960912E+001	9.4658490E-003	-1.2619910E+001	0
6.018539847958891E+001	9.4085848E-003	-1.2549907E+001	0
6.018599847957375E+001	9.3704080E-003	-1.2486271E+001	0
6.018659847955860E+001	9.4467606E-003	-1.2429631E+001	0
6.018719847954344E+001	9.3131429E-003	-1.2372994E+001	0
6.018779847952828E+001	9.3894964E-003	-1.2318266E+001	0
6.018839847951313E+001	9.3131429E-003	-1.2258446E+001	0
6.018899847949797E+001	9.3894964E-003	-1.2205626E+001	0
6.018959847948281E+001	9.4276723E-003	-1.2151533E+001	0
6.019019847946765E+001	9.4849374E-003	-1.2087259E+001	0
6.019079847945250E+001	9.4085848E-003	-1.2033803E+001	0
6.019139847943734E+001	9.5994677E-003	-1.1977165E+001	0
6.019199847942218E+001	9.3513196E-003	-1.1924346E+001	0
6.019259847940702E+001	9.4467606E-003	-1.1872162E+001	0
6.019319847939187E+001	9.4658490E-003	-1.1810433E+001	0
6.019399847937166E+001	9.3894964E-003	-1.1744885E+001	0
6.019459847935650E+001	9.4276723E-003	-1.1683793E+001	0
6.019539847933629E+001	9.3704080E-003	-1.1620790E+001	0
6.019599847932113E+001	9.3894964E-003	-1.1566698E+001	0
6.019659847930598E+001	9.4849374E-003	-1.1511333E+001	0
6.019719847929082E+001	9.2940545E-003	-1.1452149E+001	0
6.019799847927061E+001	9.4276723E-003	-1.1395512E+001	0
6.019859847925545E+001	9.3513196E-003	-1.1335691E+001	0
6.019939847923524E+001	9.4085848E-003	-1.1275236E+001	0
6.019999847922008E+001	9.4658490E-003	-1.1224326E+001	0
6.020059847920493E+001	9.5040258E-003	-1.1174051E+001	0
6.020139847918472E+001	9.4276723E-003	-1.1108503E+001	0
6.020199847916956E+001	9.3894964E-003	-1.1056957E+001	0
6.020279847914935E+001	9.3513196E-003	-1.1001592E+001	0
6.020339847913419E+001	9.3894964E-003	-1.0943045E+001	0
6.020399847911904E+001	9.3322312E-003	-1.0889589E+001	0
6.020479847909883E+001	9.5040258E-003	-1.0834224E+001	0
6.020539847908367E+001	9.3894964E-003	-1.0782041E+001	0
6.020619847906346E+001	9.3894964E-003	-1.0727948E+001	0
6.020699847904325E+001	9.3704080E-003	-1.0655400E+001	0
6.020779847902304E+001	9.4085848E-003	-1.0594308E+001	0
6.020859847900283E+001	9.4849374E-003	-1.0537033E+001	0
6.020939847898262E+001	9.3322312E-003	-1.0472758E+001	0
6.020999847896746E+001	9.4085848E-003	-1.0420575E+001	0
6.021099847894220E+001	9.4085848E-003	-1.0357574E+001	0
6.021159847892704E+001	9.3322312E-003	-1.0302844E+001	0
6.021239847890683E+001	9.4276723E-003	-1.0250661E+001	0
6.021319847888662E+001	9.3704080E-003	-1.0191478E+001	0
6.021399847886642E+001	9.3894964E-003	-1.0137385E+001	0
6.021479847884621E+001	9.3894964E-003	-1.0074384E+001	0
6.021559847882600E+001	9.4658490E-003	-1.0014564E+001	0
6.021659847880073E+001	9.3894964E-003	-9.9528341E+000	0
6.021739847878052E+001	9.3322312E-003	-9.8942881E+000	0
6.021819847876031E+001	9.4849374E-003	-9.8382854E+000	0
6.021899847874010E+001	9.3894964E-003	-9.7816486E+000	0
6.021979847871989E+001	9.4467606E-003	-9.7294645E+000	0
6.022059847869969E+001	9.4467606E-003	-9.6690083E+000	0
6.022159847867442E+001	9.4085848E-003	-9.6117344E+000	0
6.022259847864916E+001	9.4658490E-003	-9.5449142E+000	0
6.022339847862895E+001	9.3894964E-003	-9.4914579E+000	0
6.022419847860874E+001	9.4085848E-003	-9.4386387E+000	0
6.022499847858853E+001	9.3704080E-003	-9.3877277E+000	0
6.022579847856832E+001	9.4085848E-003	-9.3368168E+000	0
6.022659847854811E+001	9.3704080E-003	-9.2852707E+000	0
6.022759847852285E+001	9.3894964E-003	-9.2318144E+000	0
6.022839847850264E+001	9.3322312E-003	-9.1732674E+000	0
6.022959847847233E+001	9.3894964E-003	-9.1083565E+000	0
6.023039847845212E+001	9.4849374E-003	-9.0542641E+000	0
6.023119847843191E+001	9.4467606E-003	-9.0033541E+000	0
6.023239847840159E+001	9.3894964E-003	-8.9397154E+000	0
6.023339847837633E+001	9.4276723E-003	-8.8779860E+000	0
6.023439847835107E+001	9.4085848E-003	-8.8264389E+000	0
6.023539847832581E+001	9.4276723E-003	-8.7659826E+000	0
6.023639847830054E+001	9.4085848E-003	-8.7080727E+000	0
6.023739847827528E+001	9.3322312E-003	-8.6533432E+000	0
6.023839847825002E+001	9.4085848E-003	-8.6011600E+000	0
6.023939847822476E+001	9.3704080E-003	-8.5426130E+000	0
6.024059847819444E+001	9.3513196E-003	-8.4789743E+000	0
6.024159847816918E+001	9.3894964E-003	-8.4280643E+000	0
6.024259847814392E+001	9.4276723E-003	-8.3752451E+000	0
6.024359847811866E+001	9.4658490E-003	-8.3211517E+000	0
6.024479847808834E+001	9.5040258E-003	-8.2606964E+000	0
6.024599847805803E+001	9.4658490E-003	-8.2078762E+000	0
6.024699847803277E+001	9.4085848E-003	-8.1506014E+000	0
6.024839847799740E+001	9.4276723E-003	-8.0850554E+000	0
6.024939847797214E+001	9.3131429E-003	-8.0309620E+000	0
6.025059847794182E+001	9.4276723E-003	-7.9768691E+000	0
6.025179847791151E+001	9.4849374E-003	-7.9208679E+000	0
6.025299847788119E+001	9.3704080E-003	-7.8699565E+000	0
6.025399847785593E+001	9.4276723E-003	-7.8088646E+000	0
6.025539847782056E+001	9.5422026E-003	-7.7573171E+000	0
6.025659847779025E+001	9.4085848E-003	-7.6949525E+000	0
6.025819847774983E+001	9.5040258E-003	-7.6287689E+000	0
6.025939847771951E+001	9.3894964E-003	-7.5740404E+000	0
6.026079847768415E+001	9.4276723E-003	-7.5167656E+000	0
6.026199847765383E+001	9.3704080E-003	-7.4645829E+000	0
