time/s	Ewe/V	I/mA	error	
2.551971535531760E+003	-8.8023722E-002	-1.9447900E-001	0
2.551971735531755E+003	-1.3773318E-001	-1.9593914E-001	0
2.551971935531750E+003	-1.5107971E-001	-1.9595379E-001	0
2.551972135531745E+003	-1.5739885E-001	-1.9595505E-001	0
2.551972335531740E+003	-1.6194251E-001	-1.9595696E-001	0
2.551972535531735E+003	-1.6570345E-001	-1.9595633E-001	0
2.551972735531730E+003	-1.6915892E-001	-1.9596143E-001	0
2.551972935531725E+003	-1.7223258E-001	-1.9596079E-001	0
2.551973135531720E+003	-1.7538260E-001	-1.9596015E-001	0
2.551973335531715E+003	-1.7815080E-001	-1.9596143E-001	0
2.551973535531710E+003	-1.8110991E-001	-1.9595760E-001	0
2.551973735531705E+003	-1.8376356E-001	-1.9595760E-001	0
2.551973935531700E+003	-1.8635994E-001	-1.9596079E-001	0
2.551974135531695E+003	-1.8903269E-001	-1.9596270E-001	0
2.551974335531690E+003	-1.9162907E-001	-1.9596334E-001	0
2.551974535531685E+003	-1.9422545E-001	-1.9596143E-001	0
2.551974735531679E+003	-1.9665001E-001	-1.9596334E-001	0
2.551974935531674E+003	-1.9905548E-001	-1.9595569E-001	0
2.551975135531669E+003	-2.0138459E-001	-1.9596460E-001	0
2.551975335531664E+003	-2.0382823E-001	-1.9595888E-001	0
2.551975535531659E+003	-2.0611916E-001	-1.9595824E-001	0
2.551975735531654E+003	-2.0856281E-001	-1.9596396E-001	0
2.551975935531649E+003	-2.1077737E-001	-1.9596334E-001	0
2.551976135531644E+003	-2.1314466E-001	-1.9596206E-001	0
2.551976335531639E+003	-2.1520649E-001	-1.9595951E-001	0
2.551976535531634E+003	-2.1734469E-001	-1.9596015E-001	0
2.551976735531629E+003	-2.1952106E-001	-1.9596143E-001	0
2.551976935531624E+003	-2.2167835E-001	-1.9596015E-001	0
2.551977135531619E+003	-2.2375928E-001	-1.9595441E-001	0
2.551977335531614E+003	-2.2580202E-001	-1.9596715E-001	0
2.551977535531609E+003	-2.2788294E-001	-1.9595760E-001	0
2.551977735531604E+003	-2.2983022E-001	-1.9596015E-001	0
2.551977935531599E+003	-2.3181570E-001	-1.9595824E-001	0
2.551978135531594E+003	-2.3393479E-001	-1.9595888E-001	0
2.551978335531589E+003	-2.3586299E-001	-1.9595696E-001	0
2.551978535531583E+003	-2.3765755E-001	-1.9595888E-001	0
2.551978735531578E+003	-2.3970029E-001	-1.9596460E-001	0
2.551978935531573E+003	-2.4170485E-001	-1.9596396E-001	0
2.551979135531568E+003	-2.4355668E-001	-1.9595951E-001	0
2.551979335531563E+003	-2.4523668E-001	-1.9595633E-001	0
2.551979535531558E+003	-2.4714579E-001	-1.9596587E-001	0
2.551979735531553E+003	-2.4903581E-001	-1.9596206E-001	0
2.551979935531548E+003	-2.5067762E-001	-1.9596143E-001	0
2.551980135531543E+003	-2.5252944E-001	-1.9595951E-001	0
2.551980335531538E+003	-2.5424764E-001	-1.9596143E-001	0
2.551980535531533E+003	-2.5613767E-001	-1.9596015E-001	0
2.551980735531528E+003	-2.5760767E-001	-1.9595760E-001	0
