time/s	Ewe/V	I/mA	error	
1.309494166919380E+003	-9.5200201E-004	-1.9468524E-001	0
1.309494366919374E+003	-4.5599462E-003	-1.9596015E-001	0
1.309494566919369E+003	-6.7324266E-003	-1.9596779E-001	0
1.309494966919359E+003	-8.5460749E-003	-1.9596396E-001	0
1.309495366919349E+003	-9.9588111E-003	-1.9596270E-001	0
1.309495766919339E+003	-1.1295184E-002	-1.9596525E-001	0
1.309496166919329E+003	-1.2612464E-002	-1.9596460E-001	0
1.309496566919319E+003	-1.3834290E-002	-1.9597034E-001	0
1.309496966919309E+003	-1.4884297E-002	-1.9596525E-001	0
1.309497566919294E+003	-1.6487943E-002	-1.9595760E-001	0
1.309497966919284E+003	-1.7499767E-002	-1.9596779E-001	0
1.309498366919273E+003	-1.8511593E-002	-1.9596525E-001	0
1.309498966919258E+003	-1.9809783E-002	-1.9596842E-001	0
1.309499366919248E+003	-2.0821609E-002	-1.9596460E-001	0
1.309499966919233E+003	-2.2062525E-002	-1.9596396E-001	0
1.309500566919218E+003	-2.3379806E-002	-1.9596334E-001	0
1.309501166919203E+003	-2.4563450E-002	-1.9595951E-001	0
1.309501766919188E+003	-2.5899822E-002	-1.9596587E-001	0
1.309502366919172E+003	-2.7026193E-002	-1.9596779E-001	0
1.309502966919157E+003	-2.8248020E-002	-1.9596651E-001	0
1.309503566919142E+003	-2.9393481E-002	-1.9596842E-001	0
1.309504166919127E+003	-3.0424397E-002	-1.9596842E-001	0
1.309504766919112E+003	-3.1665314E-002	-1.9596715E-001	0
1.309505566919092E+003	-3.2982595E-002	-1.9596587E-001	0
1.309506166919076E+003	-3.4089874E-002	-1.9597097E-001	0
1.309506766919061E+003	-3.5139881E-002	-1.9597034E-001	0
1.309507566919041E+003	-3.6495343E-002	-1.9596715E-001	0
1.309508366919021E+003	-3.7793536E-002	-1.9596270E-001	0
1.309509166919001E+003	-3.9187182E-002	-1.9596715E-001	0
1.309509966918980E+003	-4.0485371E-002	-1.9596779E-001	0
1.309510766918960E+003	-4.1745380E-002	-1.9596206E-001	0
1.309511566918940E+003	-4.3062661E-002	-1.9596715E-001	0
1.309512366918920E+003	-4.4322666E-002	-1.9596525E-001	0
1.309513166918900E+003	-4.5372676E-002	-1.9595888E-001	0
1.309513966918879E+003	-4.6651773E-002	-1.9596206E-001	0
1.309514766918859E+003	-4.7835417E-002	-1.9596206E-001	0
1.309515566918839E+003	-4.8923608E-002	-1.9596460E-001	0
1.309516366918819E+003	-5.0049976E-002	-1.9596460E-001	0
1.309516966918804E+003	-5.1061802E-002	-1.9596143E-001	0
1.309517766918783E+003	-5.2092716E-002	-1.9596651E-001	0
1.309518566918763E+003	-5.3219087E-002	-1.9595951E-001	0
1.309519366918743E+003	-5.4307278E-002	-1.9596206E-001	0
1.309520166918723E+003	-5.5319101E-002	-1.9596460E-001	0
1.309520966918702E+003	-5.6560021E-002	-1.9596143E-001	0
1.309521766918682E+003	-5.7629116E-002	-1.9596206E-001	0
1.309522566918662E+003	-5.8793671E-002	-1.9596525E-001	0
1.309523566918637E+003	-5.9881859E-002	-1.9596779E-001	0
1.309524366918617E+003	-6.1180048E-002	-1.9596906E-001	0
1.309525366918591E+003	-6.2249146E-002	-1.9596334E-001	0
1.309526166918571E+003	-6.3413695E-002	-1.9596015E-001	0
1.309526966918551E+003	-6.4444616E-002	-1.9596715E-001	0
1.309528166918521E+003	-6.5780982E-002	-1.9596779E-001	0
1.309528966918500E+003	-6.6926450E-002	-1.9596206E-001	0
1.309529966918475E+003	-6.7957364E-002	-1.9596079E-001	0
1.309530966918450E+003	-6.9141008E-002	-1.9597161E-001	0
1.309531966918425E+003	-7.0401013E-002	-1.9596334E-001	0
1.309532966918399E+003	-7.1565568E-002	-1.9596651E-001	0
1.309533966918374E+003	-7.2730124E-002	-1.9596651E-001	0
1.309534966918349E+003	-7.3856495E-002	-1.9596587E-001	0
1.309535766918329E+003	-7.4868314E-002	-1.9596079E-001	0
1.309536766918303E+003	-7.5994685E-002	-1.9597225E-001	0
1.309537766918278E+003	-7.7159241E-002	-1.9596651E-001	0
1.309538766918253E+003	-7.8285612E-002	-1.9596587E-001	0
1.309539966918222E+003	-7.9431072E-002	-1.9596779E-001	0
1.309540966918197E+003	-8.0557443E-002	-1.9596079E-001	0
1.309541766918177E+003	-8.1569269E-002	-1.9596779E-001	0
1.309542966918147E+003	-8.2695641E-002	-1.9596396E-001	0
1.309544166918116E+003	-8.3917469E-002	-1.9596206E-001	0
1.309545166918091E+003	-8.4967472E-002	-1.9596525E-001	0
1.309546166918066E+003	-8.6112939E-002	-1.9596206E-001	0
1.309547366918036E+003	-8.7258399E-002	-1.9596779E-001	0
1.309548366918010E+003	-8.8422947E-002	-1.9596460E-001	0
1.309549566917980E+003	-8.9453869E-002	-1.9596715E-001	0
1.309550566917955E+003	-9.0465687E-002	-1.9596334E-001	0
1.309551566917929E+003	-9.1477513E-002	-1.9596143E-001	0
1.309552766917899E+003	-9.2546612E-002	-1.9596587E-001	0
1.309553966917869E+003	-9.3672983E-002	-1.9596842E-001	0
1.309555166917839E+003	-9.4818443E-002	-1.9596460E-001	0
1.309556366917808E+003	-9.5906638E-002	-1.9596779E-001	0
1.309557566917778E+003	-9.6956640E-002	-1.9596079E-001	0
