time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.7364206E+000	-2.5031064E-002	0
6.017319847989711E+001	9.2940545E-003	-8.5534315E+000	0
6.017379847988195E+001	9.4658490E-003	-8.5006113E+000	0
6.017459847986174E+001	9.4085848E-003	-8.4357014E+000	0
6.017539847984153E+001	9.5612910E-003	-8.3720627E+000	0
6.017619847982132E+001	9.4085848E-003	-8.3090611E+000	0
6.017679847980617E+001	9.3322312E-003	-8.2556047E+000	0
6.017759847978596E+001	9.3513196E-003	-8.1970577E+000	0
6.017839847976575E+001	9.4658490E-003	-8.1346931E+000	0
6.017899847975059E+001	9.3894964E-003	-8.0818720E+000	0
6.017979847973038E+001	9.4849374E-003	-8.0207796E+000	0
6.018059847971017E+001	9.4276723E-003	-7.9609604E+000	0
6.018139847968996E+001	9.3894964E-003	-7.9043212E+000	0
6.018219847966975E+001	9.4085848E-003	-7.8457751E+000	0
6.018299847964954E+001	9.4276723E-003	-7.7776828E+000	0
6.018379847962933E+001	9.4085848E-003	-7.7216806E+000	0
6.018459847960912E+001	9.4276723E-003	-7.6663156E+000	0
6.018559847958386E+001	9.3322312E-003	-7.5944042E+000	0
6.018639847956365E+001	9.4085848E-003	-7.5377660E+000	0
6.018719847954344E+001	9.3322312E-003	-7.4830379E+000	0
6.018799847952323E+001	9.3513196E-003	-7.4257636E+000	0
6.018899847949797E+001	9.3513196E-003	-7.3602161E+000	0
6.018959847948281E+001	9.4467606E-003	-7.3093057E+000	0
6.019039847946260E+001	9.4276723E-003	-7.2590313E+000	0
6.019139847943734E+001	9.3704080E-003	-7.1896658E+000	0
6.019219847941713E+001	9.2940545E-003	-7.1381192E+000	0
6.019319847939187E+001	9.3704080E-003	-7.0789351E+000	0
6.019399847937166E+001	9.4085848E-003	-7.0261159E+000	0
6.019479847935145E+001	9.4085848E-003	-6.9694777E+000	0
6.019579847932619E+001	9.3704080E-003	-6.9083853E+000	0
6.019679847930092E+001	9.2749661E-003	-6.8441105E+000	0
6.019759847928071E+001	9.3894964E-003	-6.7836542E+000	0
6.019859847925545E+001	9.4276723E-003	-6.7270164E+000	0
