time/s	Ewe/V	I/mA	error	
1.504548561991905E+003	7.8823818E-003	-2.4216324E-002	1
1.504560361991607E+003	6.8327878E-003	-2.4215881E-002	0
1.504573961991264E+003	5.6496095E-003	-2.4215942E-002	0
1.504590561990844E+003	4.6000159E-003	-2.4216134E-002	0
1.504607961990405E+003	3.5695059E-003	-2.4217026E-002	0
1.504625761989955E+003	2.4435783E-003	-2.4216324E-002	0
1.504646961989420E+003	1.3749013E-003	-2.4216516E-002	0
1.504666361988930E+003	3.6347477E-004	-2.4215626E-002	0
1.504686761988414E+003	-7.0520223E-004	-2.4216898E-002	0
1.504710161987823E+003	-1.8120463E-003	-2.4216389E-002	0
1.504731761987277E+003	-2.8807232E-003	-2.4216073E-002	0
1.504757361986631E+003	-3.9303168E-003	-2.4215942E-002	0
1.504782561985994E+003	-4.9417429E-003	-2.4216516E-002	0
1.504806761985383E+003	-5.9531694E-003	-2.4216516E-002	0
1.504831161984766E+003	-6.9836793E-003	-2.4216007E-002	0
1.504858761984069E+003	-8.0141891E-003	-2.4216389E-002	0
1.504884961983407E+003	-9.0256156E-003	-2.4215817E-002	0
1.504909961982776E+003	-1.0037042E-002	-2.4215942E-002	0
1.504940961981993E+003	-1.1067552E-002	-2.4215626E-002	0
1.504968561981295E+003	-1.2098062E-002	-2.4216263E-002	0
1.504996761980583E+003	-1.3109488E-002	-2.4216579E-002	0
1.505030161979739E+003	-1.4139999E-002	-2.4215881E-002	0
1.505059161979007E+003	-1.5170508E-002	-2.4216197E-002	0
1.505092361978168E+003	-1.6239185E-002	-2.4215752E-002	0
1.505125361977334E+003	-1.7288778E-002	-2.4216007E-002	0
1.505161761976415E+003	-1.8338371E-002	-2.4216134E-002	0
1.505194961975576E+003	-1.9368881E-002	-2.4216007E-002	0
1.505229561974702E+003	-2.0399392E-002	-2.4215432E-002	0
1.505265961973782E+003	-2.1429902E-002	-2.4216073E-002	0
1.505301761972878E+003	-2.2441328E-002	-2.4215881E-002	0
1.505339561971923E+003	-2.3452755E-002	-2.4215752E-002	0
1.505377561970963E+003	-2.4464181E-002	-2.4215562E-002	0
1.505415961969993E+003	-2.5532858E-002	-2.4215687E-002	0
1.505457561968942E+003	-2.6563369E-002	-2.4216263E-002	0
1.505496361967962E+003	-2.7612962E-002	-2.4214925E-002	0
1.505540161966856E+003	-2.8624387E-002	-2.4215687E-002	0
1.505581961965800E+003	-2.9712148E-002	-2.4216073E-002	0
1.505625361964703E+003	-3.0723576E-002	-2.4216007E-002	0
1.505672361963516E+003	-3.1734999E-002	-2.4216197E-002	0
1.505716561962399E+003	-3.2746427E-002	-2.4216007E-002	0
1.505760361961293E+003	-3.3757854E-002	-2.4215942E-002	0
1.505808561960075E+003	-3.4769282E-002	-2.4215242E-002	0
1.505855961958878E+003	-3.5780706E-002	-2.4215432E-002	0
