time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.1168785E+000	-2.5030727E-002	0
6.014319848065497E+001	9.1037266E-003	-6.0613804E+000	0
6.014379848063982E+001	9.2373108E-003	-6.0038290E+000	0
6.014439848062466E+001	9.1800606E-003	-5.9481239E+000	0
6.014499848060950E+001	9.0655591E-003	-5.8936286E+000	0
6.014559848059434E+001	9.1800606E-003	-5.8416166E+000	0
6.014619848057919E+001	9.2563946E-003	-5.7902408E+000	0
6.014679848056403E+001	9.1800606E-003	-5.7394376E+000	0
6.014759848054382E+001	9.0846429E-003	-5.6755838E+000	0
6.014839848052361E+001	9.2182280E-003	-5.6125574E+000	0
6.014919848050340E+001	9.1800606E-003	-5.5518870E+000	0
6.014999848048319E+001	9.0846429E-003	-5.4933171E+000	0
6.015079848046298E+001	9.2945620E-003	-5.4361486E+000	0
6.015159848044277E+001	9.2563946E-003	-5.3808250E+000	0
6.015239848042256E+001	9.1991443E-003	-5.3272209E+000	0
6.015319848040235E+001	9.2373108E-003	-5.2751451E+000	0
6.015399848038214E+001	9.2182280E-003	-5.2242780E+000	0
6.015499848035688E+001	9.2373108E-003	-5.1623344E+000	0
6.015599848033162E+001	9.1418931E-003	-5.1038923E+000	0
6.015699848030636E+001	9.2373108E-003	-5.0472322E+000	0
6.015799848028109E+001	9.0655591E-003	-4.9921637E+000	0
6.015899848025583E+001	9.1228103E-003	-4.9391332E+000	0
6.015999848023057E+001	9.1037266E-003	-4.8874388E+000	0
6.016099848020531E+001	9.2182280E-003	-4.8373361E+000	0
6.016219848017499E+001	9.1800606E-003	-4.7787027E+000	0
6.016339848014468E+001	9.2563946E-003	-4.7236981E+000	0
6.016459848011436E+001	9.2373108E-003	-4.6692667E+000	0
6.016579848008405E+001	9.1609769E-003	-4.6170630E+000	0
6.016699848005374E+001	9.2373108E-003	-4.5667696E+000	0
6.016839848001837E+001	9.2373108E-003	-4.5098553E+000	0
6.016979847998300E+001	9.3708960E-003	-4.4554234E+000	0
6.017119847994763E+001	9.2182280E-003	-4.4017558E+000	0
6.017259847991227E+001	9.1800606E-003	-4.3513346E+000	0
6.017419847987185E+001	9.1991443E-003	-4.2944202E+000	0
6.017579847983143E+001	9.2373108E-003	-4.2417073E+000	0
6.017739847979101E+001	9.2563946E-003	-4.1893129E+000	0
6.017899847975059E+001	9.1418931E-003	-4.1384463E+000	0
6.018079847970512E+001	9.2182280E-003	-4.0847788E+000	0
6.018259847965965E+001	9.2754783E-003	-4.0321927E+000	0
6.018439847961417E+001	9.1418931E-003	-3.9809446E+000	0
6.018639847956365E+001	9.1991443E-003	-3.9281042E+000	0
6.018839847951313E+001	9.4090626E-003	-3.8759644E+000	0
6.019059847945755E+001	9.2754783E-003	-3.8207686E+000	0
6.019279847940197E+001	9.0846429E-003	-3.7680559E+000	0
6.019499847934640E+001	9.1991443E-003	-3.7169986E+000	0
6.019739847928577E+001	9.1037266E-003	-3.6647952E+000	0
6.019979847922514E+001	9.1418931E-003	-3.6129103E+000	0
6.020239847915946E+001	9.1991443E-003	-3.5594966E+000	0
6.020499847909377E+001	9.1609769E-003	-3.5090125E+000	0
6.020779847902304E+001	9.2754783E-003	-3.4545805E+000	0
6.021059847895231E+001	9.1991443E-003	-3.4044781E+000	0
6.021359847887652E+001	9.2373108E-003	-3.3513193E+000	0
6.021659847880073E+001	9.2373108E-003	-3.3007076E+000	0
6.021979847871989E+001	9.1228103E-003	-3.2492685E+000	0
6.022299847863906E+001	9.1228103E-003	-3.1988475E+000	0
6.022639847855316E+001	9.2373108E-003	-3.1483626E+000	0
6.022999847846222E+001	9.2754783E-003	-3.0967960E+000	0
6.023359847837128E+001	9.2754783E-003	-3.0463114E+000	0
6.023739847827528E+001	9.1418931E-003	-2.9956994E+000	0
6.024139847817423E+001	9.3136448E-003	-2.9452150E+000	0
6.024539847807318E+001	9.2945620E-003	-2.8947303E+000	0
6.024979847796203E+001	9.1991443E-003	-2.8433545E+000	0
6.025439847784583E+001	9.2373108E-003	-2.7909601E+000	0
6.025899847772962E+001	9.1991443E-003	-2.7407300E+000	0
6.026399847760331E+001	9.1609769E-003	-2.6887176E+000	0
6.026899847747700E+001	9.2182280E-003	-2.6380422E+000	0
6.027439847734058E+001	9.1800606E-003	-2.5863481E+000	0
6.027979847720417E+001	9.2754783E-003	-2.5357358E+000	0
6.028559847705765E+001	9.0655591E-003	-2.4841056E+000	0
6.029159847690607E+001	9.1800606E-003	-2.4336209E+000	0
6.029779847674945E+001	9.3136448E-003	-2.3830090E+000	0
6.030439847658272E+001	9.3708960E-003	-2.3314421E+000	0
6.031119847641094E+001	9.1609769E-003	-2.2810850E+000	0
6.031819847623410E+001	9.0846429E-003	-2.2303457E+000	0
6.032559847604716E+001	9.2754783E-003	-2.1803069E+000	0
6.033339847585012E+001	9.1418931E-003	-2.1294403E+000	0
6.034139847564802E+001	9.2754783E-003	-2.0789557E+000	0
6.034999847543077E+001	9.1418931E-003	-2.0280254E+000	0
6.035879847520846E+001	9.2373108E-003	-1.9779863E+000	0
6.036839847496594E+001	9.1609769E-003	-1.9269290E+000	0
6.037819847471837E+001	9.1228103E-003	-1.8768899E+000	0
6.038859847445565E+001	9.2373108E-003	-1.8255777E+000	0
6.039979847417271E+001	9.2945620E-003	-1.7737563E+000	0
6.041139847387967E+001	9.0846429E-003	-1.7237172E+000	0
6.042339847357653E+001	9.1418931E-003	-1.6734874E+000	0
6.043639847324812E+001	9.1418931E-003	-1.6227481E+000	0
6.045019847289950E+001	9.1991443E-003	-1.5722001E+000	0
6.046459847253573E+001	9.1800606E-003	-1.5220973E+000	0
6.048039847213659E+001	9.1800606E-003	-1.4715493E+000	0
6.049679847172229E+001	9.0846429E-003	-1.4210646E+000	0
6.051459847127262E+001	9.2563946E-003	-1.3705801E+000	0
6.053359847079264E+001	9.2563946E-003	-1.3197771E+000	0
6.055439847026719E+001	9.1037266E-003	-1.2682103E+000	0
6.057679846970132E+001	9.1418931E-003	-1.2179167E+000	0
6.060079846909503E+001	9.2754783E-003	-1.1677505E+000	0
6.062659846844326E+001	9.1228103E-003	-1.1174569E+000	0
6.065519846772077E+001	9.1991443E-003	-1.0666540E+000	0
6.068699846691743E+001	9.2563946E-003	-1.0164877E+000	0
6.072139846604841E+001	9.2373108E-003	-9.6613044E-001	0
6.076079846505309E+001	9.2182280E-003	-9.1590047E-001	0
6.080439846395166E+001	9.1800606E-003	-8.6522490E-001	0
6.085479846267845E+001	9.1609769E-003	-8.1442201E-001	0
6.091299846120819E+001	9.1609769E-003	-7.6406479E-001	0
6.098039845950552E+001	9.1037266E-003	-7.1332556E-001	0
6.106019845748961E+001	9.1228103E-003	-6.6296834E-001	0
6.115679845504928E+001	9.1800606E-003	-6.1286575E-001	0
6.127379845209362E+001	9.1418931E-003	-5.6269944E-001	0
6.142279844832956E+001	9.2182280E-003	-5.1240593E-001	0
6.161299844352470E+001	9.2754783E-003	-4.6198496E-001	0
6.189619843637047E+001	9.1609769E-003	-4.1185918E-001	0
6.226559842703864E+001	9.2754783E-003	-3.6184266E-001	0
6.281559841314447E+001	9.1800606E-003	-3.1178802E-001	0
6.370879839058034E+001	9.2182280E-003	-2.6173970E-001	0
6.505279835662805E+001	9.1609769E-003	-2.1934506E-001	0
6.505339835659834E+001	9.2563946E-003	-2.1879746E-001	0
6.843139827126288E+001	9.2945620E-003	-1.6877459E-001	0
7.843139801864163E+001	9.1418931E-003	-1.2079571E-001	0
8.843139776602038E+001	9.2563946E-003	-1.0128578E-001	0
9.843139751339913E+001	9.1991443E-003	-8.9130282E-002	0
1.084313972607779E+002	9.2373108E-003	-8.0324069E-002	0
1.184313970081566E+002	9.2754783E-003	-7.3619127E-002	0
1.284313967555354E+002	9.2182280E-003	-6.8022117E-002	0
1.384313965029141E+002	9.1037266E-003	-6.3641302E-002	0
1.484313962502929E+002	9.1991443E-003	-5.9680730E-002	0
1.584313959976716E+002	9.1228103E-003	-5.6484260E-002	0
1.684313957450504E+002	9.1418931E-003	-5.3357828E-002	0
1.784313954924291E+002	9.2182280E-003	-5.0861780E-002	0
1.884313952398079E+002	9.1800606E-003	-4.8397567E-002	0
1.984313949871867E+002	9.2373108E-003	-4.6372712E-002	0
2.084313947345654E+002	9.2945620E-003	-4.4756573E-002	0
2.184313944819442E+002	9.1800606E-003	-4.3080430E-002	0
2.284313942293229E+002	9.1991443E-003	-4.1600995E-002	0
2.384313939767017E+002	9.2563946E-003	-4.0176943E-002	0
2.455987937956379E+002	9.2373108E-003	-3.9145667E-002	0
2.455989937956329E+002	9.2373108E-003	-3.9308637E-002	0
