time/s	Ewe/V	I/mA	error	
2.457521937917627E+002	-7.1400963E-002	-1.9442866E+000	0
2.457523937917576E+002	-1.3183339E-001	-1.9592501E+000	0
2.457525937917526E+002	-1.4820170E-001	-1.9593456E+000	0
2.457527937917475E+002	-1.5774347E-001	-1.9594858E+000	0
2.457529937917425E+002	-1.6537687E-001	-1.9594539E+000	0
2.457531937917374E+002	-1.7209427E-001	-1.9595239E+000	0
2.457533937917324E+002	-1.7829642E-001	-1.9595239E+000	0
2.457535937917273E+002	-1.8402147E-001	-1.9594984E+000	0
2.457537937917223E+002	-1.8940303E-001	-1.9594984E+000	0
2.457539937917172E+002	-1.9455557E-001	-1.9595239E+000	0
2.457541937917122E+002	-1.9944096E-001	-1.9595877E+000	0
2.457543937917071E+002	-2.0407824E-001	-1.9595622E+000	0
2.457545937917021E+002	-2.0867738E-001	-1.9595113E+000	0
2.457547937916970E+002	-2.1291392E-001	-1.9595113E+000	0
2.457549937916920E+002	-2.1711229E-001	-1.9594922E+000	0
2.457551937916869E+002	-2.2113891E-001	-1.9595367E+000	0
2.457553937916819E+002	-2.2516553E-001	-1.9595686E+000	0
2.457555937916768E+002	-2.2892499E-001	-1.9595748E+000	0
2.457557937916717E+002	-2.3262718E-001	-1.9595239E+000	0
2.457559937916667E+002	-2.3619580E-001	-1.9595686E+000	0
2.457561937916616E+002	-2.3968810E-001	-1.9595431E+000	0
2.457563937916566E+002	-2.4300863E-001	-1.9595686E+000	0
2.457565937916515E+002	-2.4623373E-001	-1.9595939E+000	0
2.457567937916465E+002	-2.4955428E-001	-1.9595686E+000	0
2.457569937916414E+002	-2.5268397E-001	-1.9595939E+000	0
2.457571937916364E+002	-2.5564191E-001	-1.9595557E+000	0
2.457573937916313E+002	-2.5873342E-001	-1.9595113E+000	0
2.457575937916263E+002	-2.6153871E-001	-1.9595304E+000	0
2.457577937916212E+002	-2.6436308E-001	-1.9595431E+000	0
2.457579937916162E+002	-2.6726377E-001	-1.9595622E+000	0
2.457581937916111E+002	-2.6989728E-001	-1.9595557E+000	0
2.457583937916061E+002	-2.7277890E-001	-1.9595686E+000	0
