time/s	Ewe/V	I/mA	error	
1.766787955367035E+002	-2.4754178E-002	-1.9458402E+000	0
1.766789955366985E+002	-4.7115780E-002	-1.9594858E+000	0
1.766791955366934E+002	-5.3203959E-002	-1.9595431E+000	0
1.766793955366884E+002	-5.6810744E-002	-1.9595622E+000	0
1.766795955366833E+002	-5.9921358E-002	-1.9595048E+000	0
1.766797955366783E+002	-6.2669381E-002	-1.9596130E+000	0
1.766799955366732E+002	-6.5436490E-002	-1.9595494E+000	0
1.766801955366682E+002	-6.7821935E-002	-1.9595557E+000	0
1.766803955366631E+002	-7.0283704E-002	-1.9595622E+000	0
1.766805955366581E+002	-7.2650060E-002	-1.9595494E+000	0
1.766807955366530E+002	-7.4825585E-002	-1.9596068E+000	0
1.766809955366480E+002	-7.7211022E-002	-1.9595748E+000	0
1.766811955366429E+002	-7.9329289E-002	-1.9595748E+000	0
1.766813955366379E+002	-8.1600234E-002	-1.9595113E+000	0
1.766815955366328E+002	-8.3680332E-002	-1.9595367E+000	0
1.766817955366278E+002	-8.5913107E-002	-1.9596003E+000	0
1.766819955366227E+002	-8.7974124E-002	-1.9595813E+000	0
1.766821955366177E+002	-9.0054229E-002	-1.9595813E+000	0
1.766823955366126E+002	-9.2058003E-002	-1.9595748E+000	0
1.766825955366076E+002	-9.3985438E-002	-1.9595813E+000	0
1.766827955366025E+002	-9.5989205E-002	-1.9595557E+000	0
1.766829955365974E+002	-9.7859390E-002	-1.9596003E+000	0
1.766831955365924E+002	-9.9824995E-002	-1.9596068E+000	0
1.766833955365873E+002	-1.0167609E-001	-1.9596003E+000	0
1.766835955365823E+002	-1.0362261E-001	-1.9596194E+000	0
1.766837955365772E+002	-1.0545463E-001	-1.9595431E+000	0
1.766839955365722E+002	-1.0730573E-001	-1.9595813E+000	0
1.766841955365671E+002	-1.0904233E-001	-1.9595877E+000	0
1.766843955365621E+002	-1.1091252E-001	-1.9596194E+000	0
1.766845955365570E+002	-1.1249645E-001	-1.9595622E+000	0
1.766847955365520E+002	-1.1417580E-001	-1.9595813E+000	0
1.766849955365469E+002	-1.1610323E-001	-1.9595877E+000	0
1.766851955365419E+002	-1.1785892E-001	-1.9595813E+000	0
1.766853955365368E+002	-1.1942376E-001	-1.9595113E+000	0
1.766855955365318E+002	-1.2119853E-001	-1.9595622E+000	0
1.766857955365267E+002	-1.2278246E-001	-1.9595304E+000	0
1.766859955365217E+002	-1.2444273E-001	-1.9595622E+000	0
1.766861955365166E+002	-1.2604575E-001	-1.9595748E+000	0
1.766863955365116E+002	-1.2772509E-001	-1.9595048E+000	0
1.766865955365065E+002	-1.2921360E-001	-1.9595304E+000	0
1.766867955365015E+002	-1.3083570E-001	-1.9595113E+000	0
1.766869955364964E+002	-1.3232422E-001	-1.9596194E+000	0
1.766871955364913E+002	-1.3390815E-001	-1.9595748E+000	0
1.766873955364863E+002	-1.3528216E-001	-1.9595939E+000	0
1.766875955364812E+002	-1.3686609E-001	-1.9595494E+000	0
1.766877955364762E+002	-1.3835461E-001	-1.9595813E+000	0
1.766879955364711E+002	-1.3990037E-001	-1.9595748E+000	0
1.766881955364661E+002	-1.4125530E-001	-1.9595557E+000	0
1.766883955364610E+002	-1.4280108E-001	-1.9596322E+000	0
1.766885955364560E+002	-1.4415599E-001	-1.9595304E+000	0
1.766887955364509E+002	-1.4575902E-001	-1.9596003E+000	0
1.766889955364459E+002	-1.4713302E-001	-1.9595748E+000	0
1.766891955364408E+002	-1.4844979E-001	-1.9595367E+000	0
1.766893955364358E+002	-1.4988105E-001	-1.9596258E+000	0
1.766895955364307E+002	-1.5121689E-001	-1.9595686E+000	0
1.766897955364257E+002	-1.5253367E-001	-1.9595686E+000	0
1.766899955364206E+002	-1.5398401E-001	-1.9595431E+000	0
1.766901955364156E+002	-1.5520535E-001	-1.9596194E+000	0
1.766903955364105E+002	-1.5661754E-001	-1.9596512E+000	0
1.766905955364055E+002	-1.5780072E-001	-1.9595939E+000	0
1.766907955364004E+002	-1.5919381E-001	-1.9596258E+000	0
1.766909955363953E+002	-1.6030066E-001	-1.9595939E+000	0
1.766911955363903E+002	-1.6171284E-001	-1.9596386E+000	0
1.766913955363852E+002	-1.6299143E-001	-1.9595686E+000	0
1.766915955363802E+002	-1.6417462E-001	-1.9595748E+000	0
1.766917955363751E+002	-1.6541503E-001	-1.9595877E+000	0
1.766919955363701E+002	-1.6675088E-001	-1.9596577E+000	0
1.766921955363650E+002	-1.6789590E-001	-1.9595877E+000	0
1.766923955363600E+002	-1.6913633E-001	-1.9595748E+000	0
1.766925955363549E+002	-1.7033859E-001	-1.9595939E+000	0
1.766927955363499E+002	-1.7146452E-001	-1.9595557E+000	0
1.766929955363448E+002	-1.7253318E-001	-1.9595686E+000	0
1.766931955363398E+002	-1.7371637E-001	-1.9595622E+000	0
1.766933955363347E+002	-1.7484230E-001	-1.9595686E+000	0
1.766935955363297E+002	-1.7596823E-001	-1.9595622E+000	0
1.766937955363246E+002	-1.7713232E-001	-1.9595557E+000	0
1.766939955363196E+002	-1.7823917E-001	-1.9595557E+000	0
1.766941955363145E+002	-1.7938417E-001	-1.9596512E+000	0
1.766943955363095E+002	-1.8047194E-001	-1.9595748E+000	0
1.766945955363044E+002	-1.8157879E-001	-1.9596068E+000	0
1.766947955362994E+002	-1.8268563E-001	-1.9595622E+000	0
