time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.7452781E+000	-2.5025172E-002	0
6.017319847989711E+001	9.3995128E-003	-1.6145113E+001	0
6.017359847988700E+001	9.4949678E-003	-1.6085886E+001	0
6.017399847987690E+001	9.3995128E-003	-1.6028568E+001	0
6.017439847986680E+001	9.3995128E-003	-1.5962337E+001	0
6.017479847985669E+001	9.3995128E-003	-1.5908842E+001	0
6.017519847984659E+001	9.4567863E-003	-1.5847066E+001	0
6.017559847983648E+001	9.4758775E-003	-1.5780197E+001	0
6.017599847982638E+001	9.4567863E-003	-1.5729887E+001	0
6.017639847981627E+001	9.4376951E-003	-1.5675117E+001	0
6.017679847980617E+001	9.4949678E-003	-1.5613343E+001	0
6.017719847979606E+001	9.4758775E-003	-1.5555390E+001	0
6.017759847978596E+001	9.4758775E-003	-1.5498713E+001	0
6.017799847977585E+001	9.3995128E-003	-1.5448400E+001	0
6.017839847976575E+001	9.4758775E-003	-1.5391084E+001	0
6.017879847975564E+001	9.4949678E-003	-1.5333131E+001	0
6.017919847974554E+001	9.4567863E-003	-1.5282820E+001	0
6.017959847973543E+001	9.4758775E-003	-1.5226777E+001	0
6.017999847972533E+001	9.3804216E-003	-1.5173919E+001	0
6.018059847971017E+001	9.4186040E-003	-1.5100681E+001	0
6.018099847970007E+001	9.4949678E-003	-1.5042091E+001	0
6.018139847968996E+001	9.5331501E-003	-1.4991142E+001	0
6.018179847967986E+001	9.4567863E-003	-1.4940194E+001	0
6.018219847966975E+001	9.4376951E-003	-1.4887338E+001	0
6.018279847965459E+001	9.3422402E-003	-1.4809004E+001	0
6.018339847963944E+001	9.4758775E-003	-1.4732582E+001	0
6.018399847962428E+001	9.4949678E-003	-1.4655523E+001	0
6.018459847960912E+001	9.3995128E-003	-1.4583559E+001	0
6.018519847959396E+001	9.3995128E-003	-1.4512870E+001	0
6.018559847958386E+001	9.4186040E-003	-1.4461922E+001	0
6.018619847956870E+001	9.4758775E-003	-1.4392506E+001	0
