time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.8694918E+000	-2.5020160E-002	0
6.017319847989711E+001	9.4226198E-003	-1.4164575E+001	0
6.017359847988700E+001	9.3462700E-003	-1.4114275E+001	0
6.017399847987690E+001	9.3271835E-003	-1.4049971E+001	0
6.017439847986680E+001	9.4417064E-003	-1.3987575E+001	0
6.017499847985164E+001	9.3653575E-003	-1.3911807E+001	0
6.017539847984153E+001	9.3271835E-003	-1.3855780E+001	0
6.017599847982638E+001	9.2890086E-003	-1.3774919E+001	0
6.017639847981627E+001	9.4417064E-003	-1.3714434E+001	0
6.017679847980617E+001	9.4798813E-003	-1.3660952E+001	0
6.017739847979101E+001	9.3462700E-003	-1.3590916E+001	0
6.017779847978090E+001	9.3844449E-003	-1.3538706E+001	0
6.017819847977080E+001	9.4798813E-003	-1.3483951E+001	0
6.017859847976069E+001	9.3271835E-003	-1.3429832E+001	0
6.017919847974554E+001	9.3080960E-003	-1.3354702E+001	0
6.017979847973038E+001	9.4035324E-003	-1.3278298E+001	0
6.018019847972027E+001	9.3653575E-003	-1.3226727E+001	0
6.018079847970512E+001	9.3844449E-003	-1.3152872E+001	0
6.018139847968996E+001	9.3653575E-003	-1.3083470E+001	0
6.018199847967480E+001	9.3462700E-003	-1.3007705E+001	0
6.018239847966470E+001	9.3462700E-003	-1.2956769E+001	0
6.018299847964954E+001	9.3462700E-003	-1.2890553E+001	0
6.018359847963438E+001	9.3080960E-003	-1.2814150E+001	0
6.018419847961923E+001	9.2890086E-003	-1.2744115E+001	0
6.018479847960407E+001	9.3080960E-003	-1.2679808E+001	0
6.018539847958891E+001	9.4417064E-003	-1.2604679E+001	0
6.018599847957375E+001	9.2699211E-003	-1.2545467E+001	0
6.018659847955860E+001	9.4417064E-003	-1.2473520E+001	0
6.018719847954344E+001	9.4417064E-003	-1.2415582E+001	0
6.018759847953334E+001	9.4607938E-003	-1.2364009E+001	0
6.018819847951818E+001	9.4607938E-003	-1.2304160E+001	0
6.018879847950302E+001	9.3653575E-003	-1.2238581E+001	0
6.018939847948786E+001	9.4035324E-003	-1.2175548E+001	0
6.018999847947271E+001	9.3653575E-003	-1.2104239E+001	0
6.019059847945755E+001	9.3271835E-003	-1.2052030E+001	0
6.019099847944744E+001	9.3653575E-003	-1.1998548E+001	0
6.019159847943229E+001	9.4417064E-003	-1.1945065E+001	0
6.019219847941713E+001	9.3844449E-003	-1.1888400E+001	0
6.019279847940197E+001	9.4035324E-003	-1.1824094E+001	0
6.019339847938681E+001	9.3462700E-003	-1.1766155E+001	0
6.019399847937166E+001	9.4035324E-003	-1.1698666E+001	0
6.019459847935650E+001	9.3271835E-003	-1.1645184E+001	0
6.019519847934134E+001	9.4417064E-003	-1.1591702E+001	0
6.019579847932619E+001	9.4035324E-003	-1.1536946E+001	0
6.019639847931103E+001	9.4417064E-003	-1.1477734E+001	0
6.019699847929587E+001	9.3080960E-003	-1.1420431E+001	0
6.019759847928071E+001	9.3271835E-003	-1.1361855E+001	0
6.019819847926556E+001	9.3462700E-003	-1.1310920E+001	0
6.019879847925040E+001	9.3653575E-003	-1.1257438E+001	0
6.019939847923524E+001	9.3080960E-003	-1.1205866E+001	0
6.019999847922008E+001	9.4607938E-003	-1.1152383E+001	0
6.020059847920493E+001	9.3844449E-003	-1.1096992E+001	0
6.020139847918472E+001	9.4417064E-003	-1.1029501E+001	0
6.020199847916956E+001	9.3844449E-003	-1.0977294E+001	0
6.020259847915440E+001	9.3844449E-003	-1.0925085E+001	0
6.020339847913419E+001	9.2699211E-003	-1.0856322E+001	0
6.020419847911398E+001	9.3844449E-003	-1.0783102E+001	0
6.020499847909377E+001	9.2890086E-003	-1.0727709E+001	0
6.020579847907356E+001	9.4417064E-003	-1.0655764E+001	0
6.020659847905335E+001	9.3080960E-003	-1.0598461E+001	0
6.020719847903820E+001	9.3844449E-003	-1.0546252E+001	0
6.020799847901799E+001	9.4417064E-003	-1.0490224E+001	0
6.020879847899778E+001	9.4417064E-003	-1.0419551E+001	0
6.020959847897757E+001	9.4607938E-003	-1.0366068E+001	0
6.021039847895736E+001	9.3653575E-003	-1.0304946E+001	0
6.021099847894220E+001	9.3462700E-003	-1.0254010E+001	0
6.021179847892199E+001	9.4607938E-003	-1.0194160E+001	0
6.021259847890178E+001	9.3653575E-003	-1.0135586E+001	0
6.021339847888157E+001	9.2508346E-003	-1.0076373E+001	0
6.021419847886136E+001	9.3844449E-003	-1.0023528E+001	0
6.021499847884115E+001	9.4607938E-003	-9.9674988E+000	0
6.021579847882094E+001	9.4607938E-003	-9.9063759E+000	0
6.021659847880073E+001	9.3462700E-003	-9.8509846E+000	0
6.021739847878052E+001	9.4417064E-003	-9.7968655E+000	0
6.021799847876537E+001	9.4035324E-003	-9.7465668E+000	0
6.021899847874010E+001	9.3844449E-003	-9.6886272E+000	0
6.021979847871989E+001	9.3653575E-003	-9.6351452E+000	0
6.022059847869969E+001	9.4226198E-003	-9.5797529E+000	0
6.022139847867948E+001	9.3653575E-003	-9.5249987E+000	0
6.022239847865421E+001	9.3271835E-003	-9.4613285E+000	0
6.022339847862895E+001	9.3653575E-003	-9.4021158E+000	0
6.022419847860874E+001	9.3462700E-003	-9.3429041E+000	0
6.022519847858348E+001	9.3080960E-003	-9.2906942E+000	0
6.022619847855822E+001	9.3080960E-003	-9.2251158E+000	0
6.022719847853296E+001	9.2699211E-003	-9.1620836E+000	0
6.022819847850769E+001	9.3080960E-003	-9.1028709E+000	0
6.022919847848243E+001	9.2890086E-003	-9.0449314E+000	0
6.023039847845212E+001	9.4226198E-003	-8.9723482E+000	0
6.023139847842685E+001	9.3653575E-003	-8.9182291E+000	0
6.023239847840159E+001	9.4035324E-003	-8.8641109E+000	0
6.023319847838138E+001	9.3844449E-003	-8.8138123E+000	0
6.023419847835612E+001	9.4989687E-003	-8.7609673E+000	0
6.023519847833086E+001	9.3653575E-003	-8.7093954E+000	0
6.023619847830560E+001	9.3271835E-003	-8.6495457E+000	0
6.023739847827528E+001	9.4226198E-003	-8.5979738E+000	0
6.023839847825002E+001	9.3844449E-003	-8.5413084E+000	0
6.023939847822476E+001	9.4035324E-003	-8.4852791E+000	0
6.024059847819444E+001	9.4417064E-003	-8.4184265E+000	0
6.024199847815908E+001	9.4035324E-003	-8.3560305E+000	0
6.024299847813381E+001	9.3462700E-003	-8.3012743E+000	0
6.024399847810855E+001	9.4035324E-003	-8.2503395E+000	0
6.024539847807318E+001	9.4035324E-003	-8.1860332E+000	0
6.024659847804287E+001	9.3462700E-003	-8.1287317E+000	0
6.024779847801256E+001	9.3653575E-003	-8.0733395E+000	0
6.024899847798224E+001	9.3653575E-003	-8.0179472E+000	0
6.025019847795193E+001	9.4798813E-003	-7.9593706E+000	0
6.025139847792161E+001	9.3653575E-003	-7.9065256E+000	0
