time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	3.0890813E+000	-2.5015498E-002	0
6.014319848065497E+001	8.6124782E-003	-9.3572693E+000	0
6.014399848063476E+001	8.6315693E-003	-9.2990885E+000	0
6.014479848061455E+001	8.6315693E-003	-9.2420540E+000	0
6.014559848059434E+001	8.6315693E-003	-9.1848936E+000	0
6.014639848057413E+001	8.6888429E-003	-9.1286879E+000	0
6.014719848055393E+001	8.6697517E-003	-9.0721006E+000	0
6.014799848053372E+001	8.6315693E-003	-9.0158319E+000	0
6.014879848051351E+001	8.6124782E-003	-8.9614744E+000	0
6.014959848049330E+001	8.5933870E-003	-8.9055872E+000	0
6.015039848047309E+001	8.6506605E-003	-8.8511028E+000	0
6.015119848045288E+001	8.6315693E-003	-8.7968092E+000	0
6.015199848043267E+001	8.5552055E-003	-8.7430258E+000	0
6.015279848041246E+001	8.5933870E-003	-8.6891785E+000	0
6.015359848039225E+001	8.4215682E-003	-8.6357136E+000	0
6.015439848037204E+001	8.6697517E-003	-8.5836496E+000	0
6.015519848035183E+001	8.6315693E-003	-8.5317144E+000	0
6.015599848033162E+001	8.6124782E-003	-8.4802246E+000	0
6.015679848031141E+001	8.5742967E-003	-8.4283524E+000	0
6.015779848028615E+001	8.5361144E-003	-8.3652020E+000	0
6.015879848026088E+001	8.5933870E-003	-8.3026876E+000	0
6.015979848023562E+001	8.5742967E-003	-8.2411289E+000	0
6.016079848021036E+001	8.5933870E-003	-8.1792526E+000	0
6.016179848018510E+001	8.6506605E-003	-8.1191597E+000	0
6.016279848015984E+001	8.5933870E-003	-8.0588760E+000	0
6.016379848013457E+001	8.6506605E-003	-7.9998031E+000	0
6.016479848010931E+001	8.6506605E-003	-7.9416862E+000	0
6.016579848008405E+001	8.5552055E-003	-7.8836327E+000	0
6.016679848005879E+001	8.6506605E-003	-7.8267903E+000	0
6.016779848003353E+001	8.5933870E-003	-7.7689281E+000	0
6.016879848000826E+001	8.7079331E-003	-7.7127872E+000	0
6.016979847998300E+001	8.6506605E-003	-7.6569643E+000	0
6.017079847995774E+001	8.6697517E-003	-7.6019058E+000	0
6.017179847993248E+001	8.5170232E-003	-7.5474210E+000	0
6.017279847990721E+001	8.6315693E-003	-7.4932542E+000	0
6.017379847988195E+001	8.5933870E-003	-7.4401727E+000	0
