time/s	Ewe/V	I/mA	error	
4.020048876323315E+004	-2.0213066E-002	-1.9452041E-001	0
4.020048896323313E+004	-4.7714673E-002	-1.9595198E-001	0
4.020048916323314E+004	-6.3150100E-002	-1.9596535E-001	0
4.020048936323309E+004	-7.1550146E-002	-1.9597425E-001	0
4.020048956323310E+004	-7.7239268E-002	-1.9597489E-001	0
4.020048976323311E+004	-8.1210203E-002	-1.9597362E-001	0
4.020048996323312E+004	-8.4092945E-002	-1.9598189E-001	0
4.020049016323313E+004	-8.6441137E-002	-1.9597934E-001	0
4.020049036323302E+004	-8.8312060E-002	-1.9597617E-001	0
4.020049056323303E+004	-8.9953884E-002	-1.9597870E-001	0
4.020049076323304E+004	-9.1309346E-002	-1.9597425E-001	0
4.020049096323305E+004	-9.2645720E-002	-1.9598380E-001	0
4.020049116323306E+004	-9.3657538E-002	-1.9597934E-001	0
4.020049156323308E+004	-9.5662095E-002	-1.9597743E-001	0
4.020049196323309E+004	-9.7380288E-002	-1.9598508E-001	0
4.020049236323308E+004	-9.9022113E-002	-1.9598444E-001	0
4.020049276323308E+004	-1.0077849E-001	-1.9597870E-001	0
4.020049316323310E+004	-1.0219122E-001	-1.9598125E-001	0
4.020049356323306E+004	-1.0362305E-001	-1.9598635E-001	0
4.020049396323308E+004	-1.0476851E-001	-1.9598380E-001	0
4.020049436323310E+004	-1.0612398E-001	-1.9598380E-001	0
4.020049476323312E+004	-1.0734580E-001	-1.9598444E-001	0
4.020049516323314E+004	-1.0858671E-001	-1.9598699E-001	0
4.020049556323315E+004	-1.0959854E-001	-1.9598699E-001	0
4.020049596323316E+004	-1.1074400E-001	-1.9598062E-001	0
4.020049636323316E+004	-1.1190855E-001	-1.9598761E-001	0
4.020049676323315E+004	-1.1301583E-001	-1.9598444E-001	0
4.020049736323312E+004	-1.1456220E-001	-1.9598570E-001	0
4.020049776323314E+004	-1.1561221E-001	-1.9598062E-001	0
4.020049816323305E+004	-1.1664312E-001	-1.9598444E-001	0
4.020049876323307E+004	-1.1801767E-001	-1.9598125E-001	0
4.020049936323310E+004	-1.1946859E-001	-1.9598635E-001	0
4.020049996323310E+004	-1.2070951E-001	-1.9598189E-001	0
4.020050056323310E+004	-1.2210315E-001	-1.9598125E-001	0
4.020050116323307E+004	-1.2342043E-001	-1.9598570E-001	0
4.020050176323310E+004	-1.2475681E-001	-1.9598699E-001	0
4.020050236323313E+004	-1.2601681E-001	-1.9598635E-001	0
4.020050296323316E+004	-1.2721954E-001	-1.9598253E-001	0
4.020050356323319E+004	-1.2836500E-001	-1.9598062E-001	0
4.020050416323319E+004	-1.2958683E-001	-1.9598189E-001	0
4.020050476323318E+004	-1.3063683E-001	-1.9598699E-001	0
4.020050536323315E+004	-1.3180138E-001	-1.9597362E-001	0
4.020050596323307E+004	-1.3294685E-001	-1.9598062E-001	0
4.020050676323310E+004	-1.3441685E-001	-1.9598189E-001	0
4.020050736323313E+004	-1.3546686E-001	-1.9598508E-001	0
4.020050796323313E+004	-1.3655505E-001	-1.9598380E-001	0
4.020050876323314E+004	-1.3791052E-001	-1.9598189E-001	0
4.020050936323311E+004	-1.3894142E-001	-1.9597870E-001	0
4.020051016323303E+004	-1.4022052E-001	-1.9599207E-001	0
4.020051076323306E+004	-1.4130871E-001	-1.9598253E-001	0
4.020051156323309E+004	-1.4241599E-001	-1.9598699E-001	0
4.020051216323310E+004	-1.4344691E-001	-1.9598761E-001	0
4.020051296323305E+004	-1.4472599E-001	-1.9597808E-001	0
4.020051376323309E+004	-1.4602418E-001	-1.9598189E-001	0
4.020051456323313E+004	-1.4713147E-001	-1.9598189E-001	0
4.020051536323316E+004	-1.4831512E-001	-1.9598635E-001	0
4.020051616323314E+004	-1.4959420E-001	-1.9598889E-001	0
4.020051716323313E+004	-1.5081604E-001	-1.9598508E-001	0
4.020051796323305E+004	-1.5207604E-001	-1.9598444E-001	0
4.020051876323309E+004	-1.5320241E-001	-1.9598189E-001	0
4.020051976323310E+004	-1.5455787E-001	-1.9599080E-001	0
4.020052056323306E+004	-1.5564606E-001	-1.9598125E-001	0
4.020052136323310E+004	-1.5677243E-001	-1.9598508E-001	0
4.020052236323315E+004	-1.5799426E-001	-1.9598253E-001	0
4.020052336323318E+004	-1.5929244E-001	-1.9598380E-001	0
4.020052436323318E+004	-1.6060972E-001	-1.9598189E-001	0
4.020052536323317E+004	-1.6179337E-001	-1.9598508E-001	0
4.020052636323310E+004	-1.6290064E-001	-1.9598444E-001	0
4.020052716323313E+004	-1.6393156E-001	-1.9598380E-001	0
4.020052796323312E+004	-1.6498157E-001	-1.9598062E-001	0
4.020052896323311E+004	-1.6603157E-001	-1.9598316E-001	0
4.020052976323315E+004	-1.6706249E-001	-1.9597998E-001	0
4.020053076323320E+004	-1.6815068E-001	-1.9598125E-001	0
4.020053176323319E+004	-1.6931523E-001	-1.9598570E-001	0
4.020053276323318E+004	-1.7034614E-001	-1.9598444E-001	0
4.020053376323311E+004	-1.7149161E-001	-1.9598761E-001	0
4.020053476323315E+004	-1.7263706E-001	-1.9598189E-001	0
4.020053596323315E+004	-1.7385888E-001	-1.9598062E-001	0
4.020053696323314E+004	-1.7500435E-001	-1.9598761E-001	0
4.020053816323320E+004	-1.7626436E-001	-1.9598508E-001	0
4.020053936323323E+004	-1.7733346E-001	-1.9598825E-001	0
4.020054016323318E+004	-1.7836437E-001	-1.9598253E-001	0
4.020054136323312E+004	-1.7937618E-001	-1.9598635E-001	0
4.020054256323318E+004	-1.8063620E-001	-1.9598508E-001	0
4.020054356323316E+004	-1.8168621E-001	-1.9598508E-001	0
4.020054476323316E+004	-1.8275531E-001	-1.9598825E-001	0
4.020054596323322E+004	-1.8386258E-001	-1.9598125E-001	0
4.020054716323325E+004	-1.8495077E-001	-1.9598316E-001	0
4.020054816323321E+004	-1.8601987E-001	-1.9598125E-001	0
4.020054956323316E+004	-1.8710805E-001	-1.9598570E-001	0
4.020055076323319E+004	-1.8817715E-001	-1.9597808E-001	0
4.020055196323316E+004	-1.8928443E-001	-1.9598316E-001	0
