time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.9971972E+000	-2.5015498E-002	0
6.014319848065497E+001	8.5370503E-003	-9.4288321E+000	0
6.014399848063476E+001	8.5752327E-003	-9.3694410E+000	0
6.014479848061455E+001	8.5943239E-003	-9.3110056E+000	0
6.014559848059434E+001	8.6515965E-003	-9.2523146E+000	0
6.014639848057413E+001	8.6325053E-003	-9.1945801E+000	0
6.014719848055393E+001	8.6134141E-003	-9.1369734E+000	0
6.014799848053372E+001	8.8043250E-003	-9.0793648E+000	0
6.014879848051351E+001	8.6134141E-003	-9.0231600E+000	0
6.014959848049330E+001	8.7088700E-003	-8.9673367E+000	0
6.015039848047309E+001	8.7470515E-003	-8.9110050E+000	0
6.015119848045288E+001	8.6325053E-003	-8.8551817E+000	0
6.015199848043267E+001	8.6515965E-003	-8.7998047E+000	0
6.015279848041246E+001	8.6515965E-003	-8.7452564E+000	0
6.015359848039225E+001	8.5752327E-003	-8.6915369E+000	0
6.015439848037204E+001	8.7088700E-003	-8.6371155E+000	0
6.015519848035183E+001	8.6515965E-003	-8.5834589E+000	0
6.015599848033162E+001	8.7088700E-003	-8.5301847E+000	0
6.015679848031141E+001	8.6897789E-003	-8.4776125E+000	0
6.015759848029120E+001	8.6515965E-003	-8.4251022E+000	0
6.015839848027099E+001	8.7852338E-003	-8.3729124E+000	0
6.015919848025078E+001	8.6897789E-003	-8.3214865E+000	0
6.015999848023057E+001	8.7279603E-003	-8.2714624E+000	0
6.016079848021036E+001	8.6897789E-003	-8.2199087E+000	0
6.016179848018510E+001	8.6706877E-003	-8.1582241E+000	0
6.016279848015984E+001	8.7279603E-003	-8.0951996E+000	0
6.016379848013457E+001	8.6706877E-003	-8.0347881E+000	0
6.016479848010931E+001	8.7088700E-003	-7.9737401E+000	0
6.016579848008405E+001	8.6706877E-003	-7.9137111E+000	0
6.016679848005879E+001	8.8043250E-003	-7.8545108E+000	0
6.016779848003353E+001	8.7088700E-003	-7.7956924E+000	0
6.016879848000826E+001	8.5943239E-003	-7.7375751E+000	0
6.016979847998300E+001	8.6515965E-003	-7.6802874E+000	0
6.017079847995774E+001	8.6706877E-003	-7.6239548E+000	0
6.017179847993248E+001	8.6515965E-003	-7.5689592E+000	0
6.017279847990721E+001	8.6134141E-003	-7.5130095E+000	0
6.017379847988195E+001	8.7088700E-003	-7.4583974E+000	0
6.017479847985669E+001	8.6515965E-003	-7.4038491E+000	0
6.017579847983143E+001	8.6515965E-003	-7.3503842E+000	0
6.017679847980617E+001	8.6706877E-003	-7.2975559E+000	0
6.017779847978090E+001	8.5943239E-003	-7.2457480E+000	0
6.017879847975564E+001	8.6515965E-003	-7.1945133E+000	0
