time/s	Ewe/V	I/mA	error	
7.271054458085331E+003	-3.5295911E-002	-1.9599630E-001	0
7.271054858085321E+003	-3.7015375E-002	-1.9600141E-001	0
7.271055258085325E+003	-3.8390946E-002	-1.9599886E-001	0
7.271055658085315E+003	-3.9823830E-002	-1.9600077E-001	0
7.271056058085320E+003	-4.0912826E-002	-1.9599696E-001	0
7.271056458085310E+003	-4.2116448E-002	-1.9600204E-001	0
7.271056858085300E+003	-4.3148126E-002	-1.9600141E-001	0
7.271057458085299E+003	-4.4523697E-002	-1.9599439E-001	0
7.271058058085298E+003	-4.6052106E-002	-1.9599630E-001	0
7.271058658085283E+003	-4.7274835E-002	-1.9600268E-001	0
7.271059258085268E+003	-4.8612196E-002	-1.9599630E-001	0
7.271059858085267E+003	-4.9758505E-002	-1.9599760E-001	0
7.271060458085267E+003	-5.0904814E-002	-1.9599886E-001	0
7.271061058085252E+003	-5.2070227E-002	-1.9600013E-001	0
7.271061658085251E+003	-5.3178325E-002	-1.9599821E-001	0
7.271062258085236E+003	-5.4190900E-002	-1.9600013E-001	0
7.271062858085235E+003	-5.5356313E-002	-1.9600649E-001	0
7.271063658085215E+003	-5.6617253E-002	-1.9600077E-001	0
7.271064258085215E+003	-5.7706244E-002	-1.9599821E-001	0
7.271065058085209E+003	-5.8967184E-002	-1.9599760E-001	0
7.271065858085203E+003	-6.0209021E-002	-1.9600394E-001	0
7.271066658085183E+003	-6.1450854E-002	-1.9599950E-001	0
7.271067458085177E+003	-6.2635370E-002	-1.9600394E-001	0
7.271068258085172E+003	-6.3781679E-002	-1.9599630E-001	0
7.271069058085151E+003	-6.5023512E-002	-1.9600204E-001	0
7.271069858085146E+003	-6.6036083E-002	-1.9600013E-001	0
7.271070658085140E+003	-6.7163289E-002	-1.9599950E-001	0
7.271071458085120E+003	-6.8290494E-002	-1.9599696E-001	0
7.271072258085114E+003	-6.9322169E-002	-1.9599696E-001	0
7.271073058085109E+003	-7.0411161E-002	-1.9599821E-001	0
7.271073858085103E+003	-7.1461946E-002	-1.9599314E-001	0
7.271074658085097E+003	-7.2474517E-002	-1.9600333E-001	0
7.271075658085072E+003	-7.3678143E-002	-1.9599505E-001	0
7.271076658085061E+003	-7.4919976E-002	-1.9600204E-001	0
7.271077658085051E+003	-7.6180920E-002	-1.9600013E-001	0
7.271078658085040E+003	-7.7346332E-002	-1.9600715E-001	0
7.271079458085034E+003	-7.8358904E-002	-1.9600204E-001	0
7.271080458085024E+003	-7.9447895E-002	-1.9600077E-001	0
7.271081458085013E+003	-8.0575101E-002	-1.9600268E-001	0
