time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.5526204E+000	-2.5031064E-002	0
6.017319847989711E+001	9.4276723E-003	-1.0969136E+001	0
6.017359847988700E+001	9.4085848E-003	-1.0910589E+001	0
6.017399847987690E+001	9.4658490E-003	-1.0850769E+001	0
6.017439847986680E+001	9.3704080E-003	-1.0785858E+001	0
6.017479847985669E+001	9.3704080E-003	-1.0733676E+001	0
6.017519847984659E+001	9.2940545E-003	-1.0667491E+001	0
6.017559847983648E+001	9.4467606E-003	-1.0607673E+001	0
6.017599847982638E+001	9.2749661E-003	-1.0547215E+001	0
6.017639847981627E+001	9.3704080E-003	-1.0495032E+001	0
6.017679847980617E+001	9.3704080E-003	-1.0440303E+001	0
6.017719847979606E+001	9.3894964E-003	-1.0379210E+001	0
6.017759847978596E+001	9.5612910E-003	-1.0325754E+001	0
6.017799847977585E+001	9.4085848E-003	-1.0267843E+001	0
6.017859847976069E+001	9.4085848E-003	-1.0194023E+001	0
6.017899847975059E+001	9.3513196E-003	-1.0135476E+001	0
6.017959847973543E+001	9.3322312E-003	-1.0051475E+001	0
6.018019847972027E+001	9.3704080E-003	-9.9731998E+000	0
6.018059847971017E+001	9.4085848E-003	-9.9216518E+000	0
6.018099847970007E+001	9.3704080E-003	-9.8707409E+000	0
6.018139847968996E+001	9.3894964E-003	-9.8172855E+000	0
6.018179847967986E+001	9.3894964E-003	-9.7670116E+000	0
6.018239847966470E+001	9.3894964E-003	-9.6963730E+000	0
6.018299847964954E+001	9.4658490E-003	-9.6212797E+000	0
6.018359847963438E+001	9.4276723E-003	-9.5506411E+000	0
6.018419847961923E+001	9.3131429E-003	-9.4749126E+000	0
6.018479847960407E+001	9.4658490E-003	-9.4030008E+000	0
6.018539847958891E+001	9.3513196E-003	-9.3342714E+000	0
6.018599847957375E+001	9.4276723E-003	-9.2623606E+000	0
6.018659847955860E+001	9.3704080E-003	-9.1949034E+000	0
6.018719847954344E+001	9.2558777E-003	-9.1299925E+000	0
6.018779847952828E+001	9.2940545E-003	-9.0561733E+000	0
6.018839847951313E+001	9.3704080E-003	-8.9957170E+000	0
6.018899847949797E+001	9.4085848E-003	-8.9250784E+000	0
6.018959847948281E+001	9.3513196E-003	-8.8671675E+000	0
6.019019847946765E+001	9.5040258E-003	-8.8016205E+000	0
6.019079847945250E+001	9.4658490E-003	-8.7354364E+000	0
6.019139847943734E+001	9.4085848E-003	-8.6717978E+000	0
6.019199847942218E+001	9.3894964E-003	-8.6126146E+000	0
6.019259847940702E+001	9.3704080E-003	-8.5502491E+000	0
6.019319847939187E+001	9.3131429E-003	-8.4891577E+000	0
6.019399847937166E+001	9.3894964E-003	-8.4229736E+000	0
6.019459847935650E+001	9.2940545E-003	-8.3625164E+000	0
6.019519847934134E+001	9.4085848E-003	-8.3020601E+000	0
6.019579847932619E+001	9.4085848E-003	-8.2479677E+000	0
6.019639847931103E+001	9.3704080E-003	-8.1824217E+000	0
6.019719847929082E+001	9.3513196E-003	-8.1257820E+000	0
6.019779847927566E+001	9.4276723E-003	-8.0672359E+000	0
6.019839847926050E+001	9.3704080E-003	-8.0080528E+000	0
6.019899847924535E+001	9.3894964E-003	-7.9552326E+000	0
6.019959847923019E+001	9.4085848E-003	-7.9005032E+000	0
6.020039847920998E+001	9.3704080E-003	-7.8330479E+000	0
6.020119847918977E+001	9.3513196E-003	-7.7674994E+000	0
6.020199847916956E+001	9.3704080E-003	-7.6987710E+000	0
6.020279847914935E+001	9.3894964E-003	-7.6364055E+000	0
6.020359847912914E+001	9.3894964E-003	-7.5695858E+000	0
6.020439847910893E+001	9.3894964E-003	-7.4957652E+000	0
6.020539847908367E+001	9.4658490E-003	-7.4232178E+000	0
6.020619847906346E+001	9.4085848E-003	-7.3703985E+000	0
6.020679847904830E+001	9.3704080E-003	-7.3124871E+000	0
6.020759847902809E+001	9.4085848E-003	-7.2615771E+000	0
6.020839847900788E+001	9.4276723E-003	-7.1985750E+000	0
6.020919847898767E+001	9.3131429E-003	-7.1476645E+000	0
6.020999847896746E+001	9.3131429E-003	-7.0802083E+000	0
6.021079847894725E+001	9.3704080E-003	-7.0299339E+000	0
6.021159847892704E+001	9.4276723E-003	-6.9707499E+000	0
6.021239847890683E+001	9.4467606E-003	-6.9185672E+000	0
6.021319847888662E+001	9.3322312E-003	-6.8663840E+000	0
6.021399847886642E+001	9.3513196E-003	-6.8072009E+000	0
6.021479847884621E+001	9.2558777E-003	-6.7562895E+000	0
6.021559847882600E+001	9.2940545E-003	-6.7034698E+000	0
6.021659847880073E+001	9.3894964E-003	-6.6411052E+000	0
6.021739847878052E+001	9.4849374E-003	-6.5838308E+000	0
6.021839847875526E+001	9.3322312E-003	-6.5227380E+000	0
6.021939847873000E+001	9.4276723E-003	-6.4648271E+000	0
6.022019847870979E+001	9.2940545E-003	-6.4145527E+000	0
6.022119847868453E+001	9.3513196E-003	-6.3566422E+000	0
6.022219847865927E+001	9.4276723E-003	-6.2980952E+000	0
6.022319847863400E+001	9.3894964E-003	-6.2401848E+000	0
6.022419847860874E+001	9.2749661E-003	-6.1829104E+000	0
6.022539847857843E+001	9.4085848E-003	-6.1167264E+000	0
6.022639847855316E+001	9.3513196E-003	-6.0658154E+000	0
6.022739847852790E+001	9.2940545E-003	-6.0072689E+000	0
6.022839847850264E+001	9.3894964E-003	-5.9550853E+000	0
6.022959847847233E+001	9.3704080E-003	-5.8927202E+000	0
6.023079847844201E+001	9.3894964E-003	-5.8278093E+000	0
6.023199847841170E+001	9.2749661E-003	-5.7730803E+000	0
6.023319847838138E+001	9.4085848E-003	-5.7177153E+000	0
6.023419847835612E+001	9.4085848E-003	-5.6661682E+000	0
6.023539847832581E+001	9.4085848E-003	-5.6082578E+000	0
6.023659847829549E+001	9.3131429E-003	-5.5541649E+000	0
6.023779847826518E+001	9.3322312E-003	-5.4975271E+000	0
6.023899847823486E+001	9.3131429E-003	-5.4434347E+000	0
6.024039847819950E+001	9.3894964E-003	-5.3861604E+000	0
6.024159847816918E+001	9.4085848E-003	-5.3314319E+000	0
6.024279847813887E+001	9.4276723E-003	-5.2773390E+000	0
6.024439847809845E+001	9.4085848E-003	-5.2194285E+000	0
6.024559847806813E+001	9.3894964E-003	-5.1646996E+000	0
6.024699847803277E+001	9.2940545E-003	-5.1131525E+000	0
6.024819847800245E+001	9.3704080E-003	-5.0590601E+000	0
6.024979847796203E+001	9.4276723E-003	-5.0011492E+000	0
6.025139847792161E+001	9.3704080E-003	-4.9381475E+000	0
6.025319847787614E+001	9.4467606E-003	-4.8808732E+000	0
6.025479847783572E+001	9.4085848E-003	-4.8178716E+000	0
6.025639847779530E+001	9.3894964E-003	-4.7663245E+000	0
6.025779847775993E+001	9.3131429E-003	-4.7135053E+000	0
6.025939847771951E+001	9.4085848E-003	-4.6606851E+000	0
6.026119847767404E+001	9.3131429E-003	-4.6021376E+000	0
6.026279847763362E+001	9.4276723E-003	-4.5499549E+000	0
6.026459847758815E+001	9.3131429E-003	-4.4984078E+000	0
6.026619847754773E+001	9.3322312E-003	-4.4481339E+000	0
6.026799847750226E+001	9.2940545E-003	-4.3959503E+000	0
6.026979847745679E+001	9.5231142E-003	-4.3450403E+000	0
6.027159847741132E+001	9.3513196E-003	-4.2915840E+000	0
6.027299847737595E+001	9.3322312E-003	-4.4011993E+000	0
6.030319847661303E+001	9.3513196E-003	-3.5709095E+000	0
6.030599847654230E+001	9.4085848E-003	-3.5182283E+000	0
6.030879847647157E+001	9.3131429E-003	-3.4656746E+000	0
6.031159847640083E+001	9.3704080E-003	-3.4152203E+000	0
6.031459847632505E+001	9.2940545E-003	-3.3631754E+000	0
6.031779847624421E+001	9.2940545E-003	-3.3091583E+000	0
6.032099847616337E+001	9.3322312E-003	-3.2569861E+000	0
6.032419847608253E+001	9.3894964E-003	-3.2065315E+000	0
6.032759847599664E+001	9.3131429E-003	-3.1542962E+000	0
6.033119847590569E+001	9.4658490E-003	-3.1011696E+000	0
6.033479847581475E+001	9.4658490E-003	-3.0499520E+000	0
6.033859847571875E+001	9.2749661E-003	-2.9974618E+000	0
6.034239847562276E+001	9.5040258E-003	-2.9466894E+000	0
6.034639847552171E+001	9.4276723E-003	-2.8954718E+000	0
6.035059847541561E+001	9.3894964E-003	-2.8430448E+000	0
6.035479847530951E+001	9.4085848E-003	-2.7928452E+000	0
6.035939847519330E+001	9.2558777E-003	-2.7402277E+000	0
6.036399847507710E+001	9.4085848E-003	-2.6890736E+000	0
6.036899847495079E+001	9.3513196E-003	-2.6365197E+000	0
6.037399847482448E+001	9.4849374E-003	-2.5857475E+000	0
6.037919847469311E+001	9.4276723E-003	-2.5342114E+000	0
6.038459847455670E+001	9.4085848E-003	-2.4840753E+000	0
6.039039847441018E+001	9.3131429E-003	-2.4320307E+000	0
6.039639847425860E+001	9.3322312E-003	-2.3804309E+000	0
6.040259847410198E+001	9.2940545E-003	-2.3295951E+000	0
6.040899847394030E+001	9.3704080E-003	-2.2790771E+000	0
6.041579847376852E+001	9.4276723E-003	-2.2283685E+000	0
6.042299847358663E+001	9.4276723E-003	-2.1771507E+000	0
6.043039847339969E+001	9.4276723E-003	-2.1259966E+000	0
6.043819847320265E+001	9.4085848E-003	-2.0759876E+000	0
6.044639847299550E+001	9.2749661E-003	-2.0254061E+000	0
