time/s	Ewe/V	I/mA	error	
1.332425766340079E+003	5.5214702E-003	-1.9457722E-001	0
1.332425966340074E+003	1.1113625E-003	-1.9596697E-001	0
1.332426166340068E+003	-6.9643866E-004	-1.9596697E-001	0
1.332426566340058E+003	-1.9944436E-003	-1.9596697E-001	0
1.332427166340043E+003	-3.3115370E-003	-1.9596316E-001	0
1.332427766340028E+003	-4.3804822E-003	-1.9596380E-001	0
1.332428366340013E+003	-5.4303389E-003	-1.9597080E-001	0
1.332429166339993E+003	-6.6710794E-003	-1.9596252E-001	0
1.332429966339972E+003	-7.7400245E-003	-1.9596189E-001	0
1.332430766339952E+003	-8.9425882E-003	-1.9596571E-001	0
1.332431566339932E+003	-9.9924449E-003	-1.9597335E-001	0
1.332432366339912E+003	-1.1195009E-002	-1.9596826E-001	0
1.332433366339887E+003	-1.2435748E-002	-1.9596316E-001	0
1.332434166339866E+003	-1.3523782E-002	-1.9596444E-001	0
1.332434966339846E+003	-1.4573639E-002	-1.9596890E-001	0
1.332435766339826E+003	-1.5623496E-002	-1.9596444E-001	0
1.332436766339801E+003	-1.6749706E-002	-1.9596571E-001	0
1.332437566339780E+003	-1.7895004E-002	-1.9597080E-001	0
1.332438366339760E+003	-1.8944861E-002	-1.9596890E-001	0
1.332439366339735E+003	-2.0032896E-002	-1.9597207E-001	0
1.332440366339710E+003	-2.1120928E-002	-1.9596635E-001	0
1.332441366339684E+003	-2.2418933E-002	-1.9596890E-001	0
1.332442366339659E+003	-2.3583321E-002	-1.9596252E-001	0
1.332443366339634E+003	-2.4728619E-002	-1.9597144E-001	0
1.332444366339609E+003	-2.5835741E-002	-1.9596316E-001	0
1.332445366339583E+003	-2.6885599E-002	-1.9596252E-001	0
1.332446366339558E+003	-2.7992720E-002	-1.9596952E-001	0
1.332447366339533E+003	-2.9195283E-002	-1.9596635E-001	0
1.332448566339503E+003	-3.0455112E-002	-1.9596444E-001	0
1.332449566339477E+003	-3.1562231E-002	-1.9596507E-001	0
1.332450566339452E+003	-3.2612089E-002	-1.9596507E-001	0
