time/s	Ewe/V	I/mA	error	
1.054462373362025E+003	6.3233082E-003	-1.9456959E-001	0
1.054462573362020E+003	-2.2563559E-003	-1.9595870E-001	0
1.054462773362015E+003	-9.2861773E-003	-1.9596316E-001	0
1.054462973362010E+003	-1.4707257E-002	-1.9595425E-001	0
1.054463173362004E+003	-1.9345716E-002	-1.9596444E-001	0
1.054463373361999E+003	-2.3449702E-002	-1.9595934E-001	0
1.054463573361994E+003	-2.7286453E-002	-1.9596316E-001	0
1.054463773361989E+003	-3.0741436E-002	-1.9595616E-001	0
1.054463973361984E+003	-3.4081891E-002	-1.9596826E-001	0
1.054464173361979E+003	-3.7059665E-002	-1.9596444E-001	0
1.054464373361974E+003	-3.9884735E-002	-1.9595680E-001	0
1.054464573361969E+003	-4.2518921E-002	-1.9596635E-001	0
1.054464773361964E+003	-4.4924051E-002	-1.9596826E-001	0
1.054464973361959E+003	-4.7023762E-002	-1.9596444E-001	0
1.054465173361954E+003	-4.9409803E-002	-1.9596061E-001	0
1.054465373361949E+003	-5.1414076E-002	-1.9596189E-001	0
1.054465573361944E+003	-5.3246554E-002	-1.9596125E-001	0
1.054465773361939E+003	-5.5079032E-002	-1.9596316E-001	0
1.054465973361934E+003	-5.6548830E-002	-1.9595808E-001	0
1.054466173361929E+003	-5.8324043E-002	-1.9596125E-001	0
1.054466373361924E+003	-5.9736576E-002	-1.9596444E-001	0
1.054466573361919E+003	-6.1149113E-002	-1.9596380E-001	0
1.054466773361914E+003	-6.2408939E-002	-1.9596507E-001	0
1.054466973361908E+003	-6.3630588E-002	-1.9596635E-001	0
1.054467173361903E+003	-6.4814068E-002	-1.9596125E-001	0
1.054467373361898E+003	-6.5863922E-002	-1.9597462E-001	0
1.054467573361893E+003	-6.7009218E-002	-1.9595934E-001	0
1.054467973361883E+003	-6.8822607E-002	-1.9595999E-001	0
1.054468373361873E+003	-7.0597820E-002	-1.9596635E-001	0
1.054468773361863E+003	-7.2067626E-002	-1.9596252E-001	0
1.054469173361853E+003	-7.3556513E-002	-1.9596571E-001	0
1.054469573361843E+003	-7.4816339E-002	-1.9596697E-001	0
