time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.5125394E+000	-2.5025172E-002	0
6.011319848141284E+001	9.3995128E-003	-1.0088471E+000	0
6.011899848126632E+001	9.3804216E-003	-9.5835567E-001	0
6.012579848109453E+001	9.3613314E-003	-9.0746301E-001	0
6.013379848089244E+001	9.3422402E-003	-8.5625196E-001	0
6.014299848066003E+001	9.4567863E-003	-8.0578583E-001	0
6.015379848038720E+001	9.4567863E-003	-7.5537711E-001	0
6.016659848006384E+001	9.4376951E-003	-7.0468825E-001	0
6.018179847967986E+001	9.4758775E-003	-6.5415847E-001	0
6.019999847922008E+001	9.3231490E-003	-6.0383892E-001	0
6.022219847865927E+001	9.4949678E-003	-5.5355752E-001	0
6.024959847796708E+001	9.4949678E-003	-5.0349253E-001	0
6.028439847708796E+001	9.3995128E-003	-4.5333213E-001	0
6.032979847594106E+001	9.4949678E-003	-4.0320989E-001	0
6.039139847438491E+001	9.4186040E-003	-3.5315129E-001	0
6.047879847217700E+001	9.4949678E-003	-3.0314371E-001	0
6.061039846885251E+001	9.4567863E-003	-2.5313607E-001	0
6.082719846337568E+001	9.3804216E-003	-2.0311572E-001	0
6.123459845308389E+001	9.5140589E-003	-1.5306990E-001	0
6.225819842722558E+001	9.5331501E-003	-1.0306227E-001	0
6.505279835662805E+001	9.4758775E-003	-6.5292321E-002	0
6.505339835659834E+001	9.4186040E-003	-6.5349631E-002	0
7.505339810397709E+001	9.4186040E-003	-3.8457155E-002	0
8.505339785135584E+001	9.4567863E-003	-3.1421259E-002	0
9.505339759873459E+001	9.3422402E-003	-2.8089173E-002	0
1.050533973461133E+002	9.3995128E-003	-2.6098834E-002	0
1.150533970934921E+002	9.4186040E-003	-2.4693439E-002	0
1.250533968408708E+002	9.4567863E-003	-2.3666125E-002	0
1.350533965882496E+002	9.3995128E-003	-2.2834215E-002	0
1.450533963356283E+002	9.4949678E-003	-2.2127064E-002	0
1.550533960830071E+002	9.4567863E-003	-2.1510929E-002	0
1.650533958303859E+002	9.4376951E-003	-2.0978816E-002	0
1.750533955777646E+002	9.2849666E-003	-2.0500164E-002	0
