time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.7227254E+000	-2.5025172E-002	0
6.014319848065497E+001	9.3422402E-003	-1.0359324E+001	0
6.014379848063982E+001	9.4758775E-003	-1.0300056E+001	0
6.014439848062466E+001	9.3613314E-003	-1.0240467E+001	0
6.014499848060950E+001	9.4186040E-003	-1.0181453E+001	0
6.014559848059434E+001	9.3995128E-003	-1.0123521E+001	0
6.014619848057919E+001	9.4567863E-003	-1.0065589E+001	0
6.014679848056403E+001	9.4186040E-003	-1.0007339E+001	0
6.014739848054887E+001	9.4376951E-003	-9.9502344E+000	0
6.014799848053372E+001	9.4186040E-003	-9.8940849E+000	0
6.014859848051856E+001	9.3613314E-003	-9.8372984E+000	0
6.014919848050340E+001	9.4567863E-003	-9.7813396E+000	0
6.014979848048824E+001	9.4186040E-003	-9.7255087E+000	0
6.015039848047309E+001	9.4376951E-003	-9.6701231E+000	0
6.015099848045793E+001	9.3804216E-003	-9.6148005E+000	0
6.015159848044277E+001	9.4186040E-003	-9.5597963E+000	0
6.015219848042761E+001	9.4949678E-003	-9.5054941E+000	0
6.015279848041246E+001	9.4186040E-003	-9.4518261E+000	0
6.015339848039730E+001	9.4376951E-003	-9.3980961E+000	0
6.015399848038214E+001	9.3613314E-003	-9.3443651E+000	0
6.015459848036699E+001	9.3804216E-003	-9.2919722E+000	0
6.015519848035183E+001	9.4186040E-003	-9.2388783E+000	0
6.015579848033667E+001	9.4376951E-003	-9.1857214E+000	0
6.015639848032151E+001	9.4376951E-003	-9.1343460E+000	0
6.015699848030636E+001	9.3995128E-003	-9.0824614E+000	0
6.015759848029120E+001	9.3995128E-003	-9.0308962E+000	0
6.015819848027604E+001	9.4186040E-003	-8.9800940E+000	0
6.015879848026088E+001	9.3995128E-003	-8.9292278E+000	0
6.015939848024573E+001	9.3995128E-003	-8.8789349E+000	0
6.016019848022552E+001	9.3804216E-003	-8.8122807E+000	0
6.016099848020531E+001	9.4186040E-003	-8.7467098E+000	0
6.016159848019015E+001	9.4376951E-003	-8.6966715E+000	0
6.016239848016994E+001	9.4949678E-003	-8.6317358E+000	0
6.016319848014973E+001	9.4376951E-003	-8.5674381E+000	0
6.016399848012952E+001	9.3995128E-003	-8.5038404E+000	0
6.016479848010931E+001	9.4186040E-003	-8.4401150E+000	0
6.016559848008910E+001	9.4186040E-003	-8.3774719E+000	0
6.016639848006889E+001	9.3804216E-003	-8.3155279E+000	0
6.016719848004868E+001	9.4949678E-003	-8.2538404E+000	0
6.016799848002847E+001	9.4376951E-003	-8.1932983E+000	0
6.016879848000826E+001	9.3040578E-003	-8.1337738E+000	0
6.016959847998805E+001	9.3995128E-003	-8.0742512E+000	0
6.017039847996784E+001	9.5140589E-003	-8.0147905E+000	0
6.017119847994763E+001	9.3422402E-003	-7.9567947E+000	0
6.017199847992742E+001	9.3422402E-003	-7.8995624E+000	0
6.017279847990721E+001	9.4186040E-003	-7.8420758E+000	0
6.017359847988700E+001	9.3804216E-003	-7.7854815E+000	0
6.017439847986680E+001	9.3231490E-003	-7.7300315E+000	0
6.017519847984659E+001	9.4186040E-003	-7.6752825E+000	0
6.017599847982638E+001	9.3613314E-003	-7.6206608E+000	0
6.017679847980617E+001	9.4376951E-003	-7.5671849E+000	0
6.017759847978596E+001	9.3613314E-003	-7.5139637E+000	0
6.017839847976575E+001	9.3040578E-003	-7.4611883E+000	0
6.017919847974554E+001	9.4186040E-003	-7.4089217E+000	0
6.017999847972533E+001	9.3422402E-003	-7.3571014E+000	0
6.018079847970512E+001	9.3804216E-003	-7.3062348E+000	0
6.018179847967986E+001	9.3804216E-003	-7.2436562E+000	0
6.018279847965459E+001	9.3422402E-003	-7.1817770E+000	0
6.018379847962933E+001	9.4376951E-003	-7.1207886E+000	0
6.018479847960407E+001	9.3995128E-003	-7.0608835E+000	0
6.018579847957881E+001	9.3995128E-003	-7.0016136E+000	0
6.018679847955354E+001	9.4186040E-003	-6.9427271E+000	0
6.018779847952828E+001	9.4186040E-003	-6.8849859E+000	0
6.018879847950302E+001	9.5331501E-003	-6.8283267E+000	0
6.018979847947776E+001	9.3422402E-003	-6.7733870E+000	0
6.019079847945250E+001	9.3995128E-003	-6.7174921E+000	0
6.019179847942723E+001	9.3422402E-003	-6.6632524E+000	0
6.019279847940197E+001	9.3804216E-003	-6.6094580E+000	0
6.019379847937671E+001	9.3995128E-003	-6.5566826E+000	0
6.019479847935145E+001	9.3804216E-003	-6.5044794E+000	0
6.019579847932619E+001	9.4567863E-003	-6.4531689E+000	0
6.019679847930092E+001	9.4376951E-003	-6.4020481E+000	0
6.019779847927566E+001	9.4376951E-003	-6.3513732E+000	0
6.019899847924535E+001	9.3804216E-003	-6.2929325E+000	0
6.020019847921503E+001	9.4567863E-003	-6.2344270E+000	0
6.020139847918472E+001	9.3995128E-003	-6.1761131E+000	0
6.020259847915440E+001	9.3995128E-003	-6.1192627E+000	0
6.020379847912409E+001	9.5140589E-003	-6.0626040E+000	0
6.020499847909377E+001	9.4186040E-003	-6.0090013E+000	0
6.020619847906346E+001	9.4186040E-003	-5.9541883E+000	0
6.020739847903315E+001	9.4186040E-003	-5.9000120E+000	0
6.020859847900283E+001	9.4376951E-003	-5.8467269E+000	0
6.020979847897252E+001	9.3995128E-003	-5.7950339E+000	0
6.021099847894220E+001	9.4949678E-003	-5.7435312E+000	0
6.021219847891189E+001	9.3995128E-003	-5.6924748E+000	0
6.021339847888157E+001	9.3995128E-003	-5.6424370E+000	0
6.021479847884621E+001	9.4567863E-003	-5.5848231E+000	0
6.021619847881084E+001	9.4186040E-003	-5.5279727E+000	0
6.021759847877547E+001	9.3995128E-003	-5.4719510E+000	0
6.021899847874010E+001	9.3995128E-003	-5.4165649E+000	0
6.022039847870474E+001	9.3804216E-003	-5.3622613E+000	0
6.022179847866937E+001	9.4186040E-003	-5.3078947E+000	0
6.022319847863400E+001	9.3613314E-003	-5.2554369E+000	0
6.022459847859864E+001	9.3995128E-003	-5.2028522E+000	0
6.022599847856327E+001	9.4567863E-003	-5.1514778E+000	0
6.022739847852790E+001	9.4376951E-003	-5.1002936E+000	0
6.022899847848748E+001	9.4376951E-003	-5.0443354E+000	0
6.023039847845212E+001	9.4567863E-003	-4.9935331E+000	0
6.023199847841170E+001	9.3613314E-003	-4.9385295E+000	0
6.023359847837128E+001	9.4758775E-003	-4.8841619E+000	0
6.023519847833086E+001	9.4186040E-003	-4.8311958E+000	0
6.023679847829044E+001	9.4758775E-003	-4.7774653E+000	0
6.023839847825002E+001	9.4186040E-003	-4.7260904E+000	0
6.023999847820960E+001	9.3995128E-003	-4.6749697E+000	0
6.024159847816918E+001	9.3804216E-003	-4.6243587E+000	0
6.024339847812371E+001	9.3613314E-003	-4.5686545E+000	0
6.024519847807824E+001	9.3995128E-003	-4.5145421E+000	0
6.024699847803277E+001	9.4186040E-003	-4.4609389E+000	0
6.024879847798729E+001	9.3804216E-003	-4.4089274E+000	0
6.025059847794182E+001	9.4376951E-003	-4.3586984E+000	0
6.025259847789130E+001	9.4186040E-003	-4.3032494E+000	0
6.025459847784077E+001	9.3804216E-003	-4.2493277E+000	0
6.025659847779025E+001	9.4376951E-003	-4.1961703E+000	0
6.025859847773972E+001	9.3804216E-003	-4.1447315E+000	0
6.026059847768920E+001	9.3995128E-003	-4.0945024E+000	0
6.026279847763362E+001	9.4567863E-003	-4.0407081E+000	0
6.026499847757805E+001	9.4758775E-003	-3.9878049E+000	0
6.026739847751742E+001	9.5331501E-003	-3.9329922E+000	0
6.026979847745679E+001	9.3995128E-003	-3.8796439E+000	0
6.027219847739616E+001	9.4949678E-003	-3.8271866E+000	0
6.027459847733553E+001	9.4567863E-003	-3.7769573E+000	0
6.027719847726985E+001	9.4186040E-003	-3.7241180E+000	0
6.027979847720417E+001	9.3231490E-003	-3.6733162E+000	0
6.028259847713343E+001	9.5140589E-003	-3.6199040E+000	0
6.028559847705765E+001	9.4949678E-003	-3.5666828E+000	0
6.028859847698186E+001	9.3804216E-003	-3.5143526E+000	0
6.029159847690607E+001	9.3804216E-003	-3.4638054E+000	0
6.029479847682524E+001	9.4186040E-003	-3.4128764E+000	0
