time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.6650958E+000	-2.5025172E-002	0
6.017319847989711E+001	9.4758775E-003	-9.3461132E+000	0
6.017379847988195E+001	9.2849666E-003	-9.2786064E+000	0
6.017439847986680E+001	9.4758775E-003	-9.2111006E+000	0
6.017499847985164E+001	9.3995128E-003	-9.1461411E+000	0
6.017559847983648E+001	9.4376951E-003	-9.0748158E+000	0
6.017619847982132E+001	9.4949678E-003	-9.0111303E+000	0
6.017679847980617E+001	9.4758775E-003	-8.9442616E+000	0
6.017739847979101E+001	9.3613314E-003	-8.8850336E+000	0
6.017799847977585E+001	9.3231490E-003	-8.8124332E+000	0
6.017859847976069E+001	9.3995128E-003	-8.7557545E+000	0
6.017919847974554E+001	9.4186040E-003	-8.6901579E+000	0
6.017999847972533E+001	9.4376951E-003	-8.6143732E+000	0
6.018059847971017E+001	9.4376951E-003	-8.5494146E+000	0
6.018119847969501E+001	9.4376951E-003	-8.4914618E+000	0
6.018179847967986E+001	9.3613314E-003	-8.4405136E+000	0
6.018239847966470E+001	9.4758775E-003	-8.3870192E+000	0
6.018299847964954E+001	9.3422402E-003	-8.3284273E+000	0
6.018359847963438E+001	9.4758775E-003	-8.2781172E+000	0
6.018419847961923E+001	9.3613314E-003	-8.2188902E+000	0
6.018479847960407E+001	9.4758775E-003	-8.1647577E+000	0
6.018559847958386E+001	9.4376951E-003	-8.0978889E+000	0
6.018619847956870E+001	9.5331501E-003	-8.0431194E+000	0
6.018699847954849E+001	9.5331501E-003	-7.9826179E+000	0
6.018759847953334E+001	9.4949678E-003	-7.9297605E+000	0
6.018839847951313E+001	9.3231490E-003	-7.8654389E+000	0
6.018919847949292E+001	9.3613314E-003	-7.8030272E+000	0
6.018999847947271E+001	9.5522413E-003	-7.7463479E+000	0
6.019079847945250E+001	9.4376951E-003	-7.6801152E+000	0
6.019159847943229E+001	9.4186040E-003	-7.6253462E+000	0
6.019239847941208E+001	9.4758775E-003	-7.5673938E+000	0
6.019319847939187E+001	9.4758775E-003	-7.5081663E+000	0
6.019399847937166E+001	9.3231490E-003	-7.4521241E+000	0
6.019479847935145E+001	9.3422402E-003	-7.4005389E+000	0
6.019559847933124E+001	9.4186040E-003	-7.3489542E+000	0
6.019639847931103E+001	9.4758775E-003	-7.2916379E+000	0
6.019739847928577E+001	9.3231490E-003	-7.2330480E+000	0
6.019819847926556E+001	9.5713325E-003	-7.1820993E+000	0
6.019919847924029E+001	9.3995128E-003	-7.1196890E+000	0
6.020019847921503E+001	9.4949678E-003	-7.0579138E+000	0
6.020139847918472E+001	9.4567863E-003	-6.9897718E+000	0
6.020239847915946E+001	9.3231490E-003	-6.9337287E+000	0
6.020339847913419E+001	9.4376951E-003	-6.8776860E+000	0
6.020439847910893E+001	9.4758775E-003	-6.8216438E+000	0
6.020559847907862E+001	9.4376951E-003	-6.7649636E+000	0
6.020659847905335E+001	9.4758775E-003	-6.7108321E+000	0
6.020759847902809E+001	9.3804216E-003	-6.6579728E+000	0
6.020859847900283E+001	9.3804216E-003	-6.6076622E+000	0
6.020979847897252E+001	9.5140589E-003	-6.5516191E+000	0
6.021099847894220E+001	9.5140589E-003	-6.4885712E+000	0
6.021219847891189E+001	9.4186040E-003	-6.4344387E+000	0
6.021339847888157E+001	9.4376951E-003	-6.3790331E+000	0
6.021459847885126E+001	9.3422402E-003	-6.3280849E+000	0
6.021579847882094E+001	9.3422402E-003	-6.2752266E+000	0
6.021699847879063E+001	9.4758775E-003	-6.2223687E+000	0
6.021839847875526E+001	9.4376951E-003	-6.1656885E+000	0
6.021979847871989E+001	9.3995128E-003	-6.1083722E+000	0
6.022119847868453E+001	9.3422402E-003	-6.0478721E+000	0
6.022239847865421E+001	9.4186040E-003	-5.9975605E+000	0
6.022399847861379E+001	9.4949678E-003	-5.9434285E+000	0
6.022539847857843E+001	9.5522413E-003	-5.8861122E+000	0
6.022699847853801E+001	9.4186040E-003	-5.8294320E+000	0
6.022859847849759E+001	9.4567863E-003	-5.7740264E+000	0
6.022999847846222E+001	9.4567863E-003	-5.7205315E+000	0
6.023179847841675E+001	9.3995128E-003	-5.6625781E+000	0
6.023339847837633E+001	9.4186040E-003	-5.6078091E+000	0
6.023499847833591E+001	9.5522413E-003	-5.5511298E+000	0
6.023679847829044E+001	9.4376951E-003	-5.4995451E+000	0
6.023839847825002E+001	9.4567863E-003	-5.4358597E+000	0
6.024019847820455E+001	9.5140589E-003	-5.3849120E+000	0
6.024219847815402E+001	9.5331501E-003	-5.3295059E+000	0
6.024359847811866E+001	9.4758775E-003	-5.2791948E+000	0
6.024559847806813E+001	9.4376951E-003	-5.2288837E+000	0
6.024739847802266E+001	9.3995128E-003	-5.1715674E+000	0
6.024919847797719E+001	9.3804216E-003	-5.1212559E+000	0
6.025119847792666E+001	9.3613314E-003	-5.0671239E+000	0
6.025299847788119E+001	9.4376951E-003	-5.0155392E+000	0
6.025499847783067E+001	9.4186040E-003	-4.9575863E+000	0
6.025719847777509E+001	9.4758775E-003	-4.9040909E+000	0
6.025919847772457E+001	9.4758775E-003	-4.8505955E+000	0
6.026159847766394E+001	9.5331501E-003	-4.7971001E+000	0
6.026379847760836E+001	9.3804216E-003	-4.7436051E+000	0
6.026599847755278E+001	9.4376951E-003	-4.6932936E+000	0
6.026799847750226E+001	9.4186040E-003	-4.6429825E+000	0
6.027019847744668E+001	9.4567863E-003	-4.5882134E+000	0
6.027279847738100E+001	9.4376951E-003	-4.5347180E+000	0
6.027519847732037E+001	9.4376951E-003	-4.4818602E+000	0
6.027759847725974E+001	9.3613314E-003	-4.4296384E+000	0
6.028039847718901E+001	9.3995128E-003	-4.3634057E+000	0
6.028379847710312E+001	9.3231490E-003	-4.3054523E+000	0
6.028639847703744E+001	9.3422402E-003	-4.2551417E+000	0
6.028899847697176E+001	9.4376951E-003	-4.2041936E+000	0
6.029199847689597E+001	9.3231490E-003	-4.1526084E+000	0
6.029439847683534E+001	9.4567863E-003	-4.1016612E+000	0
6.029759847675450E+001	9.3804216E-003	-4.0468922E+000	0
6.030059847667872E+001	9.3995128E-003	-3.9921227E+000	0
6.030379847659788E+001	9.4186040E-003	-3.9348061E+000	0
6.030739847650693E+001	9.3422402E-003	-3.8781271E+000	0
6.031099847641599E+001	9.4376951E-003	-3.8239946E+000	0
6.031439847633010E+001	9.3995128E-003	-3.7685888E+000	0
6.031799847623915E+001	9.4758775E-003	-3.7157307E+000	0
6.032159847614821E+001	9.4376951E-003	-3.6641457E+000	0
6.032539847605221E+001	9.3613314E-003	-3.6125610E+000	0
6.032899847596127E+001	9.3613314E-003	-3.5552444E+000	0
6.033299847586022E+001	9.4186040E-003	-3.5049334E+000	0
6.033699847575917E+001	9.4186040E-003	-3.4546225E+000	0
6.034159847564297E+001	9.4758775E-003	-3.4030378E+000	0
6.034519847555202E+001	9.4376951E-003	-3.3520896E+000	0
6.034999847543077E+001	9.3422402E-003	-3.2985940E+000	0
6.035479847530951E+001	9.4949678E-003	-3.2419145E+000	0
6.035919847519835E+001	9.4949678E-003	-3.1916034E+000	0
6.036479847505689E+001	9.3995128E-003	-3.1368346E+000	0
6.037019847492047E+001	9.4186040E-003	-3.0827024E+000	0
6.040339847408177E+001	9.4376951E-003	-2.8055434E+000	0
6.040999847391504E+001	9.4567863E-003	-2.7549961E+000	0
6.041679847374326E+001	9.3995128E-003	-2.7047033E+000	0
6.042399847356137E+001	9.4567863E-003	-2.6537101E+000	0
6.043159847336938E+001	9.2849666E-003	-2.6029084E+000	0
6.043959847316728E+001	9.3613314E-003	-2.5526791E+000	0
6.044779847296013E+001	9.4567863E-003	-2.5021954E+000	0
6.045659847273782E+001	9.5331501E-003	-2.4509478E+000	0
6.046579847250541E+001	9.5331501E-003	-2.4004004E+000	0
6.047539847226290E+001	9.3995128E-003	-2.3495984E+000	0
6.048559847200522E+001	9.4376951E-003	-2.2992420E+000	0
6.049639847173239E+001	9.4758775E-003	-2.2481852E+000	0
6.050779847144440E+001	9.3995128E-003	-2.1976378E+000	0
6.051979847114126E+001	9.3995128E-003	-2.1462626E+000	0
6.053279847081285E+001	9.5140589E-003	-2.0961611E+000	0
6.054619847047434E+001	9.4376951E-003	-2.0447223E+000	0
6.056059847011056E+001	9.4186040E-003	-1.9941747E+000	0
6.057599846972153E+001	9.4567863E-003	-1.9440730E+000	0
6.059219846931228E+001	9.3995128E-003	-1.8939075E+000	0
6.060939846887777E+001	9.4376951E-003	-1.8438694E+000	0
6.062779846841295E+001	9.4186040E-003	-1.7933221E+000	0
6.064799846790265E+001	9.5522413E-003	-1.7428383E+000	0
6.066919846736710E+001	9.4186040E-003	-1.6925455E+000	0
6.069239846678101E+001	9.4376951E-003	-1.6422529E+000	0
6.071739846614946E+001	9.3804216E-003	-1.5910051E+000	0
6.074499846545223E+001	9.4567863E-003	-1.5400121E+000	0
6.077459846470447E+001	9.4567863E-003	-1.4893374E+000	0
6.080699846388598E+001	9.4567863E-003	-1.4392993E+000	0
6.084139846301696E+001	9.3995128E-003	-1.3891975E+000	0
6.088059846202668E+001	9.4567863E-003	-1.3390958E+000	0
6.092319846095052E+001	9.3804216E-003	-1.2889941E+000	0
6.096999845976825E+001	9.3804216E-003	-1.2385740E+000	0
6.102319845842430E+001	9.4376951E-003	-1.1884085E+000	0
6.108219845693384E+001	9.4758775E-003	-1.1380521E+000	0
6.114859845525643E+001	9.4376951E-003	-1.0879503E+000	0
6.122519845332135E+001	9.3804216E-003	-1.0375940E+000	0
6.131139845114376E+001	9.4758775E-003	-9.8749208E-001	0
6.141099844862765E+001	9.4567863E-003	-9.3739039E-001	0
6.152559844573261E+001	9.4758775E-003	-8.8722491E-001	0
6.166099844231212E+001	9.3995128E-003	-8.3705956E-001	0
6.182279843822471E+001	9.4376951E-003	-7.8702146E-001	0
6.201759843330365E+001	9.4567863E-003	-7.3679233E-001	0
6.225539842729631E+001	9.4758775E-003	-6.8675423E-001	0
6.255039841984399E+001	9.4567863E-003	-6.3658881E-001	0
6.292299841043132E+001	9.4567863E-003	-5.8610505E-001	0
6.342179839783057E+001	9.4376951E-003	-5.3587598E-001	0
6.407099838143040E+001	9.3804216E-003	-4.8577416E-001	0
6.500559835782042E+001	9.4949678E-003	-4.3573967E-001	0
6.505279835662805E+001	9.3804216E-003	-4.3450445E-001	0
6.505339835659834E+001	9.3804216E-003	-4.3339017E-001	0
6.635099832381820E+001	9.3995128E-003	-3.8326159E-001	0
6.825259827577975E+001	9.4949678E-003	-3.3317116E-001	0
7.115219820252969E+001	9.3995128E-003	-2.8316358E-001	0
7.588399808299437E+001	9.4758775E-003	-2.3309228E-001	0
8.360259788800613E+001	9.4949678E-003	-1.8290000E-001	0
9.360259763538488E+001	9.4376951E-003	-1.4239217E-001	0
1.036025973827636E+002	9.4186040E-003	-1.1642056E-001	0
1.136025971301424E+002	9.4186040E-003	-9.9031866E-002	0
1.236025968775211E+002	9.4567863E-003	-8.5692674E-002	0
1.336025966248999E+002	9.3804216E-003	-7.5428829E-002	0
1.436025963722786E+002	9.4376951E-003	-6.7157894E-002	0
1.536025961196574E+002	9.4376951E-003	-6.0555160E-002	0
1.636025958670361E+002	9.4949678E-003	-5.4283511E-002	0
1.736025956144149E+002	9.4758775E-003	-4.9890179E-002	0
1.836025953617936E+002	9.4376951E-003	-4.5859769E-002	0
1.936025951091724E+002	9.5140589E-003	-4.2197872E-002	0
2.036025948565512E+002	9.4758775E-003	-3.9097469E-002	0
2.136025946039299E+002	9.3995128E-003	-3.6214117E-002	0
2.236025943513087E+002	9.3995128E-003	-3.3780776E-002	0
2.336025940986874E+002	9.4186040E-003	-3.1467088E-002	0
2.436025938460662E+002	9.4376951E-003	-2.9539762E-002	0
2.536025935934449E+002	9.4567863E-003	-2.7742282E-002	0
2.636025933408237E+002	9.4376951E-003	-2.6081013E-002	0
2.736025930882024E+002	9.4567863E-003	-2.4627240E-002	0
2.836025928355812E+002	9.4376951E-003	-2.3240941E-002	0
2.936025925829599E+002	9.3422402E-003	-2.1995308E-002	0
3.036025923303387E+002	9.4376951E-003	-2.0814598E-002	0
3.136025920777174E+002	9.4567863E-003	-1.9802557E-002	0
3.236025918250962E+002	9.3995128E-003	-1.8983381E-002	0
3.336025915724749E+002	9.3995128E-003	-1.8880267E-002	0
3.436025913198537E+002	9.3995128E-003	-1.7314471E-002	0
3.536025910672324E+002	9.5140589E-003	-1.7777210E-002	0
3.636025908146112E+002	9.3995128E-003	-1.5940903E-002	0
3.736025905619899E+002	9.3613314E-003	-1.5341953E-002	0
3.836025903093687E+002	9.4376951E-003	-1.4653259E-002	0
3.936025900567474E+002	9.3804216E-003	-1.4072132E-002	0
4.036025898041262E+002	9.4567863E-003	-1.3560386E-002	0
4.136025895515049E+002	9.3231490E-003	-1.3018087E-002	0
4.236025892988837E+002	9.3995128E-003	-1.2588448E-002	0
4.336025890462624E+002	9.4376951E-003	-1.2130803E-002	0
4.436025887936412E+002	9.3613314E-003	-1.1748265E-002	0
4.536025885410199E+002	9.4376951E-003	-1.1399463E-002	0
4.636025882883987E+002	9.4758775E-003	-1.0993375E-002	0
4.736025880357774E+002	9.4567863E-003	-1.0732409E-002	0
4.836025877831562E+002	9.4186040E-003	-1.0374695E-002	0
4.936025875305349E+002	9.4186040E-003	-9.8877707E-003	0
5.036025872779137E+002	9.5904237E-003	-9.7954785E-003	0
5.136025870252925E+002	9.4186040E-003	-9.4123036E-003	0
5.236025867726712E+002	9.4758775E-003	-9.2028957E-003	0
5.336025865200500E+002	9.2658754E-003	-9.0507716E-003	0
5.436025862674287E+002	9.4949678E-003	-8.7216999E-003	0
5.536025860148075E+002	9.3804216E-003	-8.3576208E-003	0
5.636025857621862E+002	9.4949678E-003	-8.1991320E-003	0
5.736025855095650E+002	9.4567863E-003	-7.9967249E-003	0
5.836025852569437E+002	9.4949678E-003	-7.8458730E-003	0
5.936025850043225E+002	9.4186040E-003	-7.6727448E-003	0
6.036025847517012E+002	9.4186040E-003	-7.5397161E-003	0
6.136025844990800E+002	9.4758775E-003	-7.3093027E-003	0
6.236025842464587E+002	9.4376951E-003	-7.1100774E-003	0
6.336025839938375E+002	9.4376951E-003	-6.9745029E-003	0
6.436025837412162E+002	9.4186040E-003	-6.8440195E-003	0
6.536025834885950E+002	9.4758775E-003	-6.6823480E-003	0
6.636025832359737E+002	9.4376951E-003	-6.5295883E-003	0
6.736025829833525E+002	9.4376951E-003	-6.4309295E-003	0
6.836025827307312E+002	9.3995128E-003	-6.2418892E-003	0
6.936025824781100E+002	9.4567863E-003	-6.1381394E-003	0
7.036025822254887E+002	9.4758775E-003	-6.0362988E-003	0
7.136025819728675E+002	9.4186040E-003	-5.7759699E-003	0
7.236025817202462E+002	9.3995128E-003	-5.8555328E-003	0
7.336025814676250E+002	9.4758775E-003	-5.6754025E-003	0
7.436025812150037E+002	9.4186040E-003	-5.5411011E-003	0
7.536025809623825E+002	9.4567863E-003	-5.4271668E-003	0
7.636025807097612E+002	9.4376951E-003	-5.3265998E-003	0
7.736025804571400E+002	9.3995128E-003	-5.2298512E-003	0
7.836025802045187E+002	9.3613314E-003	-5.1884786E-003	0
7.936025799518975E+002	9.3995128E-003	-5.1802043E-003	0
8.036025796992762E+002	9.4567863E-003	-4.9720681E-003	0
8.136025794466550E+002	9.4758775E-003	-4.9211476E-003	0
8.236025791940338E+002	9.5331501E-003	-4.8727738E-003	0
8.336025789414125E+002	9.4186040E-003	-4.7142850E-003	0
8.436025786887913E+002	9.4186040E-003	-4.7155577E-003	0
8.536025784361700E+002	9.4376951E-003	-4.5774370E-003	0
8.636025781835488E+002	9.4186040E-003	-4.4418620E-003	0
8.736025779309275E+002	9.4567863E-003	-4.4956119E-003	0
8.836025776783063E+002	9.3995128E-003	-4.4082669E-003	0
8.936025774256850E+002	9.4567863E-003	-4.3377294E-003	0
9.036025771730638E+002	9.3995128E-003	-4.2790328E-003	0
9.136025769204425E+002	9.4376951E-003	-4.2811977E-003	0
9.236025766678213E+002	9.3422402E-003	-4.1916245E-003	0
9.336025764152000E+002	9.4186040E-003	-4.1014147E-003	0
9.436025761625788E+002	9.2849666E-003	-4.0347604E-003	0
9.536025759099575E+002	9.4186040E-003	-3.9810291E-003	0
9.587235757805902E+002	9.3995128E-003	-3.9241156E-003	0
9.587237757805851E+002	9.4376951E-003	-3.9373571E-003	0
