time/s	Ewe/V	I/mA	error	
9.588769757767150E+002	5.7026511E-003	-1.9468842E-001	0
9.588771757767099E+002	-3.7581809E-003	-1.9594997E-001	0
9.588773757767049E+002	-1.1486094E-002	-1.9595315E-001	0
9.588775757766998E+002	-1.7347040E-002	-1.9595505E-001	0
9.588777757766948E+002	-2.2272525E-002	-1.9595824E-001	0
9.588779757766897E+002	-2.6701646E-002	-1.9596525E-001	0
9.588781757766847E+002	-3.0500760E-002	-1.9595824E-001	0
9.588783757766796E+002	-3.4013510E-002	-1.9596015E-001	0
9.588785757766746E+002	-3.7201714E-002	-1.9595760E-001	0
9.588787757766695E+002	-3.9989002E-002	-1.9596206E-001	0
9.588789757766644E+002	-4.2699929E-002	-1.9596460E-001	0
9.588791757766594E+002	-4.5124490E-002	-1.9596587E-001	0
9.588793757766543E+002	-4.7186323E-002	-1.9596651E-001	0
9.588795757766493E+002	-4.9305428E-002	-1.9596525E-001	0
9.588797757766442E+002	-5.1119074E-002	-1.9596079E-001	0
9.588799757766392E+002	-5.2856360E-002	-1.9596651E-001	0
9.588801757766341E+002	-5.4498188E-002	-1.9596270E-001	0
9.588803757766291E+002	-5.5853650E-002	-1.9595951E-001	0
9.588805757766240E+002	-5.7323661E-002	-1.9596334E-001	0
9.588807757766190E+002	-5.8640942E-002	-1.9596970E-001	0
9.588809757766139E+002	-5.9824586E-002	-1.9596460E-001	0
9.588811757766089E+002	-6.0970049E-002	-1.9596206E-001	0
9.588813757766038E+002	-6.2020056E-002	-1.9596651E-001	0
9.588817757765937E+002	-6.3986428E-002	-1.9596525E-001	0
9.588821757765836E+002	-6.5647349E-002	-1.9596143E-001	0
9.588825757765735E+002	-6.7155540E-002	-1.9596842E-001	0
9.588829757765634E+002	-6.8511002E-002	-1.9595888E-001	0
9.588833757765533E+002	-6.9828287E-002	-1.9596779E-001	0
9.588837757765432E+002	-7.0992835E-002	-1.9596525E-001	0
9.588843757765280E+002	-7.2558306E-002	-1.9596842E-001	0
9.588849757765129E+002	-7.3799223E-002	-1.9596270E-001	0
9.588855757764977E+002	-7.5135589E-002	-1.9596396E-001	0
9.588861757764826E+002	-7.6185599E-002	-1.9597097E-001	0
9.588867757764674E+002	-7.7197425E-002	-1.9596270E-001	0
9.588875757764472E+002	-7.8495614E-002	-1.9596334E-001	0
9.588881757764320E+002	-7.9507440E-002	-1.9596270E-001	0
9.588889757764118E+002	-8.0595627E-002	-1.9596143E-001	0
9.588899757763866E+002	-8.1779271E-002	-1.9596334E-001	0
9.588909757763613E+002	-8.2982004E-002	-1.9596334E-001	0
9.588917757763411E+002	-8.4032014E-002	-1.9597161E-001	0
9.588927757763158E+002	-8.5101113E-002	-1.9596970E-001	0
9.588937757762906E+002	-8.6170211E-002	-1.9596779E-001	0
9.588949757762603E+002	-8.7277487E-002	-1.9596143E-001	0
9.588961757762299E+002	-8.8422947E-002	-1.9596143E-001	0
9.588971757762047E+002	-8.9511141E-002	-1.9596334E-001	0
9.588983757761744E+002	-9.0618417E-002	-1.9596396E-001	0
9.588995757761440E+002	-9.1630243E-002	-1.9596525E-001	0
9.589005757761188E+002	-9.2699341E-002	-1.9596842E-001	0
9.589019757760834E+002	-9.3806624E-002	-1.9596906E-001	0
9.589031757760531E+002	-9.4875716E-002	-1.9596525E-001	0
9.589043757760228E+002	-9.5944814E-002	-1.9596587E-001	0
9.589057757759874E+002	-9.7109370E-002	-1.9597097E-001	0
