time/s	Ewe/V	I/mA	error	
6.008439848214039E+001	1.6589611E+000	-2.4224553E-001	1
6.008459848213533E+001	1.6643820E+000	-2.4223347E-001	0
6.008479848213028E+001	1.6690012E+000	-2.4223664E-001	0
6.008499848212523E+001	1.6730096E+000	-2.4224110E-001	0
6.008519848212018E+001	1.6765982E+000	-2.4223281E-001	0
6.008539848211512E+001	1.6796141E+000	-2.4223538E-001	0
6.008559848211007E+001	1.6826299E+000	-2.4223728E-001	0
6.008579848210502E+001	1.6854358E+000	-2.4223408E-001	0
6.008599848209997E+001	1.6876118E+000	-2.4223538E-001	0
6.008619848209491E+001	1.6898069E+000	-2.4223408E-001	0
6.008639848208986E+001	1.6917539E+000	-2.4223472E-001	0
6.008659848208481E+001	1.6936626E+000	-2.4222836E-001	0
6.008679848207976E+001	1.6953232E+000	-2.4223728E-001	0
6.008699848207471E+001	1.6967167E+000	-2.4223538E-001	0
6.008719848206965E+001	1.6981864E+000	-2.4223217E-001	0
6.008739848206460E+001	1.6994845E+000	-2.4223599E-001	0
6.008759848205955E+001	1.7007824E+000	-2.4222775E-001	0
6.008779848205450E+001	1.7019277E+000	-2.4223156E-001	0
6.008799848204944E+001	1.7030157E+000	-2.4222966E-001	0
6.008839848203934E+001	1.7046953E+000	-2.4223217E-001	0
6.008879848202923E+001	1.7063942E+000	-2.4222645E-001	0
6.008919848201913E+001	1.7077303E+000	-2.4223347E-001	0
6.008959848200902E+001	1.7089710E+000	-2.4223217E-001	0
6.009019848199387E+001	1.7104026E+000	-2.4223156E-001	0
6.009079848197871E+001	1.7115479E+000	-2.4222836E-001	0
6.009159848195850E+001	1.7126741E+000	-2.4222645E-001	0
6.009259848193324E+001	1.7136858E+000	-2.4223027E-001	0
6.009859848178166E+001	1.7124641E+000	-2.4222454E-001	0
6.009999848174630E+001	1.7114143E+000	-2.4222393E-001	0
6.010119848171598E+001	1.7102118E+000	-2.4223027E-001	0
6.010239848168567E+001	1.7089710E+000	-2.4222775E-001	0
6.010359848165535E+001	1.7077876E+000	-2.4223156E-001	0
6.010479848162504E+001	1.7065660E+000	-2.4222966E-001	0
6.010579848159978E+001	1.7054970E+000	-2.4223347E-001	0
6.010679848157451E+001	1.7044473E+000	-2.4222775E-001	0
6.010779848154925E+001	1.7031684E+000	-2.4222454E-001	0
6.010879848152399E+001	1.7020231E+000	-2.4222709E-001	0
6.010979848149873E+001	1.7008969E+000	-2.4222519E-001	0
6.011079848147347E+001	1.6997516E+000	-2.4222900E-001	0
6.011179848144820E+001	1.6987400E+000	-2.4222900E-001	0
6.011259848142799E+001	1.6977284E+000	-2.4222645E-001	0
6.011359848140273E+001	1.6965449E+000	-2.4223408E-001	0
6.011459848137747E+001	1.6954759E+000	-2.4222966E-001	0
6.011559848135221E+001	1.6944262E+000	-2.4221882E-001	0
6.011639848133200E+001	1.6933954E+000	-2.4222584E-001	0
6.011739848130674E+001	1.6923647E+000	-2.4223156E-001	0
6.011839848128147E+001	1.6913530E+000	-2.4223091E-001	0
6.011939848125621E+001	1.6900933E+000	-2.4223664E-001	0
6.012039848123095E+001	1.6890053E+000	-2.4222900E-001	0
6.012159848120064E+001	1.6876500E+000	-2.4222900E-001	0
6.012279848117032E+001	1.6864284E+000	-2.4222966E-001	0
6.012379848114506E+001	1.6852449E+000	-2.4222900E-001	0
6.012499848111474E+001	1.6840615E+000	-2.4222900E-001	0
6.012619848108443E+001	1.6828017E+000	-2.4223790E-001	0
6.012739848105412E+001	1.6815610E+000	-2.4223281E-001	0
6.012859848102380E+001	1.6804730E+000	-2.4223027E-001	0
6.012959848099854E+001	1.6794040E+000	-2.4222966E-001	0
6.013079848096822E+001	1.6781061E+000	-2.4223091E-001	0
6.013199848093791E+001	1.6770754E+000	-2.4222775E-001	0
6.013299848091265E+001	1.6759683E+000	-2.4223347E-001	0
6.013419848088233E+001	1.6748421E+000	-2.4223027E-001	0
6.013539848085202E+001	1.6736205E+000	-2.4223472E-001	0
6.013659848082170E+001	1.6724371E+000	-2.4223217E-001	0
6.013799848078634E+001	1.6712345E+000	-2.4222966E-001	0
6.013919848075602E+001	1.6700702E+000	-2.4222966E-001	0
6.014039848072571E+001	1.6689631E+000	-2.4223408E-001	0
6.014159848069539E+001	1.6678369E+000	-2.4223091E-001	0
6.014279848066508E+001	1.6667870E+000	-2.4222836E-001	0
6.014399848063476E+001	1.6656418E+000	-2.4223027E-001	0
6.014539848059940E+001	1.6644965E+000	-2.4223347E-001	0
6.014659848056908E+001	1.6634085E+000	-2.4223855E-001	0
6.014779848053877E+001	1.6622442E+000	-2.4223281E-001	0
6.014919848050340E+001	1.6610035E+000	-2.4222900E-001	0
6.015059848046803E+001	1.6598773E+000	-2.4222584E-001	0
6.015179848043772E+001	1.6588274E+000	-2.4223091E-001	0
6.015319848040235E+001	1.6575867E+000	-2.4223538E-001	0
6.015459848036699E+001	1.6564605E+000	-2.4222966E-001	0
6.015579848033667E+001	1.6553725E+000	-2.4222775E-001	0
6.015699848030636E+001	1.6543609E+000	-2.4223156E-001	0
6.015839848027099E+001	1.6532919E+000	-2.4223027E-001	0
6.015979848023562E+001	1.6522231E+000	-2.4223156E-001	0
6.016119848020026E+001	1.6510015E+000	-2.4222519E-001	0
6.016259848016489E+001	1.6499897E+000	-2.4223027E-001	0
6.016419848012447E+001	1.6487682E+000	-2.4222645E-001	0
6.016539848009415E+001	1.6477183E+000	-2.4223347E-001	0
6.016679848005879E+001	1.6466876E+000	-2.4223027E-001	0
6.016819848002342E+001	1.6455805E+000	-2.4223408E-001	0
6.016959847998805E+001	1.6445688E+000	-2.4222966E-001	0
6.017099847995269E+001	1.6434236E+000	-2.4223217E-001	0
6.017239847991732E+001	1.6424119E+000	-2.4222836E-001	0
6.017379847988195E+001	1.6413621E+000	-2.4223091E-001	0
6.017519847984659E+001	1.6402168E+000	-2.4222328E-001	0
6.017679847980617E+001	1.6391861E+000	-2.4222709E-001	0
6.017819847977080E+001	1.6380599E+000	-2.4223091E-001	0
6.017959847973543E+001	1.6370101E+000	-2.4222966E-001	0
6.018139847968996E+001	1.6357884E+000	-2.4222900E-001	0
6.018299847964954E+001	1.6346813E+000	-2.4222966E-001	0
6.018459847960912E+001	1.6336316E+000	-2.4222966E-001	0
6.018599847957375E+001	1.6325817E+000	-2.4223217E-001	0
6.018759847953334E+001	1.6315128E+000	-2.4223347E-001	0
6.018919847949292E+001	1.6303675E+000	-2.4223217E-001	0
6.019099847944744E+001	1.6293368E+000	-2.4222645E-001	0
6.019239847941208E+001	1.6282679E+000	-2.4222900E-001	0
