time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.8690782E+000	-2.5030727E-002	0
6.017319847989711E+001	9.2028948E-003	-1.5310619E+001	0
6.017359847988700E+001	9.2983125E-003	-1.5243019E+001	0
6.017399847987690E+001	9.3173962E-003	-1.5180521E+001	0
6.017439847986680E+001	9.2410613E-003	-1.5112921E+001	0
6.017479847985669E+001	9.2983125E-003	-1.5043407E+001	0
6.017519847984659E+001	9.1647273E-003	-1.4978359E+001	0
6.017559847983648E+001	9.2410613E-003	-1.4912672E+001	0
6.017599847982638E+001	9.3364790E-003	-1.4844435E+001	0
6.017639847981627E+001	9.2410613E-003	-1.4786400E+001	0
6.017679847980617E+001	9.1456445E-003	-1.4718801E+001	0
6.017719847979606E+001	9.1838110E-003	-1.4663954E+001	0
6.017759847978596E+001	9.2601450E-003	-1.4594442E+001	0
6.017799847977585E+001	9.1647273E-003	-1.4535132E+001	0
6.017839847976575E+001	9.1265608E-003	-1.4478374E+001	0
6.017879847975564E+001	9.2410613E-003	-1.4405034E+001	0
6.017919847974554E+001	9.1456445E-003	-1.4351464E+001	0
6.017959847973543E+001	9.2601450E-003	-1.4288965E+001	0
6.017999847972533E+001	9.2601450E-003	-1.4225192E+001	0
6.018039847971522E+001	9.2601450E-003	-1.4172897E+001	0
6.018079847970512E+001	9.2792287E-003	-1.4113589E+001	0
6.018119847969501E+001	9.2792287E-003	-1.4054916E+001	0
6.018159847968491E+001	9.2028948E-003	-1.3998796E+001	0
6.018199847967480E+001	9.3555627E-003	-1.3940125E+001	0
6.018239847966470E+001	9.2028948E-003	-1.3884004E+001	0
6.018279847965459E+001	9.2410613E-003	-1.3825969E+001	0
6.018319847964449E+001	9.2410613E-003	-1.3774950E+001	0
6.018359847963438E+001	9.2792287E-003	-1.3717554E+001	0
6.018399847962428E+001	9.3173962E-003	-1.3655055E+001	0
6.018439847961417E+001	9.2792287E-003	-1.3601485E+001	0
6.018499847959902E+001	9.2410613E-003	-1.3526232E+001	0
6.018539847958891E+001	9.2983125E-003	-1.3469475E+001	0
6.018579847957881E+001	9.2792287E-003	-1.3412715E+001	0
6.018619847956870E+001	9.2028948E-003	-1.3358508E+001	0
6.018659847955860E+001	9.2792287E-003	-1.3308126E+001	0
6.018699847954849E+001	9.2601450E-003	-1.3251369E+001	0
6.018739847953839E+001	9.1456445E-003	-1.3200350E+001	0
6.018779847952828E+001	9.1647273E-003	-1.3149330E+001	0
6.018819847951818E+001	9.1838110E-003	-1.3098311E+001	0
6.018859847950807E+001	9.2219785E-003	-1.3046018E+001	0
6.018899847949797E+001	9.2601450E-003	-1.2989260E+001	0
6.018959847948281E+001	9.2601450E-003	-1.2923573E+001	0
6.018999847947271E+001	9.2219785E-003	-1.2865538E+001	0
6.019059847945755E+001	9.2601450E-003	-1.2794111E+001	0
6.019119847944239E+001	9.2601450E-003	-1.2723960E+001	0
6.019159847943229E+001	9.2983125E-003	-1.2668477E+001	0
6.019219847941713E+001	9.1838110E-003	-1.2602152E+001	0
6.019259847940702E+001	9.2028948E-003	-1.2550496E+001	0
6.019319847939187E+001	9.2410613E-003	-1.2483534E+001	0
6.019379847937671E+001	9.2792287E-003	-1.2410832E+001	0
6.019439847936155E+001	9.2219785E-003	-1.2335579E+001	0
