time/s	Ewe/V	I/mA	error	
9.519105630867722E+003	9.2290482E-003	-1.9310964E-002	0
9.519106030867726E+003	7.6915459E-003	-1.9444682E-002	0
9.519113430867641E+003	6.5465351E-003	-1.9463785E-002	0
9.519128430867451E+003	5.5160248E-003	-1.9419212E-002	0
9.519143030867301E+003	4.5045982E-003	-1.9495621E-002	0
9.519157230867102E+003	3.4550049E-003	-1.9406477E-002	0
9.519175630866885E+003	2.4435783E-003	-1.9412844E-002	0
9.519193230866673E+003	1.3939848E-003	-1.9451048E-002	0
9.519211430866446E+003	3.8255830E-004	-1.9425580E-002	0
9.519230230866218E+003	-7.2428572E-004	-1.9457417E-002	0
9.519250830865974E+003	-1.7929627E-003	-1.9431945E-002	0
9.519271630865725E+003	-2.8616397E-003	-1.9406477E-002	0
9.519292630865471E+003	-3.9303168E-003	-1.9489253E-002	0
9.519314830865187E+003	-4.9417429E-003	-1.9419212E-002	0
9.519337430864922E+003	-5.9913364E-003	-1.9431945E-002	0
9.519360630864656E+003	-7.0027630E-003	-1.9431945E-002	0
9.519380830864393E+003	-8.0332728E-003	-1.9412844E-002	0
9.519404830864107E+003	-9.0446994E-003	-1.9451048E-002	0
9.519428430863831E+003	-1.0075209E-002	-1.9406477E-002	0
9.519453830863524E+003	-1.1182053E-002	-1.9482886E-002	0
9.519478830863227E+003	-1.2212563E-002	-1.9400109E-002	0
9.519504430862900E+003	-1.3281240E-002	-1.9451048E-002	0
9.519532030862567E+003	-1.4445335E-002	-1.9476518E-002	0
9.519559830862243E+003	-1.5475845E-002	-1.9482886E-002	0
9.519587030861905E+003	-1.6487271E-002	-1.9457417E-002	0
9.519613630861597E+003	-1.7498698E-002	-1.9444682E-002	0
9.519640630861250E+003	-1.8548291E-002	-1.9451048E-002	0
9.519670230860909E+003	-1.9559717E-002	-1.9476518E-002	0
9.519696030860592E+003	-2.0571144E-002	-1.9451048E-002	0
9.519724030860234E+003	-2.1601653E-002	-1.9400109E-002	0
9.519755430859863E+003	-2.2632163E-002	-1.9470152E-002	0
9.519786230859492E+003	-2.3662673E-002	-1.9514725E-002	0
9.519815630859128E+003	-2.4731351E-002	-1.9412844E-002	0
9.519844830858783E+003	-2.5800027E-002	-1.9451048E-002	0
9.519879430858360E+003	-2.6849622E-002	-1.9451048E-002	0
9.519911830857978E+003	-2.7880130E-002	-1.9438313E-002	0
9.519943430857587E+003	-2.8986976E-002	-1.9451048E-002	0
9.519978830857173E+003	-3.0036569E-002	-1.9470152E-002	0
9.520012230856752E+003	-3.1086162E-002	-1.9476518E-002	0
9.520045830856354E+003	-3.2116670E-002	-1.9470152E-002	0
9.520080430855945E+003	-3.3185348E-002	-1.9470152E-002	0
9.520115230855503E+003	-3.4196775E-002	-1.9521093E-002	0
9.520152030855068E+003	-3.5227284E-002	-1.9412844E-002	0
9.520188030854624E+003	-3.6238711E-002	-1.9438313E-002	0
9.520224430854185E+003	-3.7345555E-002	-1.9438313E-002	0
9.520262830853724E+003	-3.8395148E-002	-1.9533826E-002	0
9.520300230853260E+003	-3.9463826E-002	-1.9495621E-002	0
9.520339830852783E+003	-4.0475253E-002	-1.9368272E-002	0
9.520378230852337E+003	-4.1486677E-002	-1.9406477E-002	0
9.520416630851862E+003	-4.2498104E-002	-1.9425580E-002	0
9.520459830851338E+003	-4.3509532E-002	-1.9476518E-002	0
9.520492430850936E+003	-4.4540040E-002	-1.9406477E-002	0
9.520539630850370E+003	-4.5551468E-002	-1.9482886E-002	0
9.520579630849883E+003	-4.6562895E-002	-1.9425580E-002	0
9.520623230849349E+003	-4.7593404E-002	-1.9457417E-002	0
9.520667630848824E+003	-4.8623916E-002	-1.9463785E-002	0
9.520708430848317E+003	-4.9635340E-002	-1.9489253E-002	0
9.520752230847807E+003	-5.0684933E-002	-1.9482886E-002	0
9.520799230847217E+003	-5.1715445E-002	-1.9501990E-002	0
9.520848830846619E+003	-5.2803203E-002	-1.9400109E-002	0
9.520895230846072E+003	-5.3852797E-002	-1.9470152E-002	0
9.520946430845448E+003	-5.4940559E-002	-1.9514725E-002	0
9.520999630844803E+003	-5.5951986E-002	-1.9476518E-002	0
9.521046630844241E+003	-5.7020660E-002	-1.9470152E-002	0
9.521098630843597E+003	-5.8051173E-002	-1.9508356E-002	0
