time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.8566067E+000	-2.5030727E-002	0
6.017319847989711E+001	9.2219785E-003	-1.6602674E+001	0
6.017359847988700E+001	9.3555627E-003	-1.6524233E+001	0
6.017399847987690E+001	9.2219785E-003	-1.6444515E+001	0
6.017439847986680E+001	9.3173962E-003	-1.6376276E+001	0
6.017479847985669E+001	9.2792287E-003	-1.6294647E+001	0
6.017519847984659E+001	9.2028948E-003	-1.6226408E+001	0
6.017559847983648E+001	9.2601450E-003	-1.6149879E+001	0
6.017599847982638E+001	9.2410613E-003	-1.6081642E+001	0
6.017639847981627E+001	9.3173962E-003	-1.6008940E+001	0
6.017679847980617E+001	9.1456445E-003	-1.5943891E+001	0
6.017719847979606E+001	9.2792287E-003	-1.5871828E+001	0
6.017759847978596E+001	9.2219785E-003	-1.5802952E+001	0
6.017799847977585E+001	9.2219785E-003	-1.5727698E+001	0
6.017839847976575E+001	9.2792287E-003	-1.5655635E+001	0
6.017879847975564E+001	9.1838110E-003	-1.5593137E+001	0
6.017919847974554E+001	9.2410613E-003	-1.5522985E+001	0
6.017959847973543E+001	9.2792287E-003	-1.5456661E+001	0
6.017999847972533E+001	9.2792287E-003	-1.5392887E+001	0
6.018039847971522E+001	9.2028948E-003	-1.5325925E+001	0
6.018079847970512E+001	9.2601450E-003	-1.5261515E+001	0
6.018119847969501E+001	9.2983125E-003	-1.5197104E+001	0
6.018159847968491E+001	9.2792287E-003	-1.5131416E+001	0
6.018199847967480E+001	9.1838110E-003	-1.5065729E+001	0
6.018239847966470E+001	9.3173962E-003	-1.4998129E+001	0
6.018279847965459E+001	9.3173962E-003	-1.4937543E+001	0
6.018319847964449E+001	9.2983125E-003	-1.4878235E+001	0
6.018359847963438E+001	9.2601450E-003	-1.4813185E+001	0
6.018399847962428E+001	9.2792287E-003	-1.4757701E+001	0
6.018439847961417E+001	9.2792287E-003	-1.4695842E+001	0
6.018479847960407E+001	9.2792287E-003	-1.4629517E+001	0
6.018519847959396E+001	9.3555627E-003	-1.4574672E+001	0
6.018559847958386E+001	9.2219785E-003	-1.4504521E+001	0
6.018599847957375E+001	9.3173962E-003	-1.4449038E+001	0
6.018639847956365E+001	9.2028948E-003	-1.4395468E+001	0
6.018679847955354E+001	9.3173962E-003	-1.4327868E+001	0
6.018719847954344E+001	9.2410613E-003	-1.4274299E+001	0
6.018759847953334E+001	9.2601450E-003	-1.4222003E+001	0
6.018799847952323E+001	9.2983125E-003	-1.4161419E+001	0
6.018839847951313E+001	9.2410613E-003	-1.4093182E+001	0
6.018879847950302E+001	9.2601450E-003	-1.4035147E+001	0
6.018939847948786E+001	9.2601450E-003	-1.3950327E+001	0
6.018999847947271E+001	9.2601450E-003	-1.3875712E+001	0
6.019039847946260E+001	9.2219785E-003	-1.3820229E+001	0
6.019079847945250E+001	9.4509805E-003	-1.3762833E+001	0
6.019139847943734E+001	9.2219785E-003	-1.3679289E+001	0
6.019199847942218E+001	9.2219785E-003	-1.3600848E+001	0
6.019239847941208E+001	9.2028948E-003	-1.3544089E+001	0
6.019279847940197E+001	9.2410613E-003	-1.3491795E+001	0
6.019319847939187E+001	9.1838110E-003	-1.3437588E+001	0
6.019379847937671E+001	9.2028948E-003	-1.3365522E+001	0
6.019419847936661E+001	9.3173962E-003	-1.3308764E+001	0
6.019479847935145E+001	9.3555627E-003	-1.3225221E+001	0
6.019539847933629E+001	9.2792287E-003	-1.3165911E+001	0
6.019579847932619E+001	9.2219785E-003	-1.3105327E+001	0
6.019639847931103E+001	9.3173962E-003	-1.3034538E+001	0
6.019699847929587E+001	9.2601450E-003	-1.2955458E+001	0
6.019739847928577E+001	9.2410613E-003	-1.2905077E+001	0
6.019799847927061E+001	9.3364790E-003	-1.2833013E+001	0
6.019859847925545E+001	9.2028948E-003	-1.2760311E+001	0
6.019899847924535E+001	9.2792287E-003	-1.2709930E+001	0
6.019959847923019E+001	9.2219785E-003	-1.2652534E+001	0
6.019999847922008E+001	9.4128130E-003	-1.2597689E+001	0
6.020059847920493E+001	9.2028948E-003	-1.2524986E+001	0
6.020119847918977E+001	9.3555627E-003	-1.2457387E+001	0
6.020179847917461E+001	9.1647273E-003	-1.2397440E+001	0
6.020219847916451E+001	9.3555627E-003	-1.2347058E+001	0
6.020279847914935E+001	9.2792287E-003	-1.2276907E+001	0
6.020339847913419E+001	9.2601450E-003	-1.2208032E+001	0
6.020399847911904E+001	9.2983125E-003	-1.2142344E+001	0
6.020459847910388E+001	9.2983125E-003	-1.2080484E+001	0
6.020519847908872E+001	9.2792287E-003	-1.2019262E+001	0
6.020559847907862E+001	9.2792287E-003	-1.1962503E+001	0
6.020619847906346E+001	9.3364790E-003	-1.1909571E+001	0
6.020679847904830E+001	9.3555627E-003	-1.1842608E+001	0
6.020739847903315E+001	9.2601450E-003	-1.1778198E+001	0
6.020799847901799E+001	9.2028948E-003	-1.1720801E+001	0
6.020859847900283E+001	9.2601450E-003	-1.1657028E+001	0
6.020919847898767E+001	9.3173962E-003	-1.1595805E+001	0
6.020979847897252E+001	9.3173962E-003	-1.1544148E+001	0
6.021019847896241E+001	9.2983125E-003	-1.1493767E+001	0
6.021079847894725E+001	9.2028948E-003	-1.1438922E+001	0
6.021139847893210E+001	9.2028948E-003	-1.1380250E+001	0
6.021199847891694E+001	9.2601450E-003	-1.1317114E+001	0
6.021259847890178E+001	9.2219785E-003	-1.1260993E+001	0
6.021319847888662E+001	9.2219785E-003	-1.1208699E+001	0
6.021379847887147E+001	9.2792287E-003	-1.1143012E+001	0
6.021439847885631E+001	9.2410613E-003	-1.1083703E+001	0
6.021499847884115E+001	9.2983125E-003	-1.1027581E+001	0
6.021579847882094E+001	9.1647273E-003	-1.0964446E+001	0
6.021639847880579E+001	9.2410613E-003	-1.0904498E+001	0
6.021699847879063E+001	9.1838110E-003	-1.0852204E+001	0
6.021759847877547E+001	9.2410613E-003	-1.0796083E+001	0
6.021819847876031E+001	9.2410613E-003	-1.0742514E+001	0
6.021899847874010E+001	9.2792287E-003	-1.0678740E+001	0
6.021959847872495E+001	9.2410613E-003	-1.0621981E+001	0
6.022019847870979E+001	9.1838110E-003	-1.0565860E+001	0
6.022099847868958E+001	9.2410613E-003	-1.0502088E+001	0
6.022179847866937E+001	9.2601450E-003	-1.0433848E+001	0
6.022259847864916E+001	9.2792287E-003	-1.0370712E+001	0
6.022319847863400E+001	9.3364790E-003	-1.0320332E+001	0
6.022399847861379E+001	9.2028948E-003	-1.0259747E+001	0
6.022459847859864E+001	9.2983125E-003	-1.0208090E+001	0
6.022539847857843E+001	9.2410613E-003	-1.0138577E+001	0
6.022619847855822E+001	9.2601450E-003	-1.0078630E+001	0
6.022699847853801E+001	9.3173962E-003	-1.0015494E+001	0
6.022779847851780E+001	9.2792287E-003	-9.9651127E+000	0
6.022859847849759E+001	9.2792287E-003	-9.8981504E+000	0
6.022939847847738E+001	9.1838110E-003	-9.8350143E+000	0
6.023019847845717E+001	9.2792287E-003	-9.7769794E+000	0
6.023099847843696E+001	9.3364790E-003	-9.7144823E+000	0
