time/s	Ewe/V	I/mA	error	
3.836169903090049E+002	-1.3389525E-002	-9.7393376E-001	0
3.836171903089999E+002	-3.0307055E-002	-9.7978884E-001	0
3.836173903089948E+002	-3.5217896E-002	-9.7992891E-001	0
3.836175903089897E+002	-3.7775587E-002	-9.7990340E-001	0
3.836177903089847E+002	-3.9894268E-002	-9.7989696E-001	0
3.836179903089796E+002	-4.1669384E-002	-9.7994167E-001	0
3.836181903089746E+002	-4.3310884E-002	-9.7994798E-001	0
3.836183903089695E+002	-4.4685166E-002	-9.7996074E-001	0
3.836185903089645E+002	-4.6154883E-002	-9.7989064E-001	0
3.836187903089594E+002	-4.7605511E-002	-9.7997338E-001	0
3.836189903089544E+002	-4.8788920E-002	-9.7994798E-001	0
3.836191903089493E+002	-5.0201375E-002	-9.7987789E-001	0
3.836193903089443E+002	-5.1384784E-002	-9.7991616E-001	0
3.836195903089392E+002	-5.2739978E-002	-9.7998613E-001	0
3.836197903089342E+002	-5.3942472E-002	-9.7996706E-001	0
3.836201903089241E+002	-5.6213852E-002	-9.7992253E-001	0
3.836203903089190E+002	-5.7320911E-002	-9.7990340E-001	0
3.836205903089140E+002	-5.8523409E-002	-9.7996074E-001	0
3.836207903089089E+002	-5.9573207E-002	-9.7992253E-001	0
3.836209903089039E+002	-6.0737528E-002	-9.7999889E-001	0
3.836211903088988E+002	-6.1901849E-002	-9.7993523E-001	0
3.836215903088887E+002	-6.4058706E-002	-9.7993523E-001	0
3.836219903088786E+002	-6.6139214E-002	-9.7987157E-001	0
3.836223903088685E+002	-6.8086110E-002	-9.7997338E-001	0
3.836225903088634E+002	-6.9231346E-002	-9.7987789E-001	0
3.836229903088533E+002	-7.1159154E-002	-9.7987789E-001	0
3.836233903088432E+002	-7.3029704E-002	-9.7992891E-001	0
3.836235903088382E+002	-7.4155852E-002	-9.7999889E-001	0
3.836239903088281E+002	-7.5950049E-002	-9.7992253E-001	0
3.836241903088230E+002	-7.6999851E-002	-9.7992253E-001	0
3.836245903088129E+002	-7.8870393E-002	-9.8000526E-001	0
3.836249903088028E+002	-8.0702774E-002	-9.7996074E-001	0
3.836253903087927E+002	-8.2516059E-002	-9.7995430E-001	0
3.836257903087826E+002	-8.4291168E-002	-9.7994798E-001	0
3.836261903087725E+002	-8.5951760E-002	-9.7997981E-001	0
3.836263903087674E+002	-8.7039731E-002	-9.7997981E-001	0
3.836267903087573E+002	-8.8566713E-002	-9.8004341E-001	0
3.836271903087472E+002	-9.0418175E-002	-9.7999251E-001	0
3.836275903087371E+002	-9.2040583E-002	-9.7992891E-001	0
3.836279903087270E+002	-9.3777522E-002	-9.7992253E-001	0
3.836283903087169E+002	-9.5323592E-002	-9.7997981E-001	0
3.836287903087068E+002	-9.7175054E-002	-9.7996706E-001	0
3.836291903086967E+002	-9.8682940E-002	-9.7990972E-001	0
3.836295903086866E+002	-1.0017174E-001	-9.7991616E-001	0
3.836299903086765E+002	-1.0183234E-001	-9.7996074E-001	0
3.836303903086664E+002	-1.0320662E-001	-9.7991616E-001	0
3.836307903086563E+002	-1.0475268E-001	-9.7989064E-001	0
3.836311903086462E+002	-1.0652780E-001	-9.7994167E-001	0
3.836315903086361E+002	-1.0784481E-001	-9.7992891E-001	0
3.836319903086260E+002	-1.0942905E-001	-9.7997338E-001	0
3.836323903086159E+002	-1.1086060E-001	-9.7997338E-001	0
3.836327903086058E+002	-1.1229214E-001	-9.7995430E-001	0
3.836331903085957E+002	-1.1374277E-001	-9.7998613E-001	0
3.836335903085856E+002	-1.1521249E-001	-9.7993523E-001	0
3.836339903085754E+002	-1.1656768E-001	-9.7990972E-001	0
3.836343903085653E+002	-1.1788470E-001	-9.7991616E-001	0
3.836347903085552E+002	-1.1943077E-001	-9.7996074E-001	0
3.836351903085451E+002	-1.2061417E-001	-9.7992253E-001	0
3.836355903085350E+002	-1.2198845E-001	-9.7994167E-001	0
3.836359903085249E+002	-1.2330547E-001	-9.7995430E-001	0
3.836363903085148E+002	-1.2462249E-001	-9.7995430E-001	0
3.836367903085047E+002	-1.2601586E-001	-9.7993523E-001	0
3.836371903084946E+002	-1.2731379E-001	-9.7993523E-001	0
3.836375903084845E+002	-1.2857355E-001	-9.7994798E-001	0
3.836379903084744E+002	-1.2975696E-001	-9.7993523E-001	0
3.836383903084643E+002	-1.3094036E-001	-9.7996074E-001	0
3.836387903084542E+002	-1.3221921E-001	-9.7996074E-001	0
3.836391903084441E+002	-1.3347897E-001	-9.7995430E-001	0
3.836395903084340E+002	-1.3464329E-001	-9.7994167E-001	0
3.836399903084239E+002	-1.3590305E-001	-9.7991616E-001	0
3.836403903084138E+002	-1.3706736E-001	-9.7994167E-001	0
3.836407903084037E+002	-1.3826986E-001	-9.7991616E-001	0
3.836411903083936E+002	-1.3933875E-001	-9.7994798E-001	0
3.836415903083835E+002	-1.4054124E-001	-9.7989696E-001	0
3.836419903083734E+002	-1.4178191E-001	-9.7994167E-001	0
3.836423903083632E+002	-1.4302258E-001	-9.7999251E-001	0
3.836427903083531E+002	-1.4414872E-001	-9.7992891E-001	0
3.836433903083380E+002	-1.4577115E-001	-9.7992891E-001	0
3.836437903083279E+002	-1.4680186E-001	-9.7996074E-001	0
3.836441903083178E+002	-1.4796618E-001	-9.7993523E-001	0
3.836445903083077E+002	-1.4905414E-001	-9.7992253E-001	0
3.836449903082976E+002	-1.5016121E-001	-9.7996074E-001	0
3.836455903082824E+002	-1.5163092E-001	-9.7996074E-001	0
3.836459903082723E+002	-1.5268072E-001	-9.7994798E-001	0
3.836463903082622E+002	-1.5384504E-001	-9.7993523E-001	0
3.836469903082470E+002	-1.5521932E-001	-9.7991616E-001	0
3.836473903082369E+002	-1.5640274E-001	-9.7996706E-001	0
3.836479903082218E+002	-1.5781519E-001	-9.7990340E-001	0
3.836485903082066E+002	-1.5924673E-001	-9.7989064E-001	0
3.836491903081915E+002	-1.6073553E-001	-9.7992253E-001	0
3.836495903081814E+002	-1.6178533E-001	-9.7996074E-001	0
3.836501903081662E+002	-1.6310234E-001	-9.7994798E-001	0
3.836505903081561E+002	-1.6411397E-001	-9.7992253E-001	0
3.836511903081409E+002	-1.6560277E-001	-9.7997981E-001	0
3.836517903081258E+002	-1.6688162E-001	-9.7999889E-001	0
3.836523903081106E+002	-1.6823682E-001	-9.7997338E-001	0
3.836529903080955E+002	-1.6957292E-001	-9.7989696E-001	0
3.836535903080803E+002	-1.7096628E-001	-9.7996074E-001	0
3.836541903080652E+002	-1.7218786E-001	-9.7996706E-001	0
3.836547903080500E+002	-1.7354307E-001	-9.7988433E-001	0
3.836553903080348E+002	-1.7480282E-001	-9.7994798E-001	0
3.836559903080197E+002	-1.7608167E-001	-9.7999251E-001	0
3.836565903080045E+002	-1.7726508E-001	-9.7992253E-001	0
3.836571903079894E+002	-1.7852484E-001	-9.7990340E-001	0
3.836577903079742E+002	-1.7982276E-001	-9.7990340E-001	0
3.836583903079591E+002	-1.8092982E-001	-9.7994798E-001	0
3.836589903079439E+002	-1.8205597E-001	-9.7989064E-001	0
3.836595903079287E+002	-1.8331572E-001	-9.7990340E-001	0
3.836601903079136E+002	-1.8444188E-001	-9.7997981E-001	0
3.836607903078984E+002	-1.8577798E-001	-9.7996074E-001	0
3.836615903078782E+002	-1.8709500E-001	-9.7998613E-001	0
3.836621903078631E+002	-1.8827841E-001	-9.7990340E-001	0
3.836627903078479E+002	-1.8938547E-001	-9.7997338E-001	0
3.836633903078327E+002	-1.9043526E-001	-9.7993523E-001	0
3.836639903078176E+002	-1.9144689E-001	-9.7990340E-001	0
3.836645903078024E+002	-1.9255395E-001	-9.7997338E-001	0
3.836651903077873E+002	-1.9360375E-001	-9.7990972E-001	0
3.836657903077721E+002	-1.9461536E-001	-9.8001158E-001	0
3.836663903077570E+002	-1.9568425E-001	-9.7995430E-001	0
3.836669903077418E+002	-1.9669588E-001	-9.7992891E-001	0
3.836677903077216E+002	-1.9801290E-001	-9.7997338E-001	0
3.836685903077014E+002	-1.9923449E-001	-9.7990972E-001	0
3.836691903076862E+002	-2.0030336E-001	-9.7995430E-001	0
3.836699903076660E+002	-2.0163947E-001	-9.7989696E-001	0
3.836707903076458E+002	-2.0278470E-001	-9.7992253E-001	0
3.836715903076256E+002	-2.0410173E-001	-9.7997981E-001	0
3.836723903076054E+002	-2.0532331E-001	-9.7991616E-001	0
3.836731903075852E+002	-2.0641127E-001	-9.8002434E-001	0
3.836739903075650E+002	-2.0765194E-001	-9.7989064E-001	0
3.836747903075448E+002	-2.0877810E-001	-9.7992891E-001	0
3.836755903075245E+002	-2.0980881E-001	-9.7994167E-001	0
3.836763903075043E+002	-2.1093495E-001	-9.7994167E-001	0
3.836771903074841E+002	-2.1217562E-001	-9.7992891E-001	0
3.836781903074589E+002	-2.1339720E-001	-9.7994167E-001	0
3.836789903074387E+002	-2.1448518E-001	-9.7990340E-001	0
3.836797903074184E+002	-2.1564950E-001	-9.7994167E-001	0
3.836805903073982E+002	-2.1666113E-001	-9.7993523E-001	0
3.836813903073780E+002	-2.1776818E-001	-9.7994167E-001	0
3.836823903073528E+002	-2.1898976E-001	-9.7997981E-001	0
3.836833903073275E+002	-2.2011591E-001	-9.7995430E-001	0
3.836841903073073E+002	-2.2118481E-001	-9.7994167E-001	0
3.836849903072871E+002	-2.2221550E-001	-9.7989064E-001	0
3.836859903072618E+002	-2.2330348E-001	-9.7996706E-001	0
3.836867903072416E+002	-2.2437237E-001	-9.7992891E-001	0
3.836877903072163E+002	-2.2540307E-001	-9.7998613E-001	0
3.836887903071911E+002	-2.2660556E-001	-9.7994798E-001	0
3.836897903071658E+002	-2.2767445E-001	-9.7993523E-001	0
3.836907903071406E+002	-2.2878152E-001	-9.7996706E-001	0
3.836917903071153E+002	-2.2981222E-001	-9.8002434E-001	0
3.836927903070900E+002	-2.3090020E-001	-9.7995430E-001	0
