time/s	Ewe/V	I/mA	error	
1.214550119906945E+004	-4.0168930E-002	-9.7343731E-001	0
1.214550139906944E+004	-7.5447187E-002	-9.7970611E-001	0
1.214550159906945E+004	-8.8623971E-002	-9.7982705E-001	0
1.214550179906945E+004	-9.4941847E-002	-9.7990972E-001	0
1.214550199906944E+004	-9.8931074E-002	-9.7990340E-001	0
1.214550219906945E+004	-1.0177507E-001	-9.7990340E-001	0
1.214550239906946E+004	-1.0408463E-001	-9.7992253E-001	0
1.214550259906944E+004	-1.0624149E-001	-9.7994798E-001	0
1.214550279906944E+004	-1.0826474E-001	-9.7995430E-001	0
1.214550299906943E+004	-1.0998259E-001	-9.7994167E-001	0
1.214550319906944E+004	-1.1202492E-001	-9.7990340E-001	0
1.214550339906945E+004	-1.1347555E-001	-9.7990340E-001	0
1.214550359906943E+004	-1.1526975E-001	-9.7994798E-001	0
1.214550379906943E+004	-1.1696851E-001	-9.7990340E-001	0
1.214550399906942E+004	-1.1853366E-001	-9.7993523E-001	0
1.214550419906943E+004	-1.2011790E-001	-9.7999889E-001	0
1.214550439906941E+004	-1.2168306E-001	-9.7988433E-001	0
1.214550459906942E+004	-1.2303825E-001	-9.7986525E-001	0
1.214550479906941E+004	-1.2467975E-001	-9.7992891E-001	0
1.214550499906941E+004	-1.2616855E-001	-9.7989696E-001	0
1.214550519906942E+004	-1.2771462E-001	-9.7987789E-001	0
1.214550539906940E+004	-1.2922251E-001	-9.7990340E-001	0
1.214550559906941E+004	-1.3065405E-001	-9.7994798E-001	0
1.214550579906940E+004	-1.3214286E-001	-9.7992253E-001	0
1.214550599906940E+004	-1.3355531E-001	-9.7989696E-001	0
1.214550619906941E+004	-1.3477689E-001	-9.7989696E-001	0
1.214550639906939E+004	-1.3622753E-001	-9.7994167E-001	0
1.214550659906938E+004	-1.3756363E-001	-9.7994798E-001	0
1.214550679906938E+004	-1.3901426E-001	-9.7993523E-001	0
1.214550699906937E+004	-1.4048398E-001	-9.7991616E-001	0
1.214550719906937E+004	-1.4164831E-001	-9.7996074E-001	0
1.214550739906938E+004	-1.4298441E-001	-9.7993523E-001	0
1.214550759906937E+004	-1.4433961E-001	-9.7994798E-001	0
1.214550779906937E+004	-1.4565662E-001	-9.7996074E-001	0
1.214550799906936E+004	-1.4701182E-001	-9.7992891E-001	0
1.214550819906936E+004	-1.4834791E-001	-9.7990972E-001	0
1.214550839906937E+004	-1.4958858E-001	-9.7986525E-001	0
1.214550859906936E+004	-1.5088652E-001	-9.7989696E-001	0
1.214550879906936E+004	-1.5220354E-001	-9.7997981E-001	0
1.214550899906935E+004	-1.5331060E-001	-9.7994167E-001	0
1.214550919906935E+004	-1.5449400E-001	-9.7993523E-001	0
1.214550939906936E+004	-1.5600190E-001	-9.7994167E-001	0
1.214550959906935E+004	-1.5701352E-001	-9.7994167E-001	0
1.214550979906935E+004	-1.5825419E-001	-9.7989696E-001	0
1.214550999906934E+004	-1.5959030E-001	-9.7992253E-001	0
1.214551019906934E+004	-1.6077371E-001	-9.7989696E-001	0
1.214551039906935E+004	-1.6193803E-001	-9.7997338E-001	0
1.214551059906934E+004	-1.6315961E-001	-9.7986525E-001	0
1.214551079906934E+004	-1.6428576E-001	-9.7992891E-001	0
1.214551099906935E+004	-1.6545008E-001	-9.7994167E-001	0
1.214551119906935E+004	-1.6667166E-001	-9.7992253E-001	0
1.214551139906934E+004	-1.6787416E-001	-9.7996706E-001	0
1.214551159906933E+004	-1.6888578E-001	-9.7996706E-001	0
1.214551179906933E+004	-1.7005010E-001	-9.7995430E-001	0
1.214551199906933E+004	-1.7119534E-001	-9.7992891E-001	0
1.214551219906934E+004	-1.7235966E-001	-9.7997981E-001	0
1.214551239906932E+004	-1.7348580E-001	-9.7994798E-001	0
1.214551259906932E+004	-1.7468829E-001	-9.7990972E-001	0
1.214551299906932E+004	-1.7676881E-001	-9.7994167E-001	0
1.214551319906930E+004	-1.7793313E-001	-9.7990972E-001	0
1.214551339906931E+004	-1.7894475E-001	-9.7990972E-001	0
1.214551359906931E+004	-1.8022360E-001	-9.7991616E-001	0
1.214551399906931E+004	-1.8213232E-001	-9.7994167E-001	0
1.214551419906929E+004	-1.8329664E-001	-9.7995430E-001	0
1.214551439906930E+004	-1.8432735E-001	-9.7991616E-001	0
1.214551479906929E+004	-1.8640786E-001	-9.7994798E-001	0
1.214551499906930E+004	-1.8747674E-001	-9.7993523E-001	0
1.214551539906928E+004	-1.8942364E-001	-9.7997338E-001	0
1.214551559906927E+004	-1.9051161E-001	-9.7992891E-001	0
1.214551579906927E+004	-1.9159959E-001	-9.7994167E-001	0
1.214551619906927E+004	-1.9360375E-001	-9.7988433E-001	0
1.214551659906926E+004	-1.9534068E-001	-9.7989696E-001	0
1.214551679906926E+004	-1.9642866E-001	-9.8001158E-001	0
1.214551699906925E+004	-1.9745937E-001	-9.7987789E-001	0
1.214551739906926E+004	-1.9931082E-001	-9.7988433E-001	0
1.214551759906925E+004	-2.0034154E-001	-9.7991616E-001	0
1.214551799906924E+004	-2.0217392E-001	-9.7994167E-001	0
1.214551839906925E+004	-2.0404446E-001	-9.7993523E-001	0
1.214551879906925E+004	-2.0591502E-001	-9.7994798E-001	0
1.214551919906924E+004	-2.0784283E-001	-9.7992891E-001	0
1.214551959906923E+004	-2.0956068E-001	-9.7993523E-001	0
1.214551999906925E+004	-2.1141213E-001	-9.7995430E-001	0
1.214552039906922E+004	-2.1311089E-001	-9.7996074E-001	0
1.214552079906923E+004	-2.1496236E-001	-9.7996074E-001	0
1.214552119906922E+004	-2.1660386E-001	-9.7997338E-001	0
1.214552159906921E+004	-2.1824536E-001	-9.7989696E-001	0
1.214552199906920E+004	-2.2003956E-001	-9.7994167E-001	0
1.214552239906920E+004	-2.2156654E-001	-9.7993523E-001	0
1.214552279906921E+004	-2.2336075E-001	-9.7998613E-001	0
1.214552319906918E+004	-2.2496407E-001	-9.7996706E-001	0
1.214552359906917E+004	-2.2656740E-001	-9.7996706E-001	0
1.214552399906918E+004	-2.2824708E-001	-9.7992891E-001	0
1.214552439906917E+004	-2.2971679E-001	-9.7991616E-001	0
1.214552479906916E+004	-2.3133920E-001	-9.7994798E-001	0
1.214552519906916E+004	-2.3296162E-001	-9.7994167E-001	0
1.214552559906915E+004	-2.3431681E-001	-9.7998613E-001	0
1.214552599906916E+004	-2.3595832E-001	-9.7991616E-001	0
1.214552639906915E+004	-2.3737077E-001	-9.7992891E-001	0
1.214552679906914E+004	-2.3884049E-001	-9.7996074E-001	0
1.214552719906914E+004	-2.4040563E-001	-9.7997338E-001	0
1.214552759906914E+004	-2.4187535E-001	-9.7997338E-001	0
1.214552799906913E+004	-2.4330691E-001	-9.7992253E-001	0
1.214552839906912E+004	-2.4464300E-001	-9.7989696E-001	0
1.214552879906914E+004	-2.4615090E-001	-9.7999889E-001	0
1.214552919906912E+004	-2.4739157E-001	-9.7997981E-001	0
1.214552959906912E+004	-2.4889946E-001	-9.7987789E-001	0
1.214552999906911E+004	-2.5008285E-001	-9.8003709E-001	0
1.214553039906910E+004	-2.5151441E-001	-9.7990972E-001	0
1.214553079906909E+004	-2.5288868E-001	-9.7999251E-001	0
1.214553119906910E+004	-2.5420570E-001	-9.8002434E-001	0
1.214553159906910E+004	-2.5548455E-001	-9.7994167E-001	0
1.214553199906908E+004	-2.5678247E-001	-9.7992253E-001	0
1.214553239906907E+004	-2.5819492E-001	-9.7998613E-001	0
1.214553279906907E+004	-2.5937834E-001	-9.7992253E-001	0
1.214553319906906E+004	-2.6061901E-001	-9.7993523E-001	0
1.214553359906905E+004	-2.6178333E-001	-9.7996074E-001	0
1.214553399906906E+004	-2.6300493E-001	-9.7994167E-001	0
1.214553439906905E+004	-2.6418832E-001	-9.7994798E-001	0
1.214553479906905E+004	-2.6556259E-001	-9.7998613E-001	0
1.214553539906903E+004	-2.6712775E-001	-9.7996074E-001	0
1.214553579906904E+004	-2.6834935E-001	-9.7992253E-001	0
1.214553619906903E+004	-2.6949456E-001	-9.7989696E-001	0
1.214553659906905E+004	-2.7077341E-001	-9.7998613E-001	0
1.214553699906902E+004	-2.7180412E-001	-9.7996074E-001	0
1.214553739906903E+004	-2.7302572E-001	-9.7989064E-001	0
1.214553799906901E+004	-2.7457178E-001	-9.7997338E-001	0
1.214553839906902E+004	-2.7577427E-001	-9.7999889E-001	0
1.214553879906901E+004	-2.7684316E-001	-9.7996074E-001	0
1.214553919906900E+004	-2.7787387E-001	-9.7996074E-001	0
1.214553959906899E+004	-2.7890459E-001	-9.7995430E-001	0
1.214553999906898E+004	-2.7999255E-001	-9.7990972E-001	0
1.214554059906898E+004	-2.8155771E-001	-9.7989696E-001	0
1.214554119906896E+004	-2.8308469E-001	-9.7988433E-001	0
1.214554179906896E+004	-2.8453532E-001	-9.7994798E-001	0
1.214554239906895E+004	-2.8606230E-001	-9.7996074E-001	0
1.214554279906895E+004	-2.8709301E-001	-9.7992891E-001	0
1.214554339906893E+004	-2.8852454E-001	-9.7996074E-001	0
1.214554399906893E+004	-2.8986067E-001	-9.7996074E-001	0
1.214554459906893E+004	-2.9138762E-001	-9.7996706E-001	0
1.214554519906893E+004	-2.9280010E-001	-9.7995430E-001	0
1.214554579906892E+004	-2.9405984E-001	-9.7999251E-001	0
1.214554639906890E+004	-2.9547229E-001	-9.7991616E-001	0
1.214554699906890E+004	-2.9680839E-001	-9.7995430E-001	0
1.214554759906890E+004	-2.9808724E-001	-9.7991616E-001	0
1.214554819906890E+004	-2.9936609E-001	-9.7996706E-001	0
1.214554879906887E+004	-3.0056858E-001	-9.7998613E-001	0
1.214554939906887E+004	-3.0190471E-001	-9.8000526E-001	0
1.214554999906886E+004	-3.0304992E-001	-9.7998613E-001	0
1.214555059906885E+004	-3.0430970E-001	-9.7996074E-001	0
1.214555119906884E+004	-3.0547401E-001	-9.8003066E-001	0
1.214555179906884E+004	-3.0661926E-001	-9.7992253E-001	0
1.214555239906884E+004	-3.0789807E-001	-9.7999889E-001	0
1.214555299906884E+004	-3.0892879E-001	-9.7994167E-001	0
1.214555359906882E+004	-3.1005496E-001	-9.7992253E-001	0
1.214555419906884E+004	-3.1125745E-001	-9.7990340E-001	0
1.214555479906881E+004	-3.1230724E-001	-9.8000526E-001	0
1.214555539906881E+004	-3.1341431E-001	-9.7996706E-001	0
1.214555599906881E+004	-3.1442592E-001	-9.7996706E-001	0
1.214555659906878E+004	-3.1553298E-001	-9.8004341E-001	0
1.214555719906877E+004	-3.1656370E-001	-9.7992253E-001	0
1.214555799906875E+004	-3.1776619E-001	-9.7987789E-001	0
1.214555859906875E+004	-3.1889233E-001	-9.7989696E-001	0
1.214555919906875E+004	-3.1992304E-001	-9.7999251E-001	0
1.214555999906873E+004	-3.2114464E-001	-9.7991616E-001	0
1.214556059906873E+004	-3.2225168E-001	-9.7994167E-001	0
1.214556139906873E+004	-3.2337782E-001	-9.7994798E-001	0
1.214556219906872E+004	-3.2459942E-001	-9.7993523E-001	0
1.214556279906872E+004	-3.2561103E-001	-9.7996074E-001	0
1.214556359906870E+004	-3.2675627E-001	-9.7992253E-001	0
1.214556439906869E+004	-3.2780609E-001	-9.7996706E-001	0
1.214556519906867E+004	-3.2910401E-001	-9.7992891E-001	0
1.214556599906867E+004	-3.3019197E-001	-9.7990972E-001	0
1.214556679906865E+004	-3.3124179E-001	-9.7996074E-001	0
1.214556759906864E+004	-3.3229157E-001	-9.7997338E-001	0
1.214556859906863E+004	-3.3347496E-001	-9.7990972E-001	0
1.214556939906863E+004	-3.3458203E-001	-9.7994798E-001	0
1.214557039906862E+004	-3.3574635E-001	-9.7995430E-001	0
1.214557119906861E+004	-3.3679616E-001	-9.7998613E-001	0
1.214557219906860E+004	-3.3790320E-001	-9.7998613E-001	0
1.214557299906858E+004	-3.3893391E-001	-9.7990972E-001	0
1.214557419906856E+004	-3.4009826E-001	-9.8001802E-001	0
1.214557519906855E+004	-3.4124348E-001	-9.7997338E-001	0
1.214557619906854E+004	-3.4236962E-001	-9.7988433E-001	0
1.214557739906854E+004	-3.4343851E-001	-9.7997338E-001	0
1.214557839906853E+004	-3.4458375E-001	-9.7993523E-001	0
1.214557959906850E+004	-3.4561446E-001	-9.7987789E-001	0
1.214558079906850E+004	-3.4664518E-001	-9.7990972E-001	0
1.214558199906847E+004	-3.4767589E-001	-9.7996706E-001	0
1.214558339906845E+004	-3.4880203E-001	-9.7992891E-001	0
1.214558479906844E+004	-3.4990910E-001	-9.7994167E-001	0
1.214558619906844E+004	-3.5092071E-001	-9.7997981E-001	0
1.214558779906841E+004	-3.5193235E-001	-9.7995430E-001	0
1.214558939906838E+004	-3.5298213E-001	-9.7994798E-001	0
1.214559119906835E+004	-3.5416552E-001	-9.7992891E-001	0
1.214559359906834E+004	-3.5536805E-001	-9.7998613E-001	0
1.214559619906830E+004	-3.5657054E-001	-9.7996074E-001	0
1.214559939906826E+004	-3.5762033E-001	-9.7991616E-001	0
1.214560279906823E+004	-3.5868922E-001	-9.7994798E-001	0
1.214560979906813E+004	-3.5971993E-001	-9.7995430E-001	0
1.214562199906800E+004	-3.5870829E-001	-9.7994798E-001	0
1.214562679906793E+004	-3.5767758E-001	-9.8003709E-001	0
1.214563099906789E+004	-3.5651326E-001	-9.7993523E-001	0
1.214563419906783E+004	-3.5544437E-001	-9.7996074E-001	0
1.214563719906783E+004	-3.5441366E-001	-9.7995430E-001	0
1.214563999906779E+004	-3.5330662E-001	-9.7996074E-001	0
1.214564259906774E+004	-3.5229498E-001	-9.7997981E-001	0
1.214564499906774E+004	-3.5126427E-001	-9.7997981E-001	0
1.214564719906769E+004	-3.5017630E-001	-9.8000526E-001	0
1.214564999906765E+004	-3.4905016E-001	-9.7997338E-001	0
1.214565239906762E+004	-3.4784767E-001	-9.8000526E-001	0
1.214565499906760E+004	-3.4675971E-001	-9.7994798E-001	0
1.214565739906755E+004	-3.4572899E-001	-9.7994167E-001	0
1.214565959906753E+004	-3.4471735E-001	-9.7996706E-001	0
1.214566179906752E+004	-3.4355304E-001	-9.7992253E-001	0
1.214566439906749E+004	-3.4242690E-001	-9.7994798E-001	0
1.214566639906744E+004	-3.4133893E-001	-9.8005617E-001	0
1.214566899906742E+004	-3.4019369E-001	-9.7989696E-001	0
1.214567119906741E+004	-3.3914387E-001	-9.7994167E-001	0
1.214567339906737E+004	-3.3813226E-001	-9.7991616E-001	0
