time/s	Ewe/V	I/mA	error	
1.326695498549180E+004	-3.4591125E-003	-1.9438638E-001	0
1.326695518549180E+004	-1.3000981E-002	-1.9587593E-001	0
1.326695538549180E+004	-1.7265091E-002	-1.9583775E-001	0
1.326695558549179E+004	-1.9307539E-002	-1.9588865E-001	0
1.326695578549179E+004	-2.0452838E-002	-1.9593322E-001	0
1.326695618549178E+004	-2.1979902E-002	-1.9595869E-001	0
1.326695658549177E+004	-2.3087025E-002	-1.9595233E-001	0
1.326695698549178E+004	-2.4117794E-002	-1.9595233E-001	0
1.326695758549176E+004	-2.5339445E-002	-1.9592048E-001	0
1.326695818549175E+004	-2.6675627E-002	-1.9589503E-001	0
1.326695878549175E+004	-2.7744573E-002	-1.9586955E-001	0
1.326695938549173E+004	-2.8794428E-002	-1.9590139E-001	0
1.326695998549173E+004	-2.9901551E-002	-1.9587593E-001	0
1.326696058549173E+004	-3.1199556E-002	-1.9590776E-001	0
1.326696138549174E+004	-3.2478470E-002	-1.9590139E-001	0
1.326696218549172E+004	-3.3833742E-002	-1.9589503E-001	0
1.326696298549170E+004	-3.5169922E-002	-1.9592048E-001	0
1.326696378549169E+004	-3.6563370E-002	-1.9593322E-001	0
1.326696458549169E+004	-3.7956815E-002	-1.9593960E-001	0
1.326696538549167E+004	-3.9083026E-002	-1.9588231E-001	0
1.326696618549165E+004	-4.0304679E-002	-1.9593960E-001	0
1.326696698549164E+004	-4.1602682E-002	-1.9597778E-001	0
1.326696778549164E+004	-4.2747982E-002	-1.9589503E-001	0
1.326696858549163E+004	-4.3950547E-002	-1.9588865E-001	0
1.326696938549163E+004	-4.5229461E-002	-1.9586320E-001	0
1.326697018549163E+004	-4.6336584E-002	-1.9589503E-001	0
1.326697098549161E+004	-4.7443707E-002	-1.9587593E-001	0
1.326697178549159E+004	-4.8837151E-002	-1.9590776E-001	0
1.326697258549159E+004	-4.9848832E-002	-1.9590139E-001	0
1.326697338549158E+004	-5.0955955E-002	-1.9592685E-001	0
1.326697418549156E+004	-5.2005813E-002	-1.9582501E-001	0
1.326697478549155E+004	-5.3055670E-002	-1.9587593E-001	0
1.326697558549154E+004	-5.4124616E-002	-1.9597778E-001	0
1.326697658549153E+004	-5.5460796E-002	-1.9595869E-001	0
1.326697738549153E+004	-5.6625184E-002	-1.9590776E-001	0
1.326697838549151E+004	-5.8075894E-002	-1.9592685E-001	0
1.326697938549150E+004	-5.9240282E-002	-1.9587593E-001	0
1.326698018549150E+004	-6.0366493E-002	-1.9591413E-001	0
1.326698118549149E+004	-6.1569054E-002	-1.9586955E-001	0
1.326698218549146E+004	-6.2886149E-002	-1.9594595E-001	0
1.326698318549145E+004	-6.4145975E-002	-1.9590776E-001	0
1.326698418549144E+004	-6.5329447E-002	-1.9590139E-001	0
1.326698498549144E+004	-6.6436574E-002	-1.9595869E-001	0
1.326698598549142E+004	-6.7658223E-002	-1.9592685E-001	0
1.326698678549143E+004	-6.8708085E-002	-1.9587593E-001	0
1.326698778549142E+004	-6.9948822E-002	-1.9585684E-001	0
1.326698878549138E+004	-7.1151383E-002	-1.9588231E-001	0
1.326698978549137E+004	-7.2277598E-002	-1.9592685E-001	0
1.326699078549136E+004	-7.3422894E-002	-1.9589503E-001	0
1.326699158549134E+004	-7.4453659E-002	-1.9585684E-001	0
1.326699258549133E+004	-7.5789846E-002	-1.9587593E-001	0
1.326699358549132E+004	-7.6916054E-002	-1.9592685E-001	0
1.326699458549134E+004	-7.8042261E-002	-1.9589503E-001	0
1.326699558549133E+004	-7.9092123E-002	-1.9595869E-001	0
1.326699658549129E+004	-8.0180153E-002	-1.9588231E-001	0
1.326699758549128E+004	-8.1478156E-002	-1.9595869E-001	0
1.326699858549127E+004	-8.2489841E-002	-1.9588865E-001	0
1.326699958549126E+004	-8.3577871E-002	-1.9586955E-001	0
1.326700058549125E+004	-8.4780440E-002	-1.9587593E-001	0
1.326700158549123E+004	-8.5906647E-002	-1.9595233E-001	0
1.326700278549122E+004	-8.7147385E-002	-1.9592685E-001	0
1.326700398549120E+004	-8.8407218E-002	-1.9591413E-001	0
1.326700518549120E+004	-8.9762487E-002	-1.9595869E-001	0
1.326700638549117E+004	-9.0984136E-002	-1.9586955E-001	0
1.326700758549116E+004	-9.2186704E-002	-1.9590139E-001	0
1.326700858549114E+004	-9.3255647E-002	-1.9586320E-001	0
1.326700978549113E+004	-9.4458207E-002	-1.9592048E-001	0
1.326701078549112E+004	-9.5546246E-002	-1.9591413E-001	0
1.326701198549112E+004	-9.6557923E-002	-1.9585684E-001	0
1.326701298549111E+004	-9.7760491E-002	-1.9593960E-001	0
1.326701418549108E+004	-9.8886698E-002	-1.9599688E-001	0
1.326701538549106E+004	-1.0008926E-001	-1.9587593E-001	0
1.326701658549104E+004	-1.0123456E-001	-1.9588231E-001	0
1.326701778549103E+004	-1.0226533E-001	-1.9592048E-001	0
1.326701898549101E+004	-1.0352515E-001	-1.9586955E-001	0
1.326701998549103E+004	-1.0455593E-001	-1.9591413E-001	0
1.326702118549100E+004	-1.0560578E-001	-1.9594595E-001	0
1.326702238549099E+004	-1.0669382E-001	-1.9589503E-001	0
1.326702338549097E+004	-1.0772458E-001	-1.9593322E-001	0
1.326702478549094E+004	-1.0892715E-001	-1.9592048E-001	0
1.326702598549094E+004	-1.0993883E-001	-1.9586955E-001	0
1.326702718549092E+004	-1.1112230E-001	-1.9585684E-001	0
1.326702858549092E+004	-1.1240122E-001	-1.9594595E-001	0
1.326702998549090E+004	-1.1348926E-001	-1.9591413E-001	0
1.326703118549088E+004	-1.1457729E-001	-1.9592685E-001	0
1.326703238549085E+004	-1.1558897E-001	-1.9589503E-001	0
1.326703358549083E+004	-1.1665791E-001	-1.9590776E-001	0
1.326703478549083E+004	-1.1776504E-001	-1.9595233E-001	0
1.326703638549082E+004	-1.1891034E-001	-1.9592685E-001	0
1.326703758549082E+004	-1.2007472E-001	-1.9588231E-001	0
1.326703898549078E+004	-1.2116276E-001	-1.9599052E-001	0
1.326704038549078E+004	-1.2228896E-001	-1.9590776E-001	0
1.326704178549074E+004	-1.2341517E-001	-1.9597778E-001	0
1.326704318549072E+004	-1.2456048E-001	-1.9593322E-001	0
1.326704458549072E+004	-1.2574394E-001	-1.9599052E-001	0
1.326704598549069E+004	-1.2679380E-001	-1.9592685E-001	0
1.326704758549068E+004	-1.2792002E-001	-1.9593960E-001	0
1.326704878549065E+004	-1.2893169E-001	-1.9591413E-001	0
1.326705038549064E+004	-1.3007699E-001	-1.9592048E-001	0
1.326705178549062E+004	-1.3116503E-001	-1.9592685E-001	0
1.326705338549061E+004	-1.3223398E-001	-1.9596504E-001	0
1.326705478549059E+004	-1.3339835E-001	-1.9592685E-001	0
1.326705638549058E+004	-1.3456275E-001	-1.9592685E-001	0
1.326705818549055E+004	-1.3584167E-001	-1.9586955E-001	0
1.326705978549052E+004	-1.3685334E-001	-1.9590776E-001	0
