time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.7071595E+000	-2.5031064E-002	0
6.017319847989711E+001	9.3131429E-003	-1.7452591E+001	0
6.017359847988700E+001	9.4276723E-003	-1.7374317E+001	0
6.017399847987690E+001	9.3704080E-003	-1.7290314E+001	0
6.017439847986680E+001	9.3322312E-003	-1.7209494E+001	0
6.017479847985669E+001	9.4849374E-003	-1.7136948E+001	0
6.017519847984659E+001	9.3513196E-003	-1.7054216E+001	0
6.017559847983648E+001	9.3894964E-003	-1.6979124E+001	0
6.017599847982638E+001	9.3131429E-003	-1.6896395E+001	0
6.017639847981627E+001	9.3704080E-003	-1.6823212E+001	0
6.017679847980617E+001	9.3322312E-003	-1.6753845E+001	0
6.017719847979606E+001	9.2940545E-003	-1.6671114E+001	0
6.017759847978596E+001	9.3131429E-003	-1.6603022E+001	0
6.017799847977585E+001	9.2367893E-003	-1.6529839E+001	0
6.017839847976575E+001	9.4467606E-003	-1.6464291E+001	0
6.017879847975564E+001	9.3894964E-003	-1.6383471E+001	0
6.017919847974554E+001	9.4276723E-003	-1.6310923E+001	0
6.017959847973543E+001	9.3131429E-003	-1.6239012E+001	0
6.017999847972533E+001	9.3513196E-003	-1.6170919E+001	0
6.018039847971522E+001	9.4085848E-003	-1.6102190E+001	0
6.018079847970512E+001	9.2177009E-003	-1.6029007E+001	0
6.018119847969501E+001	9.3322312E-003	-1.5958368E+001	0
6.018159847968491E+001	9.3704080E-003	-1.5884547E+001	0
6.018199847967480E+001	9.4085848E-003	-1.5816454E+001	0
6.018239847966470E+001	9.3513196E-003	-1.5753452E+001	0
6.018279847965459E+001	9.3131429E-003	-1.5675815E+001	0
6.018319847964449E+001	9.3704080E-003	-1.5622359E+001	0
6.018359847963438E+001	9.4276723E-003	-1.5545993E+001	0
6.018399847962428E+001	9.2940545E-003	-1.5479810E+001	0
6.018439847961417E+001	9.3894964E-003	-1.5418079E+001	0
6.018479847960407E+001	9.4276723E-003	-1.5346805E+001	0
6.018519847959396E+001	9.3894964E-003	-1.5285712E+001	0
6.018559847958386E+001	9.2940545E-003	-1.5215710E+001	0
6.018599847957375E+001	9.4085848E-003	-1.5159073E+001	0
6.018639847956365E+001	9.2749661E-003	-1.5093526E+001	0
6.018679847955354E+001	9.3513196E-003	-1.5026069E+001	0
6.018719847954344E+001	9.3513196E-003	-1.4966249E+001	0
6.018759847953334E+001	9.3704080E-003	-1.4908975E+001	0
6.018799847952323E+001	9.2940545E-003	-1.4841518E+001	0
6.018839847951313E+001	9.3894964E-003	-1.4777244E+001	0
6.018879847950302E+001	9.4467606E-003	-1.4725697E+001	0
6.018919847949292E+001	9.3894964E-003	-1.4657603E+001	0
6.018959847948281E+001	9.3131429E-003	-1.4592693E+001	0
6.018999847947271E+001	9.2749661E-003	-1.4535418E+001	0
6.019039847946260E+001	9.3131429E-003	-1.4473690E+001	0
6.019099847944744E+001	9.4085848E-003	-1.4385232E+001	0
6.019139847943734E+001	9.4085848E-003	-1.4330503E+001	0
6.019179847942723E+001	9.3131429E-003	-1.4280230E+001	0
6.019219847941713E+001	9.4276723E-003	-1.4216591E+001	0
6.019259847940702E+001	9.3704080E-003	-1.4154863E+001	0
6.019299847939692E+001	9.3894964E-003	-1.4095043E+001	0
6.019339847938681E+001	9.3322312E-003	-1.4042223E+001	0
6.019379847937671E+001	9.3322312E-003	-1.3988131E+001	0
6.019419847936661E+001	9.3322312E-003	-1.3924493E+001	0
6.019459847935650E+001	9.2940545E-003	-1.3870400E+001	0
6.019499847934640E+001	9.3322312E-003	-1.3816307E+001	0
6.019539847933629E+001	9.4276723E-003	-1.3763488E+001	0
6.019579847932619E+001	9.2749661E-003	-1.3701758E+001	0
6.019639847931103E+001	9.3513196E-003	-1.3627303E+001	0
6.019679847930092E+001	9.3894964E-003	-1.3571937E+001	0
6.019719847929082E+001	9.3894964E-003	-1.3515299E+001	0
6.019759847928071E+001	9.5231142E-003	-1.3463115E+001	0
6.019799847927061E+001	9.2940545E-003	-1.3408388E+001	0
6.019859847925545E+001	9.3131429E-003	-1.3336475E+001	0
6.019899847924535E+001	9.4085848E-003	-1.3276019E+001	0
6.019959847923019E+001	9.4467606E-003	-1.3201563E+001	0
6.019999847922008E+001	9.3894964E-003	-1.3150016E+001	0
6.020039847920998E+001	9.3322312E-003	-1.3096560E+001	0
6.020099847919482E+001	9.3322312E-003	-1.3029740E+001	0
6.020139847918472E+001	9.3322312E-003	-1.2978829E+001	0
6.020179847917461E+001	9.3894964E-003	-1.2925373E+001	0
6.020239847915946E+001	9.3894964E-003	-1.2850917E+001	0
6.020299847914430E+001	9.4467606E-003	-1.2786005E+001	0
6.020339847913419E+001	9.3322312E-003	-1.2730640E+001	0
6.020399847911904E+001	9.4085848E-003	-1.2666365E+001	0
6.020439847910893E+001	9.3704080E-003	-1.2613546E+001	0
6.020479847909883E+001	9.3704080E-003	-1.2560726E+001	0
6.020539847908367E+001	9.2749661E-003	-1.2497725E+001	0
6.020599847906851E+001	9.3704080E-003	-1.2428360E+001	0
6.020639847905841E+001	9.3322312E-003	-1.2377449E+001	0
6.020699847904325E+001	9.3894964E-003	-1.2314447E+001	0
6.020739847903315E+001	9.3322312E-003	-1.2264173E+001	0
6.020799847901799E+001	9.3322312E-003	-1.2197990E+001	0
6.020859847900283E+001	9.2558777E-003	-1.2133079E+001	0
6.020919847898767E+001	9.3131429E-003	-1.2069440E+001	0
6.020979847897252E+001	9.4467606E-003	-1.2005801E+001	0
6.021039847895736E+001	9.4276723E-003	-1.1933254E+001	0
6.021099847894220E+001	9.2367893E-003	-1.1870253E+001	0
6.021159847892704E+001	9.4276723E-003	-1.1805341E+001	0
6.021219847891189E+001	9.3513196E-003	-1.1739795E+001	0
6.021279847889673E+001	9.3513196E-003	-1.1677428E+001	0
6.021339847888157E+001	9.3704080E-003	-1.1613154E+001	0
6.021399847886642E+001	9.3894964E-003	-1.1558426E+001	0
6.021459847885126E+001	9.2558777E-003	-1.1485242E+001	0
6.021519847883610E+001	9.4276723E-003	-1.1429240E+001	0
6.021579847882094E+001	9.4085848E-003	-1.1365602E+001	0
6.021639847880579E+001	9.3131429E-003	-1.1312781E+001	0
6.021699847879063E+001	9.4276723E-003	-1.1258054E+001	0
6.021759847877547E+001	9.2940545E-003	-1.1186779E+001	0
6.021819847876031E+001	9.3322312E-003	-1.1127595E+001	0
