time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.9881747E+000	-2.4960415E-002	0
6.017319847989711E+001	9.4917472E-003	-1.7016550E+001	0
6.017359847988700E+001	9.4726542E-003	-1.6943508E+001	0
6.017399847987690E+001	9.4153732E-003	-1.6866659E+001	0
6.017439847986680E+001	9.3771862E-003	-1.6796158E+001	0
6.017479847985669E+001	9.3962792E-003	-1.6723120E+001	0
6.017519847984659E+001	9.4535602E-003	-1.6646267E+001	0
6.017559847983648E+001	9.2817172E-003	-1.6573860E+001	0
6.017599847982638E+001	9.4153732E-003	-1.6512888E+001	0
6.017639847981627E+001	9.5108412E-003	-1.6437944E+001	0
6.017679847980617E+001	9.4535602E-003	-1.6367445E+001	0
6.017719847979606E+001	9.3580922E-003	-1.6299484E+001	0
6.017759847978596E+001	9.4535602E-003	-1.6237244E+001	0
6.017799847977585E+001	9.4535602E-003	-1.6164202E+001	0
6.017839847976575E+001	9.3962792E-003	-1.6096878E+001	0
6.017879847975564E+001	9.4344663E-003	-1.6028919E+001	0
6.017919847974554E+001	9.4153732E-003	-1.5965405E+001	0
6.017959847973543E+001	9.5299352E-003	-1.5900623E+001	0
6.017999847972533E+001	9.3962792E-003	-1.5844096E+001	0
6.018039847971522E+001	9.4344663E-003	-1.5767879E+001	0
6.018079847970512E+001	9.4153732E-003	-1.5705638E+001	0
6.018119847969501E+001	9.3962792E-003	-1.5644030E+001	0
6.018159847968491E+001	9.4726542E-003	-1.5577341E+001	0
6.018199847967480E+001	9.4153732E-003	-1.5519544E+001	0
6.018239847966470E+001	9.4535602E-003	-1.5462382E+001	0
6.018279847965459E+001	9.4344663E-003	-1.5394423E+001	0
6.018319847964449E+001	9.3580922E-003	-1.5341072E+001	0
6.018359847963438E+001	9.3580922E-003	-1.5265491E+001	0
6.018399847962428E+001	9.4535602E-003	-1.5212141E+001	0
6.018439847961417E+001	9.4344663E-003	-1.5156248E+001	0
6.018479847960407E+001	9.4153732E-003	-1.5094007E+001	0
6.018519847959396E+001	9.4344663E-003	-1.5034939E+001	0
6.018559847958386E+001	9.3771862E-003	-1.4973967E+001	0
6.018599847957375E+001	9.4535602E-003	-1.4918075E+001	0
6.018639847956365E+001	9.3771862E-003	-1.4864724E+001	0
6.018679847955354E+001	9.5108412E-003	-1.4802480E+001	0
6.018719847954344E+001	9.5108412E-003	-1.4746590E+001	0
6.018759847953334E+001	9.3771862E-003	-1.4690698E+001	0
6.018799847952323E+001	9.4535602E-003	-1.4635442E+001	0
6.018839847951313E+001	9.4344663E-003	-1.4577009E+001	0
6.018879847950302E+001	9.3389982E-003	-1.4524294E+001	0
6.018919847949292E+001	9.4726542E-003	-1.4465226E+001	0
6.018979847947776E+001	9.3580922E-003	-1.4391551E+001	0
6.019019847946765E+001	9.4153732E-003	-1.4335024E+001	0
6.019059847945755E+001	9.4153732E-003	-1.4276591E+001	0
6.019119847944239E+001	9.3580922E-003	-1.4202916E+001	0
6.019159847943229E+001	9.3580922E-003	-1.4145119E+001	0
6.019199847942218E+001	9.3962792E-003	-1.4091768E+001	0
6.019259847940702E+001	9.4535602E-003	-1.4019363E+001	0
6.019299847939692E+001	9.4535602E-003	-1.3967917E+001	0
6.019359847938176E+001	9.4344663E-003	-1.3890432E+001	0
6.019419847936661E+001	9.3580922E-003	-1.3807865E+001	0
6.019479847935145E+001	9.4535602E-003	-1.3731013E+001	0
6.019539847933629E+001	9.3580922E-003	-1.3659245E+001	0
6.019599847932113E+001	9.4535602E-003	-1.3586203E+001	0
6.019659847930598E+001	9.4726542E-003	-1.3519514E+001	0
6.019699847929587E+001	9.5681222E-003	-1.3466800E+001	0
6.019759847928071E+001	9.4535602E-003	-1.3394395E+001	0
6.019819847926556E+001	9.4344663E-003	-1.3323259E+001	0
6.019879847925040E+001	9.3962792E-003	-1.3251489E+001	0
6.019939847923524E+001	9.4344663E-003	-1.3186070E+001	0
6.019999847922008E+001	9.4535602E-003	-1.3118748E+001	0
6.020059847920493E+001	9.3199052E-003	-1.3047613E+001	0
6.020119847918977E+001	9.4153732E-003	-1.2982194E+001	0
6.020179847917461E+001	9.4917472E-003	-1.2916776E+001	0
6.020239847915946E+001	9.4726542E-003	-1.2850086E+001	0
6.020299847914430E+001	9.4535602E-003	-1.2778316E+001	0
6.020359847912914E+001	9.4344663E-003	-1.2716074E+001	0
6.020419847911398E+001	9.4153732E-003	-1.2657007E+001	0
6.020479847909883E+001	9.3580922E-003	-1.2589683E+001	0
6.020539847908367E+001	9.4535602E-003	-1.2524264E+001	0
6.020599847906851E+001	9.3962792E-003	-1.2457576E+001	0
6.020659847905335E+001	9.4153732E-003	-1.2394698E+001	0
6.020719847903820E+001	9.4726542E-003	-1.2342617E+001	0
6.020779847902304E+001	9.4344663E-003	-1.2274022E+001	0
6.020839847900788E+001	9.4726542E-003	-1.2213685E+001	0
6.020899847899273E+001	9.5108412E-003	-1.2142550E+001	0
6.020959847897757E+001	9.4726542E-003	-1.2090469E+001	0
6.021019847896241E+001	9.3771862E-003	-1.2026321E+001	0
6.021079847894725E+001	9.4726542E-003	-1.1976146E+001	0
6.021139847893210E+001	9.3771862E-003	-1.1914538E+001	0
6.021199847891694E+001	9.4535602E-003	-1.1863728E+001	0
6.021259847890178E+001	9.4917472E-003	-1.1795133E+001	0
6.021319847888662E+001	9.3962792E-003	-1.1741147E+001	0
6.021379847887147E+001	9.5108412E-003	-1.1689067E+001	0
6.021439847885631E+001	9.4344663E-003	-1.1635715E+001	0
6.021499847884115E+001	9.3771862E-003	-1.1570932E+001	0
6.021559847882600E+001	9.4726542E-003	-1.1517581E+001	0
6.021619847881084E+001	9.4917472E-003	-1.1465500E+001	0
