time/s	Ewe/V	I/mA	error	
4.073205897102016E+002	-7.2065629E-003	-9.7337747E-001	0
4.073207897101966E+002	-1.9717252E-002	-9.7994524E-001	0
4.073209897101915E+002	-2.2468507E-002	-9.7997063E-001	0
4.073211897101864E+002	-2.4206027E-002	-9.7990084E-001	0
4.073213897101814E+002	-2.5485301E-002	-9.7987533E-001	0
4.073215897101763E+002	-2.6783668E-002	-9.7995800E-001	0
4.073217897101713E+002	-2.7852912E-002	-9.7995162E-001	0
4.073219897101662E+002	-2.9074904E-002	-9.7993255E-001	0
4.073221897101612E+002	-3.0105960E-002	-9.7995162E-001	0
4.073225897101511E+002	-3.2168072E-002	-9.7993255E-001	0
4.073227897101460E+002	-3.3180036E-002	-9.7995800E-001	0
4.073231897101359E+002	-3.4936648E-002	-9.7990716E-001	0
4.073233897101309E+002	-3.5967704E-002	-9.7994524E-001	0
4.073235897101258E+002	-3.6998760E-002	-9.7996432E-001	0
4.073239897101157E+002	-3.8698092E-002	-9.7990084E-001	0
4.073243897101056E+002	-4.0511988E-002	-9.7995800E-001	0
4.073247897100955E+002	-4.2173136E-002	-9.7993892E-001	0
4.073251897100854E+002	-4.3948844E-002	-9.7996432E-001	0
4.073255897100753E+002	-4.5590896E-002	-9.7995800E-001	0
4.073259897100652E+002	-4.7271132E-002	-9.7991991E-001	0
4.073263897100551E+002	-4.9008656E-002	-9.7997063E-001	0
4.073267897100450E+002	-5.0478864E-002	-9.8001516E-001	0
4.073271897100349E+002	-5.2025449E-002	-9.7987533E-001	0
4.073275897100248E+002	-5.3648409E-002	-9.7990716E-001	0
4.073279897100147E+002	-5.5194993E-002	-9.7995800E-001	0
4.073283897100046E+002	-5.6722481E-002	-9.7993892E-001	0
4.073287897099945E+002	-5.8383629E-002	-9.7997063E-001	0
4.073291897099843E+002	-5.9815649E-002	-9.7994524E-001	0
4.073295897099742E+002	-6.1324049E-002	-9.7997063E-001	0
4.073299897099641E+002	-6.2832445E-002	-9.7997701E-001	0
4.073303897099540E+002	-6.4245373E-002	-9.7995162E-001	0
4.073307897099439E+002	-6.5639205E-002	-9.7994524E-001	0
4.073311897099338E+002	-6.7166694E-002	-9.7997063E-001	0
4.073315897099237E+002	-6.8407781E-002	-9.8000872E-001	0
4.073319897099136E+002	-6.9916181E-002	-9.7998339E-001	0
4.073323897099035E+002	-7.1405485E-002	-9.7991991E-001	0
4.073327897098934E+002	-7.2742037E-002	-9.7999609E-001	0
4.073331897098833E+002	-7.4116781E-002	-9.7991991E-001	0
4.073335897098732E+002	-7.5453334E-002	-9.7999609E-001	0
4.073339897098631E+002	-7.6808982E-002	-9.7997063E-001	0
4.073343897098530E+002	-7.8069158E-002	-9.7997063E-001	0
4.073347897098429E+002	-7.9348430E-002	-9.7995800E-001	0
4.073351897098328E+002	-8.0761366E-002	-9.7993255E-001	0
4.073355897098227E+002	-8.2078822E-002	-9.7995800E-001	0
4.073359897098126E+002	-8.3396286E-002	-9.7997063E-001	0
4.073363897098025E+002	-8.4580086E-002	-9.7997063E-001	0
4.073367897097924E+002	-8.6031206E-002	-9.7995800E-001	0
4.073371897097823E+002	-8.7176822E-002	-9.7998339E-001	0
4.073375897097721E+002	-8.8436998E-002	-9.7995162E-001	0
4.073379897097620E+002	-8.9658998E-002	-9.7996432E-001	0
4.073383897097519E+002	-9.0976454E-002	-9.8000240E-001	0
4.073387897097418E+002	-9.2389382E-002	-9.7995800E-001	0
4.073391897097317E+002	-9.3420438E-002	-9.7994524E-001	0
4.073395897097216E+002	-9.4680622E-002	-9.7997063E-001	0
4.073399897097115E+002	-9.5788047E-002	-9.7993255E-001	0
4.073403897097014E+002	-9.7086415E-002	-9.7997701E-001	0
4.073407897096913E+002	-9.8232038E-002	-9.7993892E-001	0
4.073411897096812E+002	-9.9530399E-002	-9.7991991E-001	0
