time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.9449997E+000	-2.5031064E-002	0
6.017319847989711E+001	9.2940545E-003	-1.7140129E+001	0
6.017359847988700E+001	9.3704080E-003	-1.7052944E+001	0
6.017399847987690E+001	9.3322312E-003	-1.6991215E+001	0
6.017439847986680E+001	9.3894964E-003	-1.6910395E+001	0
6.017479847985669E+001	9.4276723E-003	-1.6837847E+001	0
6.017519847984659E+001	9.2558777E-003	-1.6755117E+001	0
6.017559847983648E+001	9.2558777E-003	-1.6675570E+001	0
6.017599847982638E+001	9.2940545E-003	-1.6605568E+001	0
6.017639847981627E+001	9.3704080E-003	-1.6540020E+001	0
6.017679847980617E+001	9.3704080E-003	-1.6457928E+001	0
6.017719847979606E+001	9.3704080E-003	-1.6382833E+001	0
6.017759847978596E+001	9.4276723E-003	-1.6317923E+001	0
6.017799847977585E+001	9.3322312E-003	-1.6250467E+001	0
6.017839847976575E+001	9.3131429E-003	-1.6176647E+001	0
6.017879847975564E+001	9.3322312E-003	-1.6104734E+001	0
6.017919847974554E+001	9.3322312E-003	-1.6036005E+001	0
6.017959847973543E+001	9.3894964E-003	-1.5967276E+001	0
6.017999847972533E+001	9.2940545E-003	-1.5899184E+001	0
6.018039847971522E+001	9.3704080E-003	-1.5834273E+001	0
6.018079847970512E+001	9.3513196E-003	-1.5754090E+001	0
6.018119847969501E+001	9.3513196E-003	-1.5691089E+001	0
6.018159847968491E+001	9.3704080E-003	-1.5623630E+001	0
6.018199847967480E+001	9.3894964E-003	-1.5566994E+001	0
6.018239847966470E+001	9.2940545E-003	-1.5489355E+001	0
6.018279847965459E+001	9.3894964E-003	-1.5428263E+001	0
6.018319847964449E+001	9.4085848E-003	-1.5369715E+001	0
6.018359847963438E+001	9.3704080E-003	-1.5299076E+001	0
6.018399847962428E+001	9.2749661E-003	-1.5226528E+001	0
6.018439847961417E+001	9.3131429E-003	-1.5174982E+001	0
6.018479847960407E+001	9.2367893E-003	-1.5104980E+001	0
6.018519847959396E+001	9.3704080E-003	-1.5050888E+001	0
6.018559847958386E+001	9.3513196E-003	-1.4985341E+001	0
6.018599847957375E+001	9.2940545E-003	-1.4920429E+001	0
6.018639847956365E+001	9.3131429E-003	-1.4863791E+001	0
6.018679847955354E+001	9.2749661E-003	-1.4803971E+001	0
6.018719847954344E+001	9.3322312E-003	-1.4739697E+001	0
6.018759847953334E+001	9.3513196E-003	-1.4676696E+001	0
6.018799847952323E+001	9.2177009E-003	-1.4620058E+001	0
6.018839847951313E+001	9.2940545E-003	-1.4557693E+001	0
6.018879847950302E+001	9.2940545E-003	-1.4505509E+001	0
6.018919847949292E+001	9.2749661E-003	-1.4445689E+001	0
6.018959847948281E+001	9.4276723E-003	-1.4380777E+001	0
6.018999847947271E+001	9.3513196E-003	-1.4326686E+001	0
6.019039847946260E+001	9.3131429E-003	-1.4270047E+001	0
6.019079847945250E+001	9.3513196E-003	-1.4212773E+001	0
