time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.9726775E+000	-2.5020160E-002	0
6.017319847989711E+001	9.4417064E-003	-1.3642487E+001	0
6.017359847988700E+001	9.3844449E-003	-1.3583274E+001	0
6.017399847987690E+001	9.2890086E-003	-1.3515149E+001	0
6.017439847986680E+001	9.5180552E-003	-1.3440018E+001	0
6.017479847985669E+001	9.2890086E-003	-1.3380805E+001	0
6.017519847984659E+001	9.4035324E-003	-1.3314590E+001	0
6.017559847983648E+001	9.3844449E-003	-1.3254105E+001	0
6.017599847982638E+001	9.3271835E-003	-1.3188525E+001	0
6.017639847981627E+001	9.4035324E-003	-1.3121037E+001	0
6.017679847980617E+001	9.4035324E-003	-1.3054184E+001	0
6.017719847979606E+001	9.3462700E-003	-1.2994971E+001	0
6.017759847978596E+001	9.3080960E-003	-1.2924298E+001	0
6.017799847977585E+001	9.2890086E-003	-1.2865723E+001	0
6.017839847976575E+001	9.3271835E-003	-1.2805236E+001	0
6.017879847975564E+001	9.4035324E-003	-1.2736473E+001	0
6.017919847974554E+001	9.3653575E-003	-1.2678535E+001	0
6.017959847973543E+001	9.3653575E-003	-1.2625053E+001	0
6.017999847972533E+001	9.4226198E-003	-1.2557563E+001	0
6.018039847971522E+001	9.3462700E-003	-1.2500261E+001	0
6.018079847970512E+001	9.3653575E-003	-1.2442959E+001	0
6.018119847969501E+001	9.4607938E-003	-1.2384383E+001	0
6.018159847968491E+001	9.3271835E-003	-1.2325171E+001	0
6.018199847967480E+001	9.4607938E-003	-1.2265959E+001	0
6.018239847966470E+001	9.2890086E-003	-1.2206746E+001	0
6.018279847965459E+001	9.3844449E-003	-1.2151991E+001	0
6.018319847964449E+001	9.3653575E-003	-1.2094051E+001	0
6.018359847963438E+001	9.3653575E-003	-1.2034203E+001	0
6.018399847962428E+001	9.4417064E-003	-1.1976900E+001	0
6.018439847961417E+001	9.4417064E-003	-1.1918324E+001	0
6.018479847960407E+001	9.3271835E-003	-1.1861659E+001	0
6.018519847959396E+001	9.3462700E-003	-1.1805631E+001	0
6.018559847958386E+001	9.3271835E-003	-1.1753421E+001	0
6.018599847957375E+001	9.4226198E-003	-1.1691663E+001	0
6.018659847955860E+001	9.3844449E-003	-1.1612075E+001	0
6.018699847954849E+001	9.3271835E-003	-1.1559230E+001	0
6.018739847953839E+001	9.4035324E-003	-1.1508295E+001	0
6.018779847952828E+001	9.3080960E-003	-1.1449718E+001	0
6.018819847951818E+001	9.3271835E-003	-1.1398147E+001	0
6.018859847950807E+001	9.2508346E-003	-1.1345939E+001	0
