time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.7108419E+000	-2.5031064E-002	0
6.017319847989711E+001	9.3513196E-003	-1.0600671E+001	0
6.017379847988195E+001	9.4276723E-003	-1.0532578E+001	0
6.017419847987185E+001	9.4467606E-003	-1.0476577E+001	0
6.017479847985669E+001	9.4085848E-003	-1.0411030E+001	0
6.017519847984659E+001	9.3704080E-003	-1.0356936E+001	0
6.017559847983648E+001	9.4467606E-003	-1.0304754E+001	0
6.017619847982132E+001	9.3131429E-003	-1.0232206E+001	0
6.017679847980617E+001	9.3894964E-003	-1.0155840E+001	0
6.017719847979606E+001	9.3894964E-003	-1.0104294E+001	0
6.017779847978090E+001	9.2749661E-003	-1.0040019E+001	0
6.017819847977080E+001	9.4085848E-003	-9.9852896E+000	0
6.017879847975564E+001	9.4658490E-003	-9.9241972E+000	0
6.017939847974048E+001	9.4467606E-003	-9.8541956E+000	0
6.017999847972533E+001	9.4085848E-003	-9.7822847E+000	0
6.018059847971017E+001	9.4658490E-003	-9.7110100E+000	0
6.018119847969501E+001	9.4276723E-003	-9.6365528E+000	0
6.018179847967986E+001	9.3322312E-003	-9.5722790E+000	0
6.018239847966470E+001	9.4276723E-003	-9.5137310E+000	0
6.018299847964954E+001	9.4276723E-003	-9.4513664E+000	0
6.018339847963944E+001	9.4276723E-003	-9.3985462E+000	0
6.018399847962428E+001	9.3704080E-003	-9.3419085E+000	0
6.018459847960912E+001	9.3894964E-003	-9.2776337E+000	0
6.018519847959396E+001	9.3513196E-003	-9.2114506E+000	0
6.018579847957881E+001	9.4276723E-003	-9.1471758E+000	0
6.018639847956365E+001	9.4085848E-003	-9.0867195E+000	0
6.018699847954849E+001	9.3513196E-003	-9.0224447E+000	0
6.018759847953334E+001	9.3894964E-003	-8.9594431E+000	0
6.018819847951818E+001	9.3894964E-003	-8.9034414E+000	0
6.018879847950302E+001	9.4085848E-003	-8.8455305E+000	0
6.018939847948786E+001	9.3322312E-003	-8.7818928E+000	0
6.018999847947271E+001	9.4849374E-003	-8.7188911E+000	0
6.019059847945755E+001	9.5040258E-003	-8.6654348E+000	0
6.019119847944239E+001	9.4276723E-003	-8.6075239E+000	0
6.019179847942723E+001	9.4467606E-003	-8.5477037E+000	0
6.019239847941208E+001	9.4658490E-003	-8.4923382E+000	0
6.019299847939692E+001	9.4085848E-003	-8.4299736E+000	0
6.019359847938176E+001	9.4849374E-003	-8.3790636E+000	0
6.019419847936661E+001	9.4849374E-003	-8.3192434E+000	0
6.019499847934640E+001	9.4085848E-003	-8.2517862E+000	0
6.019559847933124E+001	9.5231142E-003	-8.1926031E+000	0
6.019639847931103E+001	9.2558777E-003	-8.1289654E+000	0
6.019699847929587E+001	9.4849374E-003	-8.0716906E+000	0
6.019759847928071E+001	9.3513196E-003	-8.0207796E+000	0
6.019819847926556E+001	9.4085848E-003	-7.9641418E+000	0
6.019899847924535E+001	9.5422026E-003	-7.8985944E+000	0
6.019979847922514E+001	9.5422026E-003	-7.8311381E+000	0
6.020059847920493E+001	9.4467606E-003	-7.7617726E+000	0
6.020139847918472E+001	9.4658490E-003	-7.6981344E+000	0
6.020199847916956E+001	9.4276723E-003	-7.6427698E+000	0
6.020279847914935E+001	9.3894964E-003	-7.5874038E+000	0
6.020359847912914E+001	9.4085848E-003	-7.5314026E+000	0
6.020419847911398E+001	9.3894964E-003	-7.4722195E+000	0
6.020499847909377E+001	9.4276723E-003	-7.4143085E+000	0
6.020559847907862E+001	9.4276723E-003	-7.3621249E+000	0
6.020639847905841E+001	9.4467606E-003	-7.3023052E+000	0
6.020719847903820E+001	9.3704080E-003	-7.2412124E+000	0
6.020799847901799E+001	9.3131429E-003	-7.1883926E+000	0
6.020879847899778E+001	9.4467606E-003	-7.1304827E+000	0
6.020939847898262E+001	9.3513196E-003	-7.0802083E+000	0
6.021039847895736E+001	9.3322312E-003	-7.0159335E+000	0
6.021119847893715E+001	9.3322312E-003	-6.9599323E+000	0
6.021199847891694E+001	9.5422026E-003	-6.9001117E+000	0
6.021299847889168E+001	9.3704080E-003	-6.8282013E+000	0
6.021399847886642E+001	9.4085848E-003	-6.7709265E+000	0
6.021479847884621E+001	9.4276723E-003	-6.7136521E+000	0
6.021559847882600E+001	9.2940545E-003	-6.6633778E+000	0
6.021659847880073E+001	9.4085848E-003	-6.6035585E+000	0
6.021739847878052E+001	9.4467606E-003	-6.5469203E+000	0
6.021839847875526E+001	9.4085848E-003	-6.4877367E+000	0
6.021939847873000E+001	9.4276723E-003	-6.4247351E+000	0
6.022039847870474E+001	9.4467606E-003	-6.3693695E+000	0
6.022139847867948E+001	9.4467606E-003	-6.3025494E+000	0
6.022239847865421E+001	9.3513196E-003	-6.2446389E+000	0
6.022339847862895E+001	9.4849374E-003	-6.1873651E+000	0
6.022439847860369E+001	9.4276723E-003	-6.1300907E+000	0
6.022559847857337E+001	9.4276723E-003	-6.0651798E+000	0
6.022659847854811E+001	9.4467606E-003	-6.0047231E+000	0
6.022779847851780E+001	9.4085848E-003	-5.9468126E+000	0
6.022899847848748E+001	9.4085848E-003	-5.8850837E+000	0
6.022999847846222E+001	9.4276723E-003	-5.8348093E+000	0
6.023119847843191E+001	9.2940545E-003	-5.7679892E+000	0
6.023239847840159E+001	9.3894964E-003	-5.7177153E+000	0
6.023339847837633E+001	9.2940545E-003	-5.6623502E+000	0
6.023459847834602E+001	9.3894964E-003	-5.6025300E+000	0
6.023599847831065E+001	9.4467606E-003	-5.5401649E+000	0
6.023739847827528E+001	9.4658490E-003	-5.4784355E+000	0
6.023859847824497E+001	9.3513196E-003	-5.4268889E+000	0
6.023979847821465E+001	9.4085848E-003	-5.3715239E+000	0
6.024099847818434E+001	9.4276723E-003	-5.3174310E+000	0
6.024219847815402E+001	9.4849374E-003	-5.2614293E+000	0
6.024379847811360E+001	9.3513196E-003	-5.2022462E+000	0
6.024519847807824E+001	9.4276723E-003	-5.1417899E+000	0
6.024659847804287E+001	9.3322312E-003	-5.0870605E+000	0
6.024799847800750E+001	9.3131429E-003	-5.0348778E+000	0
6.024939847797214E+001	9.4849374E-003	-4.9801483E+000	0
6.025079847793677E+001	9.5040258E-003	-4.9279656E+000	0
