time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	3.0001321E+000	-2.5036445E-002	0
6.014319848065497E+001	8.3864368E-003	-7.1286440E+000	0
6.014419848062971E+001	8.4055420E-003	-7.0781951E+000	0
6.014519848060445E+001	8.4437523E-003	-7.0274901E+000	0
6.014639848057413E+001	8.5774884E-003	-6.9693975E+000	0
6.014759848054382E+001	8.4055420E-003	-6.9111776E+000	0
6.014879848051351E+001	8.3864368E-003	-6.8538494E+000	0
6.014999848048319E+001	8.5774884E-003	-6.7980494E+000	0
6.015119848045288E+001	8.4246472E-003	-6.7429500E+000	0
6.015239848042256E+001	8.2718059E-003	-6.6885519E+000	0
6.015359848039225E+001	8.3291214E-003	-6.6358728E+000	0
6.015479848036193E+001	8.4628575E-003	-6.5839586E+000	0
6.015599848033162E+001	8.3100162E-003	-6.5312805E+000	0
6.015739848029625E+001	8.4628575E-003	-6.4733143E+000	0
6.015879848026088E+001	8.4055420E-003	-6.4148393E+000	0
6.016019848022552E+001	8.3100162E-003	-6.3585935E+000	0
6.016159848019015E+001	8.4628575E-003	-6.3021574E+000	0
6.016299848015478E+001	8.4819626E-003	-6.2486506E+000	0
6.016439848011942E+001	8.3864368E-003	-6.1938062E+000	0
6.016579848008405E+001	8.3673317E-003	-6.1404266E+000	0
6.016719848004868E+001	8.5392781E-003	-6.0882578E+000	0
6.016859848001332E+001	8.4055420E-003	-6.0378728E+000	0
6.016999847997795E+001	8.4819626E-003	-5.9876785E+000	0
6.017159847993753E+001	8.5010678E-003	-5.9321332E+000	0
6.017319847989711E+001	8.4055420E-003	-5.8764606E+000	0
6.017479847985669E+001	8.4246472E-003	-5.8216796E+000	0
6.017639847981627E+001	8.4055420E-003	-5.7690654E+000	0
6.017799847977585E+001	8.4819626E-003	-5.7156858E+000	0
6.017979847973038E+001	8.4246472E-003	-5.6596313E+000	0
6.018139847968996E+001	8.4628575E-003	-5.6083541E+000	0
6.018319847964449E+001	8.4055420E-003	-5.5543380E+000	0
6.018499847959902E+001	8.3100162E-003	-5.4993663E+000	0
6.018679847955354E+001	8.3673317E-003	-5.4468789E+000	0
6.018859847950807E+001	8.4819626E-003	-5.3942637E+000	0
6.019039847946260E+001	8.4628575E-003	-5.3434963E+000	0
6.019219847941713E+001	8.3482265E-003	-5.2933655E+000	0
6.019419847936661E+001	8.4055420E-003	-5.2389035E+000	0
6.019619847931608E+001	8.4437523E-003	-5.1854606E+000	0
6.019819847926556E+001	8.4055420E-003	-5.1325269E+000	0
6.020019847921503E+001	8.3864368E-003	-5.0818229E+000	0
6.020219847916451E+001	8.3864368E-003	-5.0314379E+000	0
6.020439847910893E+001	8.4055420E-003	-4.9773579E+000	0
6.020659847905335E+001	8.5392781E-003	-4.9239149E+000	0
6.020879847899778E+001	8.5201729E-003	-4.8725739E+000	0
6.021119847893715E+001	8.4628575E-003	-4.8177295E+000	0
6.021359847887652E+001	8.4819626E-003	-4.7637134E+000	0
6.021599847881589E+001	8.4055420E-003	-4.7103977E+000	0
6.021839847875526E+001	8.3673317E-003	-4.6588659E+000	0
6.022079847869463E+001	8.4246472E-003	-4.6087351E+000	0
6.022339847862895E+001	8.4437523E-003	-4.5554833E+000	0
6.022599847856327E+001	8.5010678E-003	-4.5035052E+000	0
6.022859847849759E+001	8.4437523E-003	-4.4523554E+000	0
6.023139847842685E+001	8.3864368E-003	-4.3993583E+000	0
6.023419847835612E+001	8.4246472E-003	-4.3469982E+000	0
6.023699847828539E+001	8.4246472E-003	-4.2959123E+000	0
6.023999847820960E+001	8.4628575E-003	-4.2433610E+000	0
6.024299847813381E+001	8.4437523E-003	-4.1908731E+000	0
6.024599847805803E+001	8.3673317E-003	-4.1401057E+000	0
6.024919847797719E+001	8.4055420E-003	-4.0869813E+000	0
6.025239847789635E+001	8.4055420E-003	-4.0367870E+000	0
6.025559847781551E+001	8.3673317E-003	-3.9862740E+000	0
6.025899847772962E+001	8.4246472E-003	-3.9344871E+000	0
6.026239847764373E+001	8.4628575E-003	-3.8838472E+000	0
6.026599847755278E+001	8.4819626E-003	-3.8319964E+000	0
6.026959847746184E+001	8.4819626E-003	-3.7816112E+000	0
6.027339847736584E+001	8.4819626E-003	-3.7292511E+000	0
6.027719847726985E+001	8.4246472E-003	-3.6783559E+000	0
6.028119847716880E+001	8.4246472E-003	-3.6271424E+000	0
6.028519847706775E+001	8.4437523E-003	-3.5768843E+000	0
6.028939847696165E+001	8.4628575E-003	-3.5255435E+000	0
6.029379847685050E+001	8.4628575E-003	-3.4742024E+000	0
6.029819847673934E+001	8.4055420E-003	-3.4238172E+000	0
6.030279847662314E+001	8.4437523E-003	-3.3717752E+000	0
6.030759847650188E+001	8.3482265E-003	-3.3210080E+000	0
6.031239847638062E+001	8.5201729E-003	-3.2693484E+000	0
6.031759847624926E+001	8.4055420E-003	-3.2176254E+000	0
6.032279847611790E+001	8.3864368E-003	-3.1665392E+000	0
6.032819847598148E+001	8.3864368E-003	-3.1150074E+000	0
6.033379847584001E+001	8.3864368E-003	-3.0638573E+000	0
6.033959847569349E+001	8.5010678E-003	-3.0130897E+000	0
6.034559847554192E+001	8.5201729E-003	-2.9621313E+000	0
6.035179847538529E+001	8.5010678E-003	-2.9107902E+000	0
6.035819847522362E+001	8.4246472E-003	-2.8598950E+000	0
6.036499847505183E+001	8.4437523E-003	-2.8084905E+000	0
6.037199847487500E+001	8.3291214E-003	-2.7569587E+000	0
6.037919847469311E+001	8.3673317E-003	-2.7068279E+000	0
6.038679847450112E+001	8.5010678E-003	-2.6556778E+000	0
6.039459847430408E+001	8.4246472E-003	-2.6052289E+000	0
6.040279847409693E+001	8.4819626E-003	-2.5546525E+000	0
6.041119847388472E+001	8.4055420E-003	-2.5045855E+000	0
6.042019847365737E+001	8.4055420E-003	-2.4545825E+000	0
6.042959847341990E+001	8.5010678E-003	-2.4039421E+000	0
