time/s	Ewe/V	I/mA	error	
4.322230916886160E+004	-5.6976039E-004	-2.4037570E-002	1
4.322231056886166E+004	-1.7724943E-003	-2.4038015E-002	0
4.322231276886174E+004	-2.8034090E-003	-2.4037251E-002	0
4.322231496886164E+004	-3.8725056E-003	-2.4037061E-002	0
4.322231836886168E+004	-4.9225115E-003	-2.4036679E-002	0
4.322232196886174E+004	-6.0106991E-003	-2.4037505E-002	0
4.322232616886171E+004	-7.0416140E-003	-2.4037633E-002	0
4.322233036886167E+004	-8.0534378E-003	-2.4037443E-002	0
4.322233416886162E+004	-9.1798073E-003	-2.4038142E-002	0
4.322233996886175E+004	-1.0248904E-002	-2.4036869E-002	0
4.322234556886170E+004	-1.1260727E-002	-2.4037251E-002	0
4.322235096886172E+004	-1.2272552E-002	-2.4037886E-002	0
4.322235676886176E+004	-1.3284375E-002	-2.4037825E-002	0
4.322236276886181E+004	-1.4334382E-002	-2.4037251E-002	0
4.322236936886178E+004	-1.5403477E-002	-2.4037123E-002	0
4.322237676886178E+004	-1.6548939E-002	-2.4037886E-002	0
4.322238556886185E+004	-1.7770763E-002	-2.4037188E-002	0
4.322239376886177E+004	-1.8839860E-002	-2.4037633E-002	0
4.322240136886179E+004	-1.9851685E-002	-2.4037950E-002	0
4.322240976886183E+004	-2.0958962E-002	-2.4037315E-002	0
4.322241836886184E+004	-2.1970786E-002	-2.4037505E-002	0
4.322242696886184E+004	-2.3001701E-002	-2.4037696E-002	0
4.322243656886194E+004	-2.4128070E-002	-2.4037633E-002	0
4.322244636886194E+004	-2.5139894E-002	-2.4037378E-002	0
4.322245556886191E+004	-2.6189901E-002	-2.4037950E-002	0
4.322246556886198E+004	-2.7201723E-002	-2.4037378E-002	0
4.322247636886196E+004	-2.8213548E-002	-2.4037315E-002	0
4.322248596886196E+004	-2.9225372E-002	-2.4037378E-002	0
4.322249636886208E+004	-3.0256286E-002	-2.4037251E-002	0
4.322250796886203E+004	-3.1287201E-002	-2.4037570E-002	0
4.322251836886199E+004	-3.2299023E-002	-2.4037570E-002	0
4.322253136886211E+004	-3.3349030E-002	-2.4037825E-002	0
4.322254296886208E+004	-3.4360852E-002	-2.4037886E-002	0
4.322255596886214E+004	-3.5391767E-002	-2.4037505E-002	0
4.322256896886218E+004	-3.6518138E-002	-2.4037760E-002	0
4.322258296886220E+004	-3.7568145E-002	-2.4036741E-002	0
4.322259616886219E+004	-3.8579967E-002	-2.4037505E-002	0
4.322260936886221E+004	-3.9649066E-002	-2.4037505E-002	0
4.322262456886226E+004	-4.0699068E-002	-2.4037188E-002	0
4.322263896886224E+004	-4.1787259E-002	-2.4036933E-002	0
4.322265436886228E+004	-4.2818174E-002	-2.4037315E-002	0
4.322266956886230E+004	-4.3829996E-002	-2.4037886E-002	0
4.322268516886234E+004	-4.4956367E-002	-2.4037315E-002	0
4.322270236886234E+004	-4.5968190E-002	-2.4037378E-002	0
4.322271896886239E+004	-4.7113650E-002	-2.4037825E-002	0
