time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	3.0504332E+000	-2.5015498E-002	0
6.014319848065497E+001	8.6977836E-003	-1.0508521E+001	0
6.014419848062971E+001	8.6596012E-003	-1.0451550E+001	0
6.014519848060445E+001	8.6977836E-003	-1.0394071E+001	0
6.014619848057919E+001	8.6977836E-003	-1.0337611E+001	0
6.014719848055393E+001	8.6214188E-003	-1.0280259E+001	0
6.014819848052866E+001	8.5832374E-003	-1.0223862E+001	0
6.014919848050340E+001	8.6596012E-003	-1.0166955E+001	0
6.015019848047814E+001	8.6405100E-003	-1.0109221E+001	0
6.015119848045288E+001	8.6023277E-003	-1.0052125E+001	0
6.015219848042761E+001	8.6405100E-003	-9.9954090E+000	0
6.015319848040235E+001	8.5641462E-003	-9.9385672E+000	0
6.015419848037709E+001	8.5641462E-003	-9.8810873E+000	0
6.015519848035183E+001	8.6596012E-003	-9.8237352E+000	0
6.015619848032657E+001	8.6596012E-003	-9.7668285E+000	0
6.015719848030130E+001	8.6786924E-003	-9.7099218E+000	0
6.015819848027604E+001	8.5832374E-003	-9.6519966E+000	0
6.015919848025078E+001	8.6023277E-003	-9.5952177E+000	0
6.016019848022552E+001	8.5641462E-003	-9.5382481E+000	0
6.016119848020026E+001	8.6786924E-003	-9.4803219E+000	0
6.016219848017499E+001	8.7550562E-003	-9.4231606E+000	0
6.016319848014973E+001	8.5832374E-003	-9.3659992E+000	0
6.016419848012447E+001	8.5641462E-003	-9.3092842E+000	0
6.016519848009921E+001	8.6786924E-003	-9.2532063E+000	0
6.016619848007394E+001	8.5641462E-003	-9.1963005E+000	0
6.016719848004868E+001	8.5832374E-003	-9.1406050E+000	0
6.016819848002342E+001	8.6596012E-003	-9.0842085E+000	0
6.016919847999816E+001	8.6214188E-003	-9.0288944E+000	0
6.017019847997290E+001	8.6405100E-003	-8.9740276E+000	0
6.017119847994763E+001	8.6405100E-003	-8.9187155E+000	0
6.017219847992237E+001	8.5068727E-003	-8.8640394E+000	0
6.017319847989711E+001	8.6023277E-003	-8.8095551E+000	0
6.017419847987185E+001	8.5832374E-003	-8.7562809E+000	0
6.017519847984659E+001	8.5832374E-003	-8.7028799E+000	0
6.017619847982132E+001	8.6023277E-003	-8.6495419E+000	0
6.017719847979606E+001	8.6977836E-003	-8.5961399E+000	0
6.017819847977080E+001	8.6786924E-003	-8.5439501E+000	0
6.017919847974554E+001	8.6405100E-003	-8.4929695E+000	0
6.018019847972027E+001	8.6214188E-003	-8.4411612E+000	0
6.018119847969501E+001	8.6596012E-003	-8.3896074E+000	0
6.018239847966470E+001	8.6405100E-003	-8.3298979E+000	0
6.018339847963944E+001	8.7550562E-003	-8.2794285E+000	0
6.018459847960912E+001	8.5832374E-003	-8.2203550E+000	0
6.018579847957881E+001	8.6596012E-003	-8.1616650E+000	0
6.018699847954849E+001	8.6596012E-003	-8.1035480E+000	0
6.018819847951818E+001	8.5832374E-003	-8.0457487E+000	0
6.018939847948786E+001	8.6023277E-003	-7.9882050E+000	0
6.019059847945755E+001	8.6786924E-003	-7.9328918E+000	0
6.019179847942723E+001	8.7168738E-003	-7.8760500E+000	0
6.019299847939692E+001	8.5641462E-003	-7.8211184E+000	0
6.019419847936661E+001	8.6596012E-003	-7.7668896E+000	0
6.019539847933629E+001	8.6214188E-003	-7.7126594E+000	0
6.019659847930598E+001	8.6214188E-003	-7.6601496E+000	0
6.019779847927566E+001	8.6023277E-003	-7.6064939E+000	0
6.019899847924535E+001	8.7168738E-003	-7.5543666E+000	0
6.020019847921503E+001	8.6596012E-003	-7.5019212E+000	0
6.020139847918472E+001	8.5641462E-003	-7.4513240E+000	0
6.020259847915440E+001	8.7550562E-003	-7.3993878E+000	0
6.020399847911904E+001	8.5450551E-003	-7.3417811E+000	0
6.020519847908872E+001	8.5641462E-003	-7.2915659E+000	0
6.020639847905841E+001	8.6405100E-003	-7.2414780E+000	0
6.020779847902304E+001	8.6214188E-003	-7.1851454E+000	0
6.020919847898767E+001	8.5832374E-003	-7.1283026E+000	0
6.021059847895231E+001	8.5641462E-003	-7.0734358E+000	0
6.021199847891694E+001	8.6023277E-003	-7.0176129E+000	0
6.021339847888157E+001	8.5068727E-003	-6.9633188E+000	0
6.021479847884621E+001	8.5641462E-003	-6.9090257E+000	0
6.021619847881084E+001	8.5832374E-003	-6.8547969E+000	0
6.021759847877547E+001	8.5641462E-003	-6.8025417E+000	0
6.021899847874010E+001	8.6786924E-003	-6.7494593E+000	0
6.022039847870474E+001	8.5641462E-003	-6.6973958E+000	0
6.022179847866937E+001	8.6214188E-003	-6.6462889E+000	0
6.022319847863400E+001	8.6023277E-003	-6.5949264E+000	0
6.022459847859864E+001	8.6596012E-003	-6.5436282E+000	0
6.022619847855822E+001	8.6023277E-003	-6.4872313E+000	0
6.022779847851780E+001	8.6596012E-003	-6.4307718E+000	0
6.022939847847738E+001	8.5641462E-003	-6.3738017E+000	0
6.023099847843696E+001	8.6405100E-003	-6.3184247E+000	0
6.023259847839654E+001	8.5450551E-003	-6.2639399E+000	0
6.023419847835612E+001	8.6405100E-003	-6.2097101E+000	0
6.023579847831570E+001	8.6214188E-003	-6.1555448E+000	0
6.023739847827528E+001	8.5832374E-003	-6.1032896E+000	0
6.023899847823486E+001	8.5068727E-003	-6.0505900E+000	0
6.024059847819444E+001	8.7168738E-003	-5.9989724E+000	0
6.024219847815402E+001	8.6023277E-003	-5.9482474E+000	0
6.024379847811360E+001	8.5832374E-003	-5.8969488E+000	0
6.024559847806813E+001	8.6214188E-003	-5.8417635E+000	0
6.024739847802266E+001	8.7359650E-003	-5.7859406E+000	0
6.024919847797719E+001	8.6977836E-003	-5.7323480E+000	0
6.025099847793172E+001	8.5641462E-003	-5.6780543E+000	0
6.025279847788624E+001	8.6214188E-003	-5.6253538E+000	0
6.025459847784077E+001	8.7550562E-003	-5.5732274E+000	0
6.025639847779530E+001	8.6405100E-003	-5.5226293E+000	0
6.025819847774983E+001	8.6405100E-003	-5.4714584E+000	0
6.026019847769930E+001	8.5641462E-003	-5.4167829E+000	0
6.026219847764878E+001	8.7168738E-003	-5.3631897E+000	0
6.026419847759826E+001	8.6214188E-003	-5.3105540E+000	0
6.026619847754773E+001	8.7168738E-003	-5.2591915E+000	0
6.026819847749721E+001	8.6596012E-003	-5.2073197E+000	0
6.027039847744163E+001	8.6405100E-003	-5.1532168E+000	0
6.027259847738605E+001	8.5450551E-003	-5.0998158E+000	0
6.027479847733048E+001	8.6405100E-003	-5.0462871E+000	0
6.027699847727490E+001	8.6023277E-003	-4.9959445E+000	0
6.027919847721932E+001	8.6977836E-003	-4.9458566E+000	0
6.028159847715870E+001	8.6214188E-003	-4.8929014E+000	0
6.028399847709807E+001	8.6023277E-003	-4.8400102E+000	0
6.028639847703744E+001	8.6596012E-003	-4.7890301E+000	0
6.028899847697176E+001	8.6786924E-003	-4.7363296E+000	0
6.029159847690607E+001	8.6023277E-003	-4.6831193E+000	0
6.029419847684039E+001	8.5641462E-003	-4.6325855E+000	0
6.029699847676966E+001	8.6214188E-003	-4.5795031E+000	0
6.029979847669892E+001	8.6214188E-003	-4.5278859E+000	0
6.030259847662819E+001	8.6786924E-003	-4.4774160E+000	0
6.030559847655240E+001	8.5832374E-003	-4.4245238E+000	0
6.030859847647662E+001	8.5259639E-003	-4.3741179E+000	0
6.031179847639578E+001	8.6023277E-003	-4.3212900E+000	0
6.031499847631494E+001	8.5832374E-003	-4.2699919E+000	0
6.031839847622905E+001	8.6023277E-003	-4.2179284E+000	0
6.032179847614316E+001	8.6596012E-003	-4.1665025E+000	0
6.032539847605221E+001	8.5450551E-003	-4.1149487E+000	0
6.032899847596127E+001	8.5259639E-003	-4.0641603E+000	0
6.033279847586527E+001	8.6405100E-003	-4.0120969E+000	0
6.033679847576423E+001	8.7359650E-003	-3.9602251E+000	0
6.034079847566318E+001	8.5641462E-003	-3.9097552E+000	0
6.034499847555708E+001	8.6214188E-003	-3.8582015E+000	0
6.034939847544592E+001	8.6596012E-003	-3.8067122E+000	0
6.035379847533477E+001	8.5068727E-003	-3.7563696E+000	0
6.035859847521351E+001	8.5832374E-003	-3.7036054E+000	0
6.036359847508720E+001	8.7550562E-003	-3.6512239E+000	0
6.036879847495584E+001	8.6786924E-003	-3.5991604E+000	0
6.037399847482448E+001	8.5068727E-003	-3.5483720E+000	0
6.037939847468806E+001	8.6977836E-003	-3.4970098E+000	0
6.038519847454154E+001	8.6405100E-003	-3.4460938E+000	0
6.039099847439502E+001	8.5832374E-003	-3.3952413E+000	0
6.039719847423839E+001	8.6214188E-003	-3.3443890E+000	0
6.040359847407672E+001	8.6596012E-003	-3.2928989E+000	0
6.041039847390493E+001	8.5450551E-003	-3.2416644E+000	0
6.041739847372810E+001	8.6596012E-003	-3.1907485E+000	0
6.042459847354621E+001	8.6786924E-003	-3.1401508E+000	0
6.043219847335422E+001	8.5832374E-003	-3.0887887E+000	0
6.044039847314707E+001	8.6405100E-003	-3.0365343E+000	0
6.044879847293487E+001	8.6214188E-003	-2.9861917E+000	0
6.045739847271761E+001	8.6596012E-003	-2.9351482E+000	0
6.046639847249025E+001	8.5832374E-003	-2.8839135E+000	0
6.047599847224774E+001	8.6596012E-003	-2.8334436E+000	0
6.048579847200017E+001	8.6023277E-003	-2.7827826E+000	0
6.049619847173744E+001	8.7168738E-003	-2.7323124E+000	0
6.050719847145956E+001	8.6405100E-003	-2.6810777E+000	0
6.051859847117157E+001	8.5832374E-003	-2.6300979E+000	0
6.053059847086843E+001	8.6977836E-003	-2.5795002E+000	0
6.054319847055012E+001	8.5450551E-003	-2.5292852E+000	0
6.055619847022172E+001	8.6023277E-003	-2.4792612E+000	0
6.056979846987815E+001	8.6023277E-003	-2.4286001E+000	0
6.058459846950427E+001	8.6405100E-003	-2.3782575E+000	0
6.059979846912029E+001	8.6596012E-003	-2.3274689E+000	0
6.061599846871104E+001	8.6596012E-003	-2.2769351E+000	0
6.063319846827653E+001	8.6214188E-003	-2.2260189E+000	0
6.065119846782181E+001	8.6214188E-003	-2.1758039E+000	0
6.066999846734689E+001	8.6023277E-003	-2.1251426E+000	0
6.069039846683154E+001	8.6405100E-003	-2.0748639E+000	0
6.071179846629093E+001	8.5641462E-003	-2.0245850E+000	0
6.073459846571495E+001	8.6214188E-003	-1.9744333E+000	0
6.075799846512382E+001	8.6977836E-003	-1.9244094E+000	0
6.078439846445690E+001	8.5641462E-003	-1.8733021E+000	0
6.081199846375966E+001	8.6023277E-003	-1.8230232E+000	0
6.084139846301696E+001	8.7168738E-003	-1.7724894E+000	0
6.087319846221362E+001	8.6786924E-003	-1.7222106E+000	0
6.090719846135471E+001	8.6977836E-003	-1.6720594E+000	0
6.094379846043012E+001	8.6405100E-003	-1.6216530E+000	0
6.098359845942468E+001	8.6596012E-003	-1.5714378E+000	0
6.102659845833841E+001	8.5832374E-003	-1.5212866E+000	0
6.107259845717635E+001	8.5259639E-003	-1.4706889E+000	0
6.112439845586778E+001	8.6023277E-003	-1.4203465E+000	0
6.118039845445310E+001	8.6786924E-003	-1.3696853E+000	0
6.124179845290200E+001	8.6405100E-003	-1.3195337E+000	0
6.131019845117407E+001	8.6596012E-003	-1.2693824E+000	0
6.138479844928952E+001	8.6596012E-003	-1.2193584E+000	0
6.146799844718771E+001	8.7359650E-003	-1.1692708E+000	0
6.156179844481812E+001	8.5641462E-003	-1.1192468E+000	0
6.166679844216560E+001	8.6405100E-003	-1.0691592E+000	0
6.178579843915941E+001	8.6405100E-003	-1.0190713E+000	0
6.192119843573892E+001	8.7359650E-003	-9.6891999E-001	0
