time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	2.9356959E+000	-2.5036445E-002	0
6.014319848065497E+001	8.5010678E-003	-4.9983783E+000	0
6.014419848062971E+001	8.4437523E-003	-4.9441075E+000	0
6.014519848060445E+001	8.4819626E-003	-4.8906641E+000	0
6.014619848057919E+001	8.3100162E-003	-4.8375397E+000	0
6.014719848055393E+001	8.5201729E-003	-4.7872815E+000	0
6.014819848052866E+001	8.4628575E-003	-4.7366414E+000	0
6.014939848049835E+001	8.4246472E-003	-4.6792498E+000	0
6.015059848046803E+001	8.4246472E-003	-4.6232586E+000	0
6.015179848043772E+001	8.4055420E-003	-4.5682230E+000	0
6.015299848040740E+001	8.4437523E-003	-4.5145888E+000	0
6.015419848037709E+001	8.3864368E-003	-4.4635029E+000	0
6.015539848034678E+001	8.3864368E-003	-4.4126077E+000	0
6.015679848031141E+001	8.4819626E-003	-4.3564258E+000	0
6.015819848027604E+001	8.4246472E-003	-4.2994795E+000	0
6.015959848024067E+001	8.4819626E-003	-4.2462912E+000	0
6.016099848020531E+001	8.4246472E-003	-4.1940584E+000	0
6.016239848016994E+001	8.4819626E-003	-4.1434183E+000	0
6.016399848012952E+001	8.4628575E-003	-4.0865993E+000	0
6.016559848008910E+001	8.3864368E-003	-4.0322008E+000	0
6.016719848004868E+001	8.4246472E-003	-3.9795220E+000	0
6.016879848000826E+001	8.2909111E-003	-3.9283721E+000	0
6.017039847996784E+001	8.3864368E-003	-3.8782413E+000	0
6.017219847992237E+001	8.4819626E-003	-3.8238430E+000	0
6.017399847987690E+001	8.4437523E-003	-3.7714193E+000	0
6.017579847983143E+001	8.4246472E-003	-3.7208428E+000	0
6.017779847978090E+001	8.3673317E-003	-3.6649153E+000	0
6.017979847973038E+001	8.4055420E-003	-3.6128740E+000	0
6.018179847967986E+001	8.4819626E-003	-3.5615966E+000	0
6.018399847962428E+001	8.4437523E-003	-3.5077078E+000	0
6.018619847956870E+001	8.5010678E-003	-3.4552205E+000	0
6.018839847951313E+001	8.3673317E-003	-3.4043255E+000	0
6.019079847945250E+001	8.4246472E-003	-3.3519013E+000	0
6.019319847939187E+001	8.5201729E-003	-3.3008156E+000	0
6.019559847933124E+001	8.5010678E-003	-3.2508121E+000	0
6.019819847926556E+001	8.5392781E-003	-3.1992164E+000	0
6.020099847919482E+001	8.4819626E-003	-3.1462195E+000	0
6.020379847912409E+001	8.4246472E-003	-3.0955157E+000	0
