time/s	Ewe/V	I/mA	error	
3.473352312255724E+003	3.5201008E-003	-1.9469984E-001	0
3.473352512255718E+003	-5.0591184E-003	-1.9598125E-001	0
3.473352712255713E+003	-9.6952645E-003	-1.9598253E-001	0
3.473352912255708E+003	-1.1699821E-002	-1.9599143E-001	0
3.473353112255703E+003	-1.3303466E-002	-1.9598444E-001	0
3.473353312255698E+003	-1.4735293E-002	-1.9598825E-001	0
3.473353512255693E+003	-1.6014390E-002	-1.9599271E-001	0
3.473353712255688E+003	-1.7312579E-002	-1.9598444E-001	0
3.473353912255683E+003	-1.8438948E-002	-1.9599143E-001	0
3.473354112255678E+003	-1.9622592E-002	-1.9598570E-001	0
3.473354312255673E+003	-2.0710779E-002	-1.9599780E-001	0
3.473354512255668E+003	-2.1798966E-002	-1.9598444E-001	0
3.473354912255658E+003	-2.3898978E-002	-1.9598889E-001	0
3.473355312255648E+003	-2.5846262E-002	-1.9598761E-001	0
3.473355712255638E+003	-2.7793545E-002	-1.9598825E-001	0
3.473356112255628E+003	-2.9473554E-002	-1.9599524E-001	0
3.473356512255617E+003	-3.1210838E-002	-1.9598952E-001	0
3.473356912255607E+003	-3.2833572E-002	-1.9599271E-001	0
3.473357312255597E+003	-3.4456309E-002	-1.9599333E-001	0
3.473357712255587E+003	-3.5983589E-002	-1.9598635E-001	0
3.473358112255577E+003	-3.7453599E-002	-1.9599397E-001	0
3.473358512255567E+003	-3.9229061E-002	-1.9599016E-001	0
3.473358912255557E+003	-4.0431798E-002	-1.9599080E-001	0
3.473359312255547E+003	-4.1920897E-002	-1.9599143E-001	0
3.473359712255537E+003	-4.3352719E-002	-1.9598889E-001	0
3.473360112255526E+003	-4.4650909E-002	-1.9598825E-001	0
3.473360512255516E+003	-4.6025462E-002	-1.9598570E-001	0
3.473360912255506E+003	-4.7285471E-002	-1.9599397E-001	0
3.473361312255496E+003	-4.8660021E-002	-1.9598570E-001	0
3.473361712255486E+003	-4.9900938E-002	-1.9598952E-001	0
3.473362112255476E+003	-5.1046401E-002	-1.9598444E-001	0
3.473362512255466E+003	-5.2401863E-002	-1.9598761E-001	0
3.473362912255456E+003	-5.3566415E-002	-1.9598825E-001	0
3.473363312255446E+003	-5.4769147E-002	-1.9598570E-001	0
3.473363712255436E+003	-5.5876426E-002	-1.9599016E-001	0
3.473364112255425E+003	-5.7079159E-002	-1.9599271E-001	0
3.473364512255415E+003	-5.8167350E-002	-1.9598635E-001	0
3.473364912255405E+003	-5.9427354E-002	-1.9599080E-001	0
3.473365312255395E+003	-6.0458269E-002	-1.9599016E-001	0
3.473365712255385E+003	-6.1527368E-002	-1.9598889E-001	0
3.473366112255375E+003	-6.2653735E-002	-1.9599271E-001	0
3.473366712255360E+003	-6.4104654E-002	-1.9598761E-001	0
3.473367112255350E+003	-6.5135568E-002	-1.9599207E-001	0
3.473367512255340E+003	-6.6223755E-002	-1.9598952E-001	0
3.473368112255324E+003	-6.7827396E-002	-1.9599333E-001	0
3.473368712255309E+003	-6.9278315E-002	-1.9598889E-001	0
3.473369312255294E+003	-7.0767418E-002	-1.9599524E-001	0
3.473369912255279E+003	-7.2218336E-002	-1.9598825E-001	0
3.473370312255269E+003	-7.3249251E-002	-1.9598508E-001	0
3.473370912255254E+003	-7.4547440E-002	-1.9598380E-001	0
3.473371512255238E+003	-7.5960174E-002	-1.9598635E-001	0
3.473372112255223E+003	-7.7277452E-002	-1.9598761E-001	0
3.473372712255208E+003	-7.8690186E-002	-1.9599207E-001	0
3.473373312255193E+003	-8.0007464E-002	-1.9598699E-001	0
3.473373912255178E+003	-8.1191108E-002	-1.9599143E-001	0
3.473374312255168E+003	-8.2202934E-002	-1.9598253E-001	0
3.473374912255153E+003	-8.3367482E-002	-1.9599080E-001	0
3.473375512255137E+003	-8.4589310E-002	-1.9598570E-001	0
3.473376112255122E+003	-8.5887499E-002	-1.9599080E-001	0
3.473376712255107E+003	-8.7071143E-002	-1.9598444E-001	0
3.473377312255092E+003	-8.8216603E-002	-1.9599397E-001	0
3.473377912255077E+003	-8.9419335E-002	-1.9598699E-001	0
3.473378512255062E+003	-9.0545706E-002	-1.9599143E-001	0
3.473379112255046E+003	-9.1786623E-002	-1.9598699E-001	0
3.473379912255026E+003	-9.3199357E-002	-1.9599333E-001	0
3.473380512255011E+003	-9.4230272E-002	-1.9599016E-001	0
3.473381112254996E+003	-9.5490277E-002	-1.9599780E-001	0
3.473381912254976E+003	-9.6903011E-002	-1.9598952E-001	0
3.473382512254961E+003	-9.8029383E-002	-1.9599397E-001	0
3.473383312254940E+003	-9.9213026E-002	-1.9599524E-001	0
3.473383912254925E+003	-1.0033940E-001	-1.9598889E-001	0
3.473384512254910E+003	-1.0135122E-001	-1.9599333E-001	0
3.473385112254895E+003	-1.0236304E-001	-1.9598952E-001	0
3.473385712254880E+003	-1.0339396E-001	-1.9599143E-001	0
3.473386312254865E+003	-1.0448214E-001	-1.9598761E-001	0
3.473387112254844E+003	-1.0560852E-001	-1.9598635E-001	0
3.473387912254824E+003	-1.0694489E-001	-1.9599080E-001	0
3.473388712254804E+003	-1.0822398E-001	-1.9598952E-001	0
3.473389312254789E+003	-1.0927399E-001	-1.9599333E-001	0
3.473390112254769E+003	-1.1034309E-001	-1.9599271E-001	0
3.473390912254748E+003	-1.1152673E-001	-1.9598952E-001	0
3.473391712254728E+003	-1.1265310E-001	-1.9598952E-001	0
3.473392512254708E+003	-1.1393220E-001	-1.9599271E-001	0
3.473393312254688E+003	-1.1498220E-001	-1.9599207E-001	0
3.473394112254668E+003	-1.1629949E-001	-1.9599016E-001	0
3.473394912254647E+003	-1.1738767E-001	-1.9598761E-001	0
3.473395712254627E+003	-1.1847586E-001	-1.9599590E-001	0
3.473396712254602E+003	-1.1986950E-001	-1.9599590E-001	0
3.473397712254577E+003	-1.2101497E-001	-1.9598508E-001	0
3.473398512254556E+003	-1.2227497E-001	-1.9598570E-001	0
3.473399512254531E+003	-1.2343952E-001	-1.9598952E-001	0
3.473400312254511E+003	-1.2454680E-001	-1.9598825E-001	0
3.473401312254486E+003	-1.2576862E-001	-1.9599016E-001	0
3.473402312254460E+003	-1.2695226E-001	-1.9598825E-001	0
3.473403312254435E+003	-1.2809773E-001	-1.9598570E-001	0
3.473404312254410E+003	-1.2933864E-001	-1.9599271E-001	0
3.473405312254385E+003	-1.3050319E-001	-1.9599080E-001	0
3.473406312254359E+003	-1.3176320E-001	-1.9599207E-001	0
3.473407312254334E+003	-1.3279411E-001	-1.9599271E-001	0
3.473408312254309E+003	-1.3388230E-001	-1.9599333E-001	0
3.473409112254289E+003	-1.3491322E-001	-1.9599652E-001	0
3.473410112254263E+003	-1.3600141E-001	-1.9599207E-001	0
3.473411312254233E+003	-1.3722323E-001	-1.9598825E-001	0
3.473412312254208E+003	-1.3833050E-001	-1.9598699E-001	0
3.473413512254177E+003	-1.3953325E-001	-1.9599715E-001	0
3.473414512254152E+003	-1.4056416E-001	-1.9599143E-001	0
3.473415712254122E+003	-1.4165235E-001	-1.9599271E-001	0
3.473416912254092E+003	-1.4285508E-001	-1.9598761E-001	0
3.473417912254066E+003	-1.4394327E-001	-1.9598952E-001	0
3.473419112254036E+003	-1.4503145E-001	-1.9598825E-001	0
3.473420312254006E+003	-1.4606237E-001	-1.9599271E-001	0
3.473421312253980E+003	-1.4711238E-001	-1.9599016E-001	0
3.473422712253945E+003	-1.4831512E-001	-1.9598889E-001	0
3.473423712253920E+003	-1.4932694E-001	-1.9598570E-001	0
3.473424912253889E+003	-1.5033875E-001	-1.9598952E-001	0
3.473426312253854E+003	-1.5152240E-001	-1.9598952E-001	0
3.473427712253819E+003	-1.5274423E-001	-1.9599271E-001	0
3.473429112253783E+003	-1.5383242E-001	-1.9599271E-001	0
3.473430512253748E+003	-1.5505424E-001	-1.9599080E-001	0
3.473431912253713E+003	-1.5614243E-001	-1.9598889E-001	0
3.473433312253677E+003	-1.5719244E-001	-1.9598699E-001	0
3.473434712253642E+003	-1.5822335E-001	-1.9599080E-001	0
3.473436112253607E+003	-1.5934972E-001	-1.9598761E-001	0
