time/s	Ewe/V	I/mA	error	
8.215859792449919E+001	8.7414049E-003	-1.9598952E-001	0
8.242839791768347E+001	7.6723080E-003	-1.9599207E-001	0
8.263119791256031E+001	6.6604842E-003	-1.9599016E-001	0
8.278759790860931E+001	5.6486605E-003	-1.9598508E-001	0
8.295179790446127E+001	4.6177455E-003	-1.9598952E-001	0
8.309219790091447E+001	3.6059218E-003	-1.9598380E-001	0
8.322839789747377E+001	2.5750070E-003	-1.9599143E-001	0
8.336779789395223E+001	1.5631831E-003	-1.9599143E-001	0
8.349199789081467E+001	5.5135944E-004	-1.9598380E-001	0
8.361499788770743E+001	-4.6046436E-004	-1.9599143E-001	0
8.373799788460019E+001	-1.5486521E-003	-1.9598889E-001	0
8.387179788122012E+001	-2.5986577E-003	-1.9598761E-001	0
8.398619787833013E+001	-3.6486636E-003	-1.9599207E-001	0
8.410519787532394E+001	-4.6604872E-003	-1.9599590E-001	0
8.423159787213081E+001	-5.7104928E-003	-1.9598952E-001	0
8.435559786899830E+001	-6.7414078E-003	-1.9599080E-001	0
8.447599786595674E+001	-7.8105046E-003	-1.9598699E-001	0
8.459659786291013E+001	-8.8223284E-003	-1.9599143E-001	0
8.471279785997467E+001	-9.8341517E-003	-1.9598889E-001	0
8.483259785694827E+001	-1.0865066E-002	-1.9599016E-001	0
8.495219785392692E+001	-1.1876890E-002	-1.9599016E-001	0
8.506879785098135E+001	-1.2907805E-002	-1.9599652E-001	0
8.519739784773265E+001	-1.4015084E-002	-1.9598699E-001	0
8.531579784474161E+001	-1.5045999E-002	-1.9598570E-001	0
8.543619784170005E+001	-1.6057823E-002	-1.9598825E-001	0
8.555419783871912E+001	-1.7126918E-002	-1.9599271E-001	0
8.567799783559167E+001	-1.8138742E-002	-1.9599016E-001	0
8.578639783285325E+001	-1.9150566E-002	-1.9598825E-001	0
8.590999782973086E+001	-2.0200573E-002	-1.9599397E-001	0
8.602519782682066E+001	-2.1212395E-002	-1.9599080E-001	0
8.614639782375889E+001	-2.2224220E-002	-1.9598952E-001	0
8.626359782079817E+001	-2.3255134E-002	-1.9598952E-001	0
8.638959781761514E+001	-2.4286048E-002	-1.9599016E-001	0
8.650259781476052E+001	-2.5336055E-002	-1.9598699E-001	0
8.662279781172401E+001	-2.6347879E-002	-1.9599462E-001	0
8.675239780845004E+001	-2.7359702E-002	-1.9598889E-001	0
8.687599780532764E+001	-2.8390616E-002	-1.9598889E-001	0
8.699279780237703E+001	-2.9459713E-002	-1.9598761E-001	0
8.711839779920410E+001	-3.0471537E-002	-1.9599271E-001	0
8.724779779593518E+001	-3.1502452E-002	-1.9599080E-001	0
8.736099779307551E+001	-3.2514274E-002	-1.9599524E-001	0
8.748739778988238E+001	-3.3564281E-002	-1.9598699E-001	0
8.760859778682061E+001	-3.4652468E-002	-1.9599652E-001	0
8.774059778348601E+001	-3.5664294E-002	-1.9599016E-001	0
8.786239778040908E+001	-3.6695208E-002	-1.9598952E-001	0
8.798619777728163E+001	-3.7707031E-002	-1.9598889E-001	0
8.811419777404808E+001	-3.8718853E-002	-1.9599271E-001	0
8.822699777119851E+001	-3.9807044E-002	-1.9598889E-001	0
8.835819776788412E+001	-4.0857047E-002	-1.9598699E-001	0
8.848399776470615E+001	-4.1868873E-002	-1.9598570E-001	0
8.860479776165448E+001	-4.3014333E-002	-1.9599143E-001	0
8.875179775794095E+001	-4.4064339E-002	-1.9598380E-001	0
8.888619775454572E+001	-4.5114346E-002	-1.9598952E-001	0
8.901599775126670E+001	-4.6126168E-002	-1.9599397E-001	0
8.914039774812409E+001	-4.7176175E-002	-1.9599143E-001	0
8.927179774480464E+001	-4.8226181E-002	-1.9598380E-001	0
8.940719774138415E+001	-4.9295276E-002	-1.9599016E-001	0
8.953679773811018E+001	-5.0326191E-002	-1.9599080E-001	0
