time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	3.0140383E+000	-2.5015498E-002	0
6.014319848065497E+001	8.5561415E-003	-8.9176321E+000	0
6.014419848062971E+001	8.6706877E-003	-8.8585587E+000	0
6.014519848060445E+001	8.6134141E-003	-8.7999954E+000	0
6.014619848057919E+001	8.6706877E-003	-8.7415600E+000	0
6.014719848055393E+001	8.7279603E-003	-8.6832523E+000	0
6.014819848052866E+001	8.7088700E-003	-8.6258364E+000	0
6.014919848050340E+001	8.7470515E-003	-8.5690575E+000	0
6.015019848047814E+001	8.6897789E-003	-8.5118332E+000	0
6.015119848045288E+001	8.6515965E-003	-8.4559460E+000	0
6.015219848042761E+001	8.6325053E-003	-8.3996134E+000	0
6.015319848040235E+001	8.6706877E-003	-8.3443642E+000	0
6.015419848037709E+001	8.6325053E-003	-8.2893047E+000	0
6.015519848035183E+001	8.7470515E-003	-8.2341194E+000	0
6.015619848032657E+001	8.5943239E-003	-8.1809092E+000	0
6.015719848030130E+001	8.5561415E-003	-8.1272535E+000	0
6.015819848027604E+001	8.6706877E-003	-8.0741062E+000	0
6.015919848025078E+001	8.6325053E-003	-8.0221710E+000	0
6.016019848022552E+001	8.5561415E-003	-7.9689608E+000	0
6.016119848020026E+001	8.6706877E-003	-7.9182348E+000	0
6.016219848017499E+001	8.6897789E-003	-7.8674469E+000	0
6.016319848014973E+001	8.6325053E-003	-7.8165946E+000	0
6.016439848011942E+001	8.6134141E-003	-7.7565017E+000	0
6.016559848008910E+001	8.7088700E-003	-7.6980662E+000	0
6.016679848005879E+001	8.7088700E-003	-7.6403322E+000	0
6.016799848002847E+001	8.7279603E-003	-7.5822783E+000	0
6.016919847999816E+001	8.6706877E-003	-7.5264554E+000	0
6.017039847996784E+001	8.6897789E-003	-7.4704413E+000	0
6.017159847993753E+001	8.6515965E-003	-7.4141083E+000	0
6.017279847990721E+001	8.6515965E-003	-7.3601971E+000	0
6.017399847987690E+001	8.6897789E-003	-7.3060312E+000	0
6.017519847984659E+001	8.7088700E-003	-7.2546053E+000	0
6.017639847981627E+001	8.5561415E-003	-7.2017779E+000	0
6.017759847978596E+001	8.6706877E-003	-7.1508613E+000	0
6.017879847975564E+001	8.6897789E-003	-7.0994358E+000	0
6.017999847972533E+001	8.6325053E-003	-7.0489016E+000	0
6.018139847968996E+001	8.7088700E-003	-6.9907217E+000	0
6.018279847965459E+001	8.6706877E-003	-6.9340062E+000	0
6.018419847961923E+001	8.7661427E-003	-6.8779287E+000	0
6.018559847958386E+001	8.6515965E-003	-6.8231249E+000	0
6.018699847954849E+001	8.6515965E-003	-6.7685127E+000	0
6.018839847951313E+001	8.7279603E-003	-6.7139010E+000	0
6.018979847947776E+001	8.6134141E-003	-6.6612635E+000	0
6.019119847944239E+001	8.6897789E-003	-6.6086907E+000	0
6.019259847940702E+001	8.6325053E-003	-6.5569468E+000	0
6.019399847937166E+001	8.6706877E-003	-6.5064769E+000	0
6.019539847933629E+001	8.6325053E-003	-6.4559422E+000	0
6.019699847929587E+001	8.6515965E-003	-6.3992910E+000	0
6.019859847925545E+001	8.7279603E-003	-6.3430228E+000	0
6.020019847921503E+001	8.6897789E-003	-6.2874546E+000	0
6.020179847917461E+001	8.6706877E-003	-6.2325878E+000	0
6.020339847913419E+001	8.6515965E-003	-6.1785488E+000	0
6.020499847909377E+001	8.6897789E-003	-6.1262951E+000	0
6.020659847905335E+001	8.6515965E-003	-6.0735307E+000	0
6.020819847901294E+001	8.6325053E-003	-6.0222960E+000	0
6.020979847897252E+001	8.7661427E-003	-5.9714432E+000	0
6.021139847893210E+001	8.6134141E-003	-5.9214191E+000	0
6.021319847888662E+001	8.5752327E-003	-5.8658514E+000	0
6.021499847884115E+001	8.5943239E-003	-5.8104749E+000	0
6.021679847879568E+001	8.6515965E-003	-5.7575831E+000	0
6.021859847875021E+001	8.6515965E-003	-5.7041817E+000	0
6.022039847870474E+001	8.6515965E-003	-5.6518636E+000	0
6.022219847865927E+001	8.6897789E-003	-5.5998006E+000	0
6.022419847860874E+001	8.7470515E-003	-5.5434675E+000	0
6.022619847855822E+001	8.6706877E-003	-5.4880910E+000	0
6.022819847850769E+001	8.6134141E-003	-5.4334154E+000	0
6.023019847845717E+001	8.6134141E-003	-5.3803320E+000	0
6.023219847840664E+001	8.7088700E-003	-5.3285875E+000	0
6.023419847835612E+001	8.6134141E-003	-5.2765250E+000	0
6.023619847830560E+001	8.7279603E-003	-5.2256722E+000	0
6.023819847825507E+001	8.7088700E-003	-5.1752658E+000	0
6.024039847819950E+001	8.7279603E-003	-5.1218009E+000	0
6.024259847814392E+001	8.6897789E-003	-5.0694828E+000	0
6.024479847808834E+001	8.7088700E-003	-5.0175471E+000	0
6.024719847802771E+001	8.6706877E-003	-4.9636359E+000	0
6.024959847796708E+001	8.7088700E-003	-4.9096613E+000	0
6.025199847790645E+001	8.7661427E-003	-4.8578529E+000	0
6.025439847784583E+001	8.6325053E-003	-4.8064904E+000	0
6.025699847778014E+001	8.6134141E-003	-4.7529616E+000	0
6.025959847771446E+001	8.6706877E-003	-4.6999426E+000	0
6.026219847764878E+001	8.5943239E-003	-4.6492176E+000	0
6.026479847758310E+001	8.7088700E-003	-4.5978560E+000	0
6.026759847751237E+001	8.6706877E-003	-4.5455375E+000	0
6.027039847744163E+001	8.6897789E-003	-4.4946852E+000	0
6.027339847736584E+001	8.7470515E-003	-4.4425583E+000	0
6.027639847729006E+001	8.6134141E-003	-4.3906231E+000	0
6.027959847720922E+001	8.6134141E-003	-4.3372855E+000	0
