time/s	Ewe/V	I/mA	error	
6.005299848293362E+001	3.0137742E+000	-2.5010167E-002	0
6.014319848065497E+001	8.7165525E-003	-9.8801003E+000	0
6.014379848063982E+001	8.6401952E-003	-9.8257818E+000	0
6.014439848062466E+001	8.6783739E-003	-9.7715893E+000	0
6.014499848060950E+001	8.6592846E-003	-9.7170162E+000	0
6.014559848059434E+001	8.6401952E-003	-9.6619978E+000	0
6.014619848057919E+001	8.6401952E-003	-9.6070423E+000	0
6.014679848056403E+001	8.5829264E-003	-9.5534229E+000	0
6.014739848054887E+001	8.5638370E-003	-9.4986591E+000	0
6.014799848053372E+001	8.6211050E-003	-9.4445305E+000	0
6.014859848051856E+001	8.5065691E-003	-9.3902121E+000	0
6.014919848050340E+001	8.6401952E-003	-9.3365278E+000	0
6.014979848048824E+001	8.5829264E-003	-9.2829084E+000	0
6.015039848047309E+001	8.7547312E-003	-9.2295437E+000	0
6.015099848045793E+001	8.7356418E-003	-9.1768789E+000	0
6.015159848044277E+001	8.7356418E-003	-9.1242142E+000	0
6.015219848042761E+001	8.5256584E-003	-9.0721207E+000	0
6.015279848041246E+001	8.6401952E-003	-9.0196466E+000	0
6.015339848039730E+001	8.6592846E-003	-8.9684429E+000	0
6.015399848038214E+001	8.6974632E-003	-8.9175596E+000	0
6.015459848036699E+001	8.6592846E-003	-8.8669930E+000	0
6.015519848035183E+001	8.5829264E-003	-8.8155994E+000	0
6.015599848033162E+001	8.6401952E-003	-8.7502136E+000	0
6.015659848031646E+001	8.6783739E-003	-8.6997108E+000	0
6.015739848029625E+001	8.6592846E-003	-8.6349602E+000	0
6.015819848027604E+001	8.6401952E-003	-8.5709734E+000	0
6.015899848025583E+001	8.5829264E-003	-8.5061598E+000	0
6.015979848023562E+001	8.5638370E-003	-8.4438896E+000	0
6.016059848021541E+001	8.5638370E-003	-8.3810472E+000	0
6.016139848019520E+001	8.6211050E-003	-8.3201771E+000	0
6.016219848017499E+001	8.5447477E-003	-8.2587967E+000	0
6.016299848015478E+001	8.6020157E-003	-8.1981812E+000	0
6.016379848013457E+001	8.6783739E-003	-8.1394100E+000	0
6.016459848011436E+001	8.6211050E-003	-8.0805111E+000	0
6.016539848009415E+001	8.5638370E-003	-8.0216131E+000	0
6.016619848007394E+001	8.4874798E-003	-7.9644308E+000	0
6.016699848005374E+001	8.5447477E-003	-7.9074411E+000	0
6.016779848003353E+001	8.5638370E-003	-7.8515320E+000	0
6.016859848001332E+001	8.6783739E-003	-7.7958765E+000	0
6.016939847999311E+001	8.5829264E-003	-7.7408581E+000	0
6.017019847997290E+001	8.5829264E-003	-7.6856480E+000	0
6.017099847995269E+001	8.5829264E-003	-7.6318383E+000	0
6.017179847993248E+001	8.6974632E-003	-7.5786643E+000	0
6.017259847991227E+001	8.6211050E-003	-7.5252361E+000	0
6.017339847989206E+001	8.4874798E-003	-7.4731426E+000	0
6.017419847987185E+001	8.6020157E-003	-7.4198413E+000	0
6.017499847985164E+001	8.6592846E-003	-7.3687663E+000	0
6.017579847983143E+001	8.5829264E-003	-7.3174367E+000	0
6.017659847981122E+001	8.6401952E-003	-7.2671876E+000	0
6.017739847979101E+001	8.6020157E-003	-7.2160497E+000	0
6.017839847976575E+001	8.5065691E-003	-7.1542249E+000	0
6.017939847974048E+001	8.5829264E-003	-7.0929728E+000	0
6.018039847971522E+001	8.5447477E-003	-7.0321026E+000	0
6.018139847968996E+001	8.6211050E-003	-6.9712319E+000	0
6.018239847966470E+001	8.5447477E-003	-6.9105520E+000	0
6.018339847963944E+001	8.4683904E-003	-6.8524170E+000	0
6.018439847961417E+001	8.5065691E-003	-6.7933912E+000	0
6.018539847958891E+001	8.6211050E-003	-6.7351289E+000	0
6.018639847956365E+001	8.5829264E-003	-6.6783929E+000	0
6.018739847953839E+001	8.6974632E-003	-6.6210842E+000	0
6.018839847951313E+001	8.6020157E-003	-6.5648570E+000	0
6.018939847948786E+001	8.6211050E-003	-6.5090747E+000	0
6.019039847946260E+001	8.6401952E-003	-6.4552011E+000	0
6.019139847943734E+001	8.5638370E-003	-6.4006910E+000	0
6.019239847941208E+001	8.6020157E-003	-6.3464360E+000	0
6.019339847938681E+001	8.6211050E-003	-6.2935796E+000	0
6.019439847936155E+001	8.5829264E-003	-6.2410421E+000	0
6.019539847933629E+001	8.6401952E-003	-6.1893311E+000	0
6.019639847931103E+001	8.7165525E-003	-6.1384463E+000	0
6.019739847928577E+001	8.5829264E-003	-6.0875616E+000	0
6.019839847926050E+001	8.6401952E-003	-6.0370593E+000	0
6.019959847923019E+001	8.7165525E-003	-5.9785423E+000	0
6.020079847919988E+001	8.6020157E-003	-5.9201522E+000	0
6.020199847916956E+001	8.5638370E-003	-5.8629079E+000	0
6.020319847913925E+001	8.6020157E-003	-5.8068075E+000	0
6.020439847910893E+001	8.5447477E-003	-5.7519794E+000	0
6.020559847907862E+001	8.6401952E-003	-5.6973424E+000	0
6.020679847904830E+001	8.6592846E-003	-5.6437869E+000	0
6.020799847901799E+001	8.6401952E-003	-5.5912485E+000	0
6.020919847898767E+001	8.6783739E-003	-5.5402374E+000	0
6.021039847895736E+001	8.6211050E-003	-5.4895434E+000	0
6.021179847892199E+001	8.5829264E-003	-5.4321079E+000	0
6.021319847888662E+001	8.6020157E-003	-5.3751812E+000	0
6.021459847885126E+001	8.5638370E-003	-5.3201618E+000	0
6.021599847881589E+001	8.6401952E-003	-5.2663522E+000	0
6.021739847878052E+001	8.5829264E-003	-5.2132416E+000	0
6.021879847874516E+001	8.6020157E-003	-5.1612759E+000	0
6.022019847870979E+001	8.6401952E-003	-5.1109638E+000	0
6.022179847866937E+001	8.6401952E-003	-5.0549912E+000	0
6.022339847862895E+001	8.6401952E-003	-5.0000362E+000	0
6.022499847858853E+001	8.7165525E-003	-4.9464169E+000	0
6.022659847854811E+001	8.6020157E-003	-4.8954687E+000	0
6.022819847850769E+001	8.6020157E-003	-4.8431854E+000	0
6.022999847846222E+001	8.6211050E-003	-4.7872763E+000	0
6.023179847841675E+001	8.6020157E-003	-4.7337198E+000	0
6.023359847837128E+001	8.6211050E-003	-4.6808004E+000	0
6.023539847832581E+001	8.6592846E-003	-4.6303611E+000	0
