time/s	Ewe/V	I/mA	error	
1.491111356558566E+004	-5.4572888E-002	-1.9598587E-001	0
1.491111376558567E+004	-5.5986155E-002	-1.9598013E-001	0
1.491111416558565E+004	-5.7991471E-002	-1.9598459E-001	0
1.491111456558565E+004	-5.9633918E-002	-1.9597694E-001	0
1.491111496558564E+004	-6.1104484E-002	-1.9598332E-001	0
1.491111536558563E+004	-6.2517747E-002	-1.9598140E-001	0
1.491111576558562E+004	-6.3835531E-002	-1.9597885E-001	0
1.491111616558563E+004	-6.5057814E-002	-1.9597504E-001	0
1.491111656558563E+004	-6.6318296E-002	-1.9598204E-001	0
1.491111696558561E+004	-6.7464195E-002	-1.9598523E-001	0
1.491111736558560E+004	-6.8629183E-002	-1.9597822E-001	0
1.491111776558560E+004	-6.9641389E-002	-1.9598140E-001	0
1.491111816558559E+004	-7.0672698E-002	-1.9597758E-001	0
1.491111876558559E+004	-7.2143257E-002	-1.9598523E-001	0
1.491111916558558E+004	-7.3250957E-002	-1.9598013E-001	0
1.491111976558558E+004	-7.4606933E-002	-1.9598077E-001	0
1.491112036558558E+004	-7.5982004E-002	-1.9597758E-001	0
1.491112096558556E+004	-7.7299781E-002	-1.9597949E-001	0
1.491112156558558E+004	-7.8636661E-002	-1.9597058E-001	0
1.491112216558555E+004	-7.9858944E-002	-1.9597949E-001	0
1.491112276558555E+004	-8.1214920E-002	-1.9598523E-001	0
1.491112336558555E+004	-8.2475401E-002	-1.9597758E-001	0
1.491112396558553E+004	-8.3621301E-002	-1.9598077E-001	0
1.491112456558552E+004	-8.4919974E-002	-1.9597822E-001	0
1.491112536558550E+004	-8.6371444E-002	-1.9598077E-001	0
1.491112596558550E+004	-8.7517336E-002	-1.9597632E-001	0
1.491112656558550E+004	-8.8586837E-002	-1.9598587E-001	0
1.491112716558548E+004	-8.9675441E-002	-1.9598459E-001	0
1.491112776558548E+004	-9.0783134E-002	-1.9597758E-001	0
1.491112856558547E+004	-9.2139110E-002	-1.9598013E-001	0
1.491112916558547E+004	-9.3285002E-002	-1.9598077E-001	0
1.491112996558545E+004	-9.4621882E-002	-1.9597885E-001	0
1.491113056558545E+004	-9.5672287E-002	-1.9598204E-001	0
1.491113136558543E+004	-9.6932769E-002	-1.9598204E-001	0
1.491113196558543E+004	-9.8059565E-002	-1.9597377E-001	0
1.491113276558543E+004	-9.9205457E-002	-1.9597949E-001	0
1.491113356558541E+004	-1.0052323E-001	-1.9598140E-001	0
1.491113436558540E+004	-1.0172642E-001	-1.9598268E-001	0
1.491113516558538E+004	-1.0292961E-001	-1.9597822E-001	0
1.491113596558537E+004	-1.0413280E-001	-1.9598459E-001	0
1.491113656558537E+004	-1.0514501E-001	-1.9598395E-001	0
1.491113736558537E+004	-1.0631000E-001	-1.9597822E-001	0
1.491113816558538E+004	-1.0751319E-001	-1.9597822E-001	0
1.491113896558536E+004	-1.0860179E-001	-1.9598332E-001	0
1.491113976558534E+004	-1.0976678E-001	-1.9597377E-001	0
1.491114056558533E+004	-1.1083628E-001	-1.9598459E-001	0
1.491114136558531E+004	-1.1190578E-001	-1.9598013E-001	0
1.491114216558530E+004	-1.1297528E-001	-1.9598013E-001	0
1.491114296558528E+004	-1.1402569E-001	-1.9597377E-001	0
1.491114376558528E+004	-1.1522888E-001	-1.9597694E-001	0
1.491114476558527E+004	-1.1641297E-001	-1.9597632E-001	0
1.491114556558526E+004	-1.1742517E-001	-1.9598395E-001	0
1.491114636558526E+004	-1.1849467E-001	-1.9597885E-001	0
1.491114716558525E+004	-1.1952598E-001	-1.9598013E-001	0
1.491114816558524E+004	-1.2071007E-001	-1.9598140E-001	0
1.491114916558523E+004	-1.2200875E-001	-1.9597949E-001	0
1.491115016558520E+004	-1.2313554E-001	-1.9598013E-001	0
1.491115116558519E+004	-1.2424324E-001	-1.9597949E-001	0
1.491115196558519E+004	-1.2527454E-001	-1.9598077E-001	0
1.491115296558518E+004	-1.2642044E-001	-1.9598395E-001	0
1.491115396558517E+004	-1.2758543E-001	-1.9598013E-001	0
1.491115496558516E+004	-1.2871222E-001	-1.9598714E-001	0
1.491115596558515E+004	-1.2978172E-001	-1.9598395E-001	0
