 ,Area,Mean,Min,Max
1,4,255,255,255
2,58,255,255,255
3,27,255,255,255
4,23,255,255,255
5,1,255,255,255
6,19,255,255,255
7,13,255,255,255
8,5,255,255,255
9,36,255,255,255
10,17,255,255,255
11,85,255,255,255
12,11,255,255,255
13,34,255,255,255
14,20,255,255,255
15,10,255,255,255
16,2,255,255,255
17,3,255,255,255
18,1,255,255,255
19,1,255,255,255
20,2,255,255,255
21,2,255,255,255
22,2,255,255,255
23,4,255,255,255
24,74,255,255,255
25,47,255,255,255
26,10,255,255,255
27,30,255,255,255
28,25,255,255,255
29,7,255,255,255
30,10,255,255,255
31,5,255,255,255
32,13,255,255,255
33,4,255,255,255
34,27,255,255,255
35,15,255,255,255
36,21,255,255,255
37,2,255,255,255
38,4,255,255,255
